"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","ADMCBA","AD Metabolomics Consortium Bile Acids","-4","Participant roster ID","-4","-4","-4","-4","","-4","-4","-4","-4","-4","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-01-22 09:44:17.0"
"","Sample.Type","ADMCBA","AD Metabolomics Consortium Bile Acids","-4","Study samples are Sample.  Biocrates QCs are QC Level 1, 2 or 3.","-4","-4","-4","-4","","-4","-4","-4","-4","-4","MOLECULEWEIGHT = NA; MOLECULARFORMULA = ; KEGG = ; MOLECULE = ; CAS = ; INCHIKEY = ; HMDB = ; CHEBI = NA; IUPAC = ; ISOMERIC = NA; INCHI = ; MESH = NA; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-01-22 09:44:17.0"
"","Species","ADMCBA","AD Metabolomics Consortium Bile Acids","-4","Species of sample","-4","-4","-4","-4","","-4","-4","-4","-4","-4","MOLECULEWEIGHT = NA; MOLECULARFORMULA = ; KEGG = ; MOLECULE = ; CAS = ; INCHIKEY = ; HMDB = ; CHEBI = NA; IUPAC = ; ISOMERIC = NA; INCHI = ; MESH = NA; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-01-22 09:44:17.0"
"","Material","ADMCBA","AD Metabolomics Consortium Bile Acids","-4","For this study the samples are serum","-4","-4","-4","-4","","-4","-4","-4","-4","-4","MOLECULEWEIGHT = NA; MOLECULARFORMULA = ; KEGG = ; MOLECULE = ; CAS = ; INCHIKEY = ; HMDB = ; CHEBI = NA; IUPAC = ; ISOMERIC = NA; INCHI = ; MESH = NA; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-01-22 09:44:17.0"
"","Well.Position","ADMCBA","AD Metabolomics Consortium Bile Acids","-4","Well number in the 96-well plate from which the sample was injected","-4","-4","-4","-4","","-4","-4","-4","-4","-4","MOLECULEWEIGHT = NA; MOLECULARFORMULA = ; KEGG = ; MOLECULE = ; CAS = ; INCHIKEY = ; HMDB = ; CHEBI = NA; IUPAC = ; ISOMERIC = NA; INCHI = ; MESH = NA; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-01-22 09:44:17.0"
"","Sample.Volume","ADMCBA","AD Metabolomics Consortium Bile Acids","-4","The volume of sample injected in microliters","-4","-4","-4","-4","","-4","-4","-4","-4","-4","MOLECULEWEIGHT = NA; MOLECULARFORMULA = ; KEGG = ; MOLECULE = ; CAS = ; INCHIKEY = ; HMDB = ; CHEBI = NA; IUPAC = ; ISOMERIC = NA; INCHI = ; MESH = NA; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-01-22 09:44:17.0"
"","Run.Number","ADMCBA","AD Metabolomics Consortium Bile Acids","-4","Generated by the Biocrates MetIDQ software for every plate indicating the run number for a particular plate.  For this study, all plates were injected only once.  Therefore, all Run Numbers are 1.","-4","-4","-4","-4","","-4","-4","-4","-4","-4","MOLECULEWEIGHT = NA; MOLECULARFORMULA = ; KEGG = ; MOLECULE = ; CAS = ; INCHIKEY = ; HMDB = ; CHEBI = NA; IUPAC = ; ISOMERIC = NA; INCHI = ; MESH = NA; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-01-22 09:44:17.0"
"","Injection.Number","ADMCBA","AD Metabolomics Consortium Bile Acids","-4","Generated by the Biocrates MetIDQ software for every sample on a plate indicating whether a sample was injected more than once.  All study samples were injected only once for every plate.  Therefore, all Injection Numbers for study samples is 1.  QC samples are injected three times for every plate resulting in a 1, 2, or 3 listing.","-4","-4","-4","-4","","-4","-4","-4","-4","-4","MOLECULEWEIGHT = NA; MOLECULARFORMULA = ; KEGG = ; MOLECULE = ; CAS = ; INCHIKEY = ; HMDB = ; CHEBI = NA; IUPAC = ; ISOMERIC = NA; INCHI = ; MESH = NA; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-01-22 09:44:17.0"
"","CA","ADMCBA","AD Metabolomics Consortium Bile Acids","-4","Cholic acid [M]","-4","-4","-4","-4","","-4","-4","-4","-4","-4","MOLECULEWEIGHT = 408.5714; MOLECULARFORMULA = C24H40O5; KEGG = C00695; MOLECULE = 3?,7?,12?-Trihydroxy-5?-cholanoic acid; CAS = 81-25-4; INCHIKEY = BHQCQFFYRZLCQQ-OELDTZBJSA-N; HMDB = HMDB00619; CHEBI = 16359; IUPAC = (R)-4-((3R,5S,7R,8R,9S,10S,12S,13R,14S,17R)-3,7,12-Trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid; ISOMERIC = NA; INCHI = 1S/C24H40O5/c1-13(4-7-21(28)29)16-5-6-17-22-18(12-20(27)24(16,17)3)23(2)9-8-15(25)10-14(23)11-19(22)26/h13-20,22,25-27H,4-12H2,1-3H3,(H,28,29)/t13-,14+,15-,16-,17+,18+,19-,20+,22+,23+,24-/m1/s1; MESH = NA; LMID = LMST04010001","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-01-22 09:44:17.0"
"","CA.Status","ADMCBA","AD Metabolomics Consortium Bile Acids","-4","Status of Cholic acid result","-4","-4","-4","-4","","-4","-4","-4","-4","-4","MOLECULEWEIGHT = NA; MOLECULARFORMULA = ; KEGG = ; MOLECULE = ; CAS = ; INCHIKEY = ; HMDB = ; CHEBI = NA; IUPAC = ; ISOMERIC = NA; INCHI = ; MESH = NA; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-01-22 09:44:17.0"
