"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","ADMCDUKEP180UPLC","AD Metabolomics Consortium Duke Biocrates P180 Kit Ultra Performance Liquid Chromatography","-4","Participant roster ID. NOTE: 9999999 denotes pooled sample.","-4","-4","-4","-4","","-4","-4","-4","-4","-4","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 09:12:35.0"
"","Plate.Bar.Code","ADMCDUKEP180UPLC","AD Metabolomics Consortium Duke Biocrates P180 Kit Ultra Performance Liquid Chromatography","-4","Unique identifier for every plate generated by the Biocrates MetIDQ software","-4","-4","-4","-4","","-4","-4","-4","-4","-4","DESCRIPTION = Separate bar codes are generated for the UPLC and FIA plates (for this study there are 11 UPLC Plate Bar Codes and 11 FIA Plate Bar Codes); MOLECULEWEIGHT = NA; MOLECULARFORMULA = ; KEGG = ; MOLECULE = ; CAS = ; INCHIKEY = ; HMDB = ; CHEBI = ; IUPAC = ; ISOMERIC = ; INCHI = ; MESH = ; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 09:12:35.0"
"","Sample.Bar.Code","ADMCDUKEP180UPLC","AD Metabolomics Consortium Duke Biocrates P180 Kit Ultra Performance Liquid Chromatography","-4","Unique identifier for every sample registered in the Biocrates MetIDQ software","-4","-4","-4","-4","","-4","-4","-4","-4","-4","DESCRIPTION = This bar code number is the same for both UPLC and FIA samples; MOLECULEWEIGHT = NA; MOLECULARFORMULA = ; KEGG = ; MOLECULE = ; CAS = ; INCHIKEY = ; HMDB = ; CHEBI = ; IUPAC = ; ISOMERIC = ; INCHI = ; MESH = ; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 09:12:35.0"
"","Sample.Identification","ADMCDUKEP180UPLC","AD Metabolomics Consortium Duke Biocrates P180 Kit Ultra Performance Liquid Chromatography","-4","Unique identifier for every sample entered in the Duke Proteomics Sample Sumbission System.","-4","-4","-4","-4","","-4","-4","-4","-4","-4","DESCRIPTION = ; MOLECULEWEIGHT = NA; MOLECULARFORMULA = ; KEGG = ; MOLECULE = ; CAS = ; INCHIKEY = ; HMDB = ; CHEBI = ; IUPAC = ; ISOMERIC = ; INCHI = ; MESH = ; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 09:12:35.0"
"","Species","ADMCDUKEP180UPLC","AD Metabolomics Consortium Duke Biocrates P180 Kit Ultra Performance Liquid Chromatography","-4","Species of sample origin","-4","-4","-4","-4","","-4","-4","-4","-4","-4","DESCRIPTION = ; MOLECULEWEIGHT = NA; MOLECULARFORMULA = ; KEGG = ; MOLECULE = ; CAS = ; INCHIKEY = ; HMDB = ; CHEBI = ; IUPAC = ; ISOMERIC = ; INCHI = ; MESH = ; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 09:12:35.0"
"","Material","ADMCDUKEP180UPLC","AD Metabolomics Consortium Duke Biocrates P180 Kit Ultra Performance Liquid Chromatography","-4","For this study the samples are serum","-4","-4","-4","-4","","-4","-4","-4","-4","-4","DESCRIPTION = QC samples are plasma; MOLECULEWEIGHT = NA; MOLECULARFORMULA = ; KEGG = ; MOLECULE = ; CAS = ; INCHIKEY = ; HMDB = ; CHEBI = ; IUPAC = ; ISOMERIC = ; INCHI = ; MESH = ; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 09:12:35.0"
"","Well.Position","ADMCDUKEP180UPLC","AD Metabolomics Consortium Duke Biocrates P180 Kit Ultra Performance Liquid Chromatography","-4","Well number in the 96-well plate from which the sample was injected","-4","-4","-4","-4","","-4","-4","-4","-4","-4","DESCRIPTION = ; MOLECULEWEIGHT = NA; MOLECULARFORMULA = ; KEGG = ; MOLECULE = ; CAS = ; INCHIKEY = ; HMDB = ; CHEBI = ; IUPAC = ; ISOMERIC = ; INCHI = ; MESH = ; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 09:12:35.0"
"","Sample.Volume","ADMCDUKEP180UPLC","AD Metabolomics Consortium Duke Biocrates P180 Kit Ultra Performance Liquid Chromatography","-4","The volume of sample injected in microliters","-4","-4","-4","-4","","-4","-4","-4","-4","-4","DESCRIPTION = ; MOLECULEWEIGHT = NA; MOLECULARFORMULA = ; KEGG = ; MOLECULE = ; CAS = ; INCHIKEY = ; HMDB = ; CHEBI = ; IUPAC = ; ISOMERIC = ; INCHI = ; MESH = ; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 09:12:35.0"
"","Ala","ADMCDUKEP180UPLC","AD Metabolomics Consortium Duke Biocrates P180 Kit Ultra Performance Liquid Chromatography","-4","Alanine","-4","-4","-4","-4","","-4","-4","-4","-4","-4","DESCRIPTION = ; MOLECULEWEIGHT = 89.09318; MOLECULARFORMULA = C3H7NO2; KEGG = C01401; MOLECULE = Alanine; CAS = 302-72-7; INCHIKEY = QNAYBMKLOCPYGJ-UHFFFAOYSA-N; HMDB = ; CHEBI = 16449               ; IUPAC = 2-aminopropanoic acid; ISOMERIC = CC(C(=O)O)N; INCHI = InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6); MESH = Alanine; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 09:12:35.0"
"","Arg","ADMCDUKEP180UPLC","AD Metabolomics Consortium Duke Biocrates P180 Kit Ultra Performance Liquid Chromatography","-4","Arginine","-4","-4","-4","-4","","-4","-4","-4","-4","-4","DESCRIPTION = ; MOLECULEWEIGHT = 174.20096; MOLECULARFORMULA = C6H14N4O2; KEGG = C00792; MOLECULE = D-Arginine; CAS = 157-06-2; INCHIKEY = ODKSFYDXXFIFQN-SCSAIBSYSA-N; HMDB = HMDB03416           ; CHEBI = 15816               ; IUPAC = (2R)-2-amino-5-(diaminomethylideneamino)pentanoic acid; ISOMERIC = C(C[C@H](C(=O)O)N)CN=C(N)N; INCHI = InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)/t4-/m1/s1; MESH = Arginine; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 09:12:35.0"
"","Asn","ADMCDUKEP180UPLC","AD Metabolomics Consortium Duke Biocrates P180 Kit Ultra Performance Liquid Chromatography","-4","Asparagine","-4","-4","-4","-4","","-4","-4","-4","-4","-4","DESCRIPTION = ; MOLECULEWEIGHT = 132.11792; MOLECULARFORMULA = C4H8N2O3; KEGG = C01905; MOLECULE = D-Asparagine; CAS = 2058-58-4; INCHIKEY = DCXYFEDJOCDNAF-UWTATZPHSA-N; HMDB = ; CHEBI = 28159               ; IUPAC = (2R)-2,4-diamino-4-oxobutanoic acid; ISOMERIC = C([C@H](C(=O)O)N)C(=O)N; INCHI = InChI=1S/C4H8N2O3/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H2,6,7)(H,8,9)/t2-/m1/s1; MESH = Asparagine; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 09:12:35.0"
