"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","ADMCGCTOF","ADMC Metabolomic Analysis by Gas chromatography time of flight mass spectrometry (GCTOF) Data [ADNI1]","-4","Participant roster ID","-4","-4","-4","-4","","-4","-4","-4","-4","-4","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-09-18 15:04:24.0"
"","COMMENTS","ADMCGCTOF","ADMC Metabolomic Analysis by Gas chromatography time of flight mass spectrometry (GCTOF) Data [ADNI1]","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-09-18 15:04:24.0"
"","Z.C30.FAME.INTERNAL.STANDARD","ADMCGCTOF","ADMC Metabolomic Analysis by Gas chromatography time of flight mass spectrometry (GCTOF) Data [ADNI1]","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","ret.index: 1113100; quant.mz: 87; Binbase_ID: 14441; KEGG: internal standard; PubChem: 12400; InChI_Key: BIRUBGLRQLAEFF-UHFFFAOYSA-N ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-09-18 15:04:24.0"
"","Z.C28.FAME.INTERNAL.STANDARD","ADMCGCTOF","ADMC Metabolomic Analysis by Gas chromatography time of flight mass spectrometry (GCTOF) Data [ADNI1]","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","ret.index: 1061700; quant.mz: 87; Binbase_ID: 14378; KEGG: internal standard; PubChem: 41518; InChI_Key: ZKHOYAKAFALNQD-UHFFFAOYSA-N ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-09-18 15:04:24.0"
"","Z.C26.FAME.INTERNAL.STANDARD","ADMCGCTOF","ADMC Metabolomic Analysis by Gas chromatography time of flight mass spectrometry (GCTOF) Data [ADNI1]","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","ret.index: 1006900; quant.mz: 87; Binbase_ID: 14367; KEGG: internal standard; PubChem: 22048; InChI_Key: VHUJBYYFFWDLNM-UHFFFAOYSA-N ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-09-18 15:04:24.0"
"","Z.C24.FAME.INTERNAL.STANDARD","ADMCGCTOF","ADMC Metabolomic Analysis by Gas chromatography time of flight mass spectrometry (GCTOF) Data [ADNI1]","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","ret.index: 948820; quant.mz: 87; Binbase_ID: 14373; KEGG: internal standard; PubChem: 75546; InChI_Key: XUDJZDNUVZHSKZ-UHFFFAOYSA-N ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-09-18 15:04:24.0"
"","Z.C22.FAME.INTERNAL.STANDARD","ADMCGCTOF","ADMC Metabolomic Analysis by Gas chromatography time of flight mass spectrometry (GCTOF) Data [ADNI1]","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","ret.index: 886620; quant.mz: 87; Binbase_ID: 14350; KEGG: internal standard; PubChem: 13584; InChI_Key: QSQLTHHMFHEFIY-UHFFFAOYSA-N ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-09-18 15:04:24.0"
"","Z.C20.FAME.INTERNAL.STANDARD","ADMCGCTOF","ADMC Metabolomic Analysis by Gas chromatography time of flight mass spectrometry (GCTOF) Data [ADNI1]","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","ret.index: 819620; quant.mz: 87; Binbase_ID: 14338; KEGG: internal standard; PubChem: 14259; InChI_Key: QGBRLVONZXHAKJ-UHFFFAOYSA-N ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-09-18 15:04:24.0"
"","Z.C18.FAME.INTERNAL.STANDARD","ADMCGCTOF","ADMC Metabolomic Analysis by Gas chromatography time of flight mass spectrometry (GCTOF) Data [ADNI1]","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","ret.index: 747420; quant.mz: 87; Binbase_ID: 14344; KEGG: internal standard; PubChem: 8201; InChI_Key: HPEUJPJOZXNMSJ-UHFFFAOYSA-N ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-09-18 15:04:24.0"
"","Z.C16.FAME.INTERNAL.STANDARD","ADMCGCTOF","ADMC Metabolomic Analysis by Gas chromatography time of flight mass spectrometry (GCTOF) Data [ADNI1]","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","ret.index: 668720; quant.mz: 87; Binbase_ID: 14328; KEGG: internal standard; PubChem: 8181; InChI_Key: FLIACVVOZYBSBS-UHFFFAOYSA-N ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-09-18 15:04:24.0"
"","Z.C14.FAME.INTERNAL.STANDARD","ADMCGCTOF","ADMC Metabolomic Analysis by Gas chromatography time of flight mass spectrometry (GCTOF) Data [ADNI1]","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","ret.index: 582620; quant.mz: 87; Binbase_ID: 14330; KEGG: internal standard; PubChem: 31284; InChI_Key: ZAZKJZBWRNNLDS-UHFFFAOYSA-N ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-09-18 15:04:24.0"
"","Z.C12.FAME.INTERNAL.STANDARD","ADMCGCTOF","ADMC Metabolomic Analysis by Gas chromatography time of flight mass spectrometry (GCTOF) Data [ADNI1]","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","ret.index: 487220; quant.mz: 87; Binbase_ID: 15538; KEGG: internal standard; PubChem: 8139; InChI_Key: UQDUPQYQJKYHQI-UHFFFAOYSA-N ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-09-18 15:04:24.0"
"","Z.C10.FAME.INTERNAL.STANDARD","ADMCGCTOF","ADMC Metabolomic Analysis by Gas chromatography time of flight mass spectrometry (GCTOF) Data [ADNI1]","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","ret.index: 381020; quant.mz: 87; Binbase_ID: 14348; KEGG: internal standard; PubChem: 8050; InChI_Key: YRHYCMZPEVDGFQ-UHFFFAOYSA-N ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-09-18 15:04:24.0"
