"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","ADMCGUTMETABOLITESLONG","ADMC U Hawaii UPLC-MS/MS Gut Metabolites Serum Longitudinal","-4","Participant roster ID","-4","-4","-4","-4","","-4","-4","-4","-4","-4","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-11-15 09:26:21.0"
"","VISCODE","ADMCGUTMETABOLITESLONG","ADMC U Hawaii UPLC-MS/MS Gut Metabolites Serum Longitudinal","-4","Visit code","-4","-4","-4","-4","","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-11-15 09:26:21.0"
"","VISCODE2","ADMCGUTMETABOLITESLONG","ADMC U Hawaii UPLC-MS/MS Gut Metabolites Serum Longitudinal","-4","Translated visit code","-4","-4","-4","-4","","-4","-4","-4","-4","-4","Months from baseline rounded to nearest 6 months","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-11-15 09:26:21.0"
"","EXAMDATE","ADMCGUTMETABOLITESLONG","ADMC U Hawaii UPLC-MS/MS Gut Metabolites Serum Longitudinal","-4","Examination Date","-4","-4","-4","-4","","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-11-15 09:26:21.0"
"","DRAWDATE","ADMCGUTMETABOLITESLONG","ADMC U Hawaii UPLC-MS/MS Gut Metabolites Serum Longitudinal","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-11-15 09:26:21.0"
"","VID","ADMCGUTMETABOLITESLONG","ADMC U Hawaii UPLC-MS/MS Gut Metabolites Serum Longitudinal","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-11-15 09:26:21.0"
"","SAMPLE_ID","ADMCGUTMETABOLITESLONG","ADMC U Hawaii UPLC-MS/MS Gut Metabolites Serum Longitudinal","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-11-15 09:26:21.0"
"","DRAWTIME","ADMCGUTMETABOLITESLONG","ADMC U Hawaii UPLC-MS/MS Gut Metabolites Serum Longitudinal","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-11-15 09:26:21.0"
"","L_HISTIDINE","ADMCGUTMETABOLITESLONG","ADMC U Hawaii UPLC-MS/MS Gut Metabolites Serum Longitudinal","-4","L-Histidine","-4","-4","-4","-4","","-4","-4","-4","M","-4","HMDB00177","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-11-15 09:26:21.0"
"","L_LYSINE","ADMCGUTMETABOLITESLONG","ADMC U Hawaii UPLC-MS/MS Gut Metabolites Serum Longitudinal","-4","L-Lysine","-4","-4","-4","-4","","-4","-4","-4","M","-4","HMDB00182","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-11-15 09:26:21.0"
"","L_SERINE","ADMCGUTMETABOLITESLONG","ADMC U Hawaii UPLC-MS/MS Gut Metabolites Serum Longitudinal","-4","L-Serine","-4","-4","-4","-4","","-4","-4","-4","M","-4","HMDB00187","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-11-15 09:26:21.0"
