"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","ADMCPDINESIPCISRATIOS","AD Metabolomics Consortium Phenomenome Phosphatidylcholine (PtdCho), Lysophosphatidylcholine (LPtdCho) Flow Injection Negative Ionization LC-MS/MS Internal Standard Ratios","-4","Participant roster ID","-4","-4","-4","-4","","-4","-4","-4","-4","-4","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-06 12:25:19.0"
"","PC.16.0_18.0","ADMCPDINESIPCISRATIOS","AD Metabolomics Consortium Phenomenome Phosphatidylcholine (PtdCho), Lysophosphatidylcholine (LPtdCho) Flow Injection Negative Ionization LC-MS/MS Internal Standard Ratios","-4","PtdCho 16:0/18:0","-4","-4","-4","-4","","-4","-4","-4","-4","-4","MS.MS.Transition = 806.6 / 255.2; Lipid.Class = Phosphatidylcholine; Mode = Negative ESI","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-06 12:25:19.0"
"","PC.18.0_18.0","ADMCPDINESIPCISRATIOS","AD Metabolomics Consortium Phenomenome Phosphatidylcholine (PtdCho), Lysophosphatidylcholine (LPtdCho) Flow Injection Negative Ionization LC-MS/MS Internal Standard Ratios","-4","PtdCho 18:0/18:0","-4","-4","-4","-4","","-4","-4","-4","-4","-4","MS.MS.Transition = 834.6 / 283.2; Lipid.Class = Phosphatidylcholine; Mode = Negative ESI","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-06 12:25:19.0"
"","PC.16.0_18.1","ADMCPDINESIPCISRATIOS","AD Metabolomics Consortium Phenomenome Phosphatidylcholine (PtdCho), Lysophosphatidylcholine (LPtdCho) Flow Injection Negative Ionization LC-MS/MS Internal Standard Ratios","-4","PtdCho 16:0/18:1","-4","-4","-4","-4","","-4","-4","-4","-4","-4","MS.MS.Transition = 804.6 / 281.2; Lipid.Class = Phosphatidylcholine; Mode = Negative ESI","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-06 12:25:19.0"
"","PC.18.0_18.1","ADMCPDINESIPCISRATIOS","AD Metabolomics Consortium Phenomenome Phosphatidylcholine (PtdCho), Lysophosphatidylcholine (LPtdCho) Flow Injection Negative Ionization LC-MS/MS Internal Standard Ratios","-4","PtdCho 18:0/18:1","-4","-4","-4","-4","","-4","-4","-4","-4","-4","MS.MS.Transition = 832.6 / 281.2; Lipid.Class = Phosphatidylcholine; Mode = Negative ESI","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-06 12:25:19.0"
"","PC.18.1_18.1","ADMCPDINESIPCISRATIOS","AD Metabolomics Consortium Phenomenome Phosphatidylcholine (PtdCho), Lysophosphatidylcholine (LPtdCho) Flow Injection Negative Ionization LC-MS/MS Internal Standard Ratios","-4","PtdCho 18:1/18:1","-4","-4","-4","-4","","-4","-4","-4","-4","-4","MS.MS.Transition = 830.6 / 281.2; Lipid.Class = Phosphatidylcholine; Mode = Negative ESI","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-06 12:25:19.0"
"","PC.16.0_18.2","ADMCPDINESIPCISRATIOS","AD Metabolomics Consortium Phenomenome Phosphatidylcholine (PtdCho), Lysophosphatidylcholine (LPtdCho) Flow Injection Negative Ionization LC-MS/MS Internal Standard Ratios","-4","PtdCho 16:0/18:2","-4","-4","-4","-4","","-4","-4","-4","-4","-4","MS.MS.Transition = 802.6 / 279.2; Lipid.Class = Phosphatidylcholine; Mode = Negative ESI","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-06 12:25:19.0"
"","PC.18.0_18.2","ADMCPDINESIPCISRATIOS","AD Metabolomics Consortium Phenomenome Phosphatidylcholine (PtdCho), Lysophosphatidylcholine (LPtdCho) Flow Injection Negative Ionization LC-MS/MS Internal Standard Ratios","-4","PtdCho 18:0/18:2","-4","-4","-4","-4","","-4","-4","-4","-4","-4","MS.MS.Transition = 830.6 / 279.2; Lipid.Class = Phosphatidylcholine; Mode = Negative ESI","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-06 12:25:19.0"
"","PC.18.1_18.2","ADMCPDINESIPCISRATIOS","AD Metabolomics Consortium Phenomenome Phosphatidylcholine (PtdCho), Lysophosphatidylcholine (LPtdCho) Flow Injection Negative Ionization LC-MS/MS Internal Standard Ratios","-4","PtdCho 18:1/18:2","-4","-4","-4","-4","","-4","-4","-4","-4","-4","MS.MS.Transition = 828.6 / 279.2; Lipid.Class = Phosphatidylcholine; Mode = Negative ESI","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-06 12:25:19.0"
"","PC.16.0_18.3","ADMCPDINESIPCISRATIOS","AD Metabolomics Consortium Phenomenome Phosphatidylcholine (PtdCho), Lysophosphatidylcholine (LPtdCho) Flow Injection Negative Ionization LC-MS/MS Internal Standard Ratios","-4","PtdCho 16:0/18:3","-4","-4","-4","-4","","-4","-4","-4","-4","-4","MS.MS.Transition = 800.6 / 277.2; Lipid.Class = Phosphatidylcholine; Mode = Negative ESI","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-06 12:25:19.0"
"","PC.18.0_18.3","ADMCPDINESIPCISRATIOS","AD Metabolomics Consortium Phenomenome Phosphatidylcholine (PtdCho), Lysophosphatidylcholine (LPtdCho) Flow Injection Negative Ionization LC-MS/MS Internal Standard Ratios","-4","PtdCho 18:0/18:3","-4","-4","-4","-4","","-4","-4","-4","-4","-4","MS.MS.Transition = 828.6 / 277.2; Lipid.Class = Phosphatidylcholine; Mode = Negative ESI","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-06 12:25:19.0"
