"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","ADMCPDIPEISRATIOS","AD Metabolomics Consortium Phenomenome Phosphatidylethanolamine (PtdEtn), Plasmenylethanolamine (PlsEtn) Flow Injection LC-MS/MS Internal Standard Ratios","-4","Participant roster ID","-4","-4","-4","-4","","-4","-4","-4","-4","-4","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-06 15:54:35.0"
"","PE.P.16.0_18.2","ADMCPDIPEISRATIOS","AD Metabolomics Consortium Phenomenome Phosphatidylethanolamine (PtdEtn), Plasmenylethanolamine (PlsEtn) Flow Injection LC-MS/MS Internal Standard Ratios","-4","PlsEtn 16:0/18:2","-4","-4","-4","-4","","-4","-4","-4","-4","-4","MS.MS.Transition = 698.5/279.2; Lipid.Class = Plasmenylethanolamine (plasmalogen); Mode = Negative APCI","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-06 15:54:35.0"
"","PE.P.18.0_20.5","ADMCPDIPEISRATIOS","AD Metabolomics Consortium Phenomenome Phosphatidylethanolamine (PtdEtn), Plasmenylethanolamine (PlsEtn) Flow Injection LC-MS/MS Internal Standard Ratios","-4","PlsEtn 18:0/20:5","-4","-4","-4","-4","","-4","-4","-4","-4","-4","MS.MS.Transition = 748.5/301.2; Lipid.Class = Plasmenylethanolamine (plasmalogen); Mode = Negative APCI","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-06 15:54:35.0"
"","PE.P.16.0_22.4","ADMCPDIPEISRATIOS","AD Metabolomics Consortium Phenomenome Phosphatidylethanolamine (PtdEtn), Plasmenylethanolamine (PlsEtn) Flow Injection LC-MS/MS Internal Standard Ratios","-4","PlsEtn 16:0/22:4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","MS.MS.Transition = 750.5/331.2; Lipid.Class = Plasmenylethanolamine (plasmalogen); Mode = Negative APCI","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-06 15:54:35.0"
"","PE.P.16.0_22.6","ADMCPDIPEISRATIOS","AD Metabolomics Consortium Phenomenome Phosphatidylethanolamine (PtdEtn), Plasmenylethanolamine (PlsEtn) Flow Injection LC-MS/MS Internal Standard Ratios","-4","PlsEtn 16:0/22:6","-4","-4","-4","-4","","-4","-4","-4","-4","-4","MS.MS.Transition = 746.5/327.2; Lipid.Class = Plasmenylethanolamine (plasmalogen); Mode = Negative APCI","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-06 15:54:35.0"
"","PE.16.0_18.3","ADMCPDIPEISRATIOS","AD Metabolomics Consortium Phenomenome Phosphatidylethanolamine (PtdEtn), Plasmenylethanolamine (PlsEtn) Flow Injection LC-MS/MS Internal Standard Ratios","-4","PtdEtn 16:0/18:3","-4","-4","-4","-4","","-4","-4","-4","-4","-4","MS.MS.Transition = 712.5/255.2; Lipid.Class = Phosphatidylethanolamine; Mode = Negative APCI","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-06 15:54:35.0"
"","PE.16.0_22.6","ADMCPDIPEISRATIOS","AD Metabolomics Consortium Phenomenome Phosphatidylethanolamine (PtdEtn), Plasmenylethanolamine (PlsEtn) Flow Injection LC-MS/MS Internal Standard Ratios","-4","PtdEtn 16:0/22:6","-4","-4","-4","-4","","-4","-4","-4","-4","-4","MS.MS.Transition = 762.5/255.2; Lipid.Class = Phosphatidylethanolamine; Mode = Negative APCI","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-06 15:54:35.0"
"","PE.18.0_20.5","ADMCPDIPEISRATIOS","AD Metabolomics Consortium Phenomenome Phosphatidylethanolamine (PtdEtn), Plasmenylethanolamine (PlsEtn) Flow Injection LC-MS/MS Internal Standard Ratios","-4","PtdEtn 18:0/20:5","-4","-4","-4","-4","","-4","-4","-4","-4","-4","MS.MS.Transition = 764.5/301.2; Lipid.Class = Phosphatidylethanolamine; Mode = Negative APCI","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-06 15:54:35.0"
"","PE.18.0_22.4","ADMCPDIPEISRATIOS","AD Metabolomics Consortium Phenomenome Phosphatidylethanolamine (PtdEtn), Plasmenylethanolamine (PlsEtn) Flow Injection LC-MS/MS Internal Standard Ratios","-4","PtdEtn 18:0/22:4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","MS.MS.Transition = 794.5/283.2; Lipid.Class = Phosphatidylethanolamine; Mode = Negative APCI","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-06 15:54:35.0"
"","RECNO","ADMCPDIPEISRATIOS","AD Metabolomics Consortium Phenomenome Phosphatidylethanolamine (PtdEtn), Plasmenylethanolamine (PlsEtn) Flow Injection LC-MS/MS Internal Standard Ratios","-4","Record number (2 indicates replicate sample)","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 14:33:05.0"
