"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","ADMCPDIPESIPCISRATIOS","AD Metabolomics Consortium Phenomenome Phosphatidylcholine (PtdCho), Lysophosphatidylcholine (LPtdCho), Sphingomyeline (SM) Flow Injection Positive Ionization LC-MS/MS Internal Standard Ratios","-4","Participant roster ID","-4","-4","-4","-4","","-4","-4","-4","-4","-4","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 13:43:25.0"
"","RECNO","ADMCPDIPESIPCISRATIOS","AD Metabolomics Consortium Phenomenome Phosphatidylcholine (PtdCho), Lysophosphatidylcholine (LPtdCho), Sphingomyeline (SM) Flow Injection Positive Ionization LC-MS/MS Internal Standard Ratios","-4","Record number (2 indicates replicate sample)","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 13:43:25.0"
"","PC.34.3","ADMCPDIPESIPCISRATIOS","AD Metabolomics Consortium Phenomenome Phosphatidylcholine (PtdCho), Lysophosphatidylcholine (LPtdCho), Sphingomyeline (SM) Flow Injection Positive Ionization LC-MS/MS Internal Standard Ratios","-4","diacyl-PtdCho  16:0/18:3; 14:0/20:3; 16:1/18:2","-4","-4","-4","-4","","-4","-4","-4","-4","-4","MS.MS.Transition = 756.6/184.2; Lipid.Class = Phosphatidylcholine; Mode = Positive ESI","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 13:43:25.0"
"","PC.34.0","ADMCPDIPESIPCISRATIOS","AD Metabolomics Consortium Phenomenome Phosphatidylcholine (PtdCho), Lysophosphatidylcholine (LPtdCho), Sphingomyeline (SM) Flow Injection Positive Ionization LC-MS/MS Internal Standard Ratios","-4","diacyl-PtdCho 16:0/18:0; 14:0/20:0","-4","-4","-4","-4","","-4","-4","-4","-4","-4","MS.MS.Transition = 762.6/184.2; Lipid.Class = Phosphatidylcholine; Mode = Positive ESI","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 13:43:25.0"
"","PC.34.1","ADMCPDIPESIPCISRATIOS","AD Metabolomics Consortium Phenomenome Phosphatidylcholine (PtdCho), Lysophosphatidylcholine (LPtdCho), Sphingomyeline (SM) Flow Injection Positive Ionization LC-MS/MS Internal Standard Ratios","-4","diacyl PtdCho 16:0/18:1; 14:0/20:1; 16:1/18:0","-4","-4","-4","-4","","-4","-4","-4","-4","-4","MS.MS.Transition = 760.6/184.2; Lipid.Class = Phosphatidylcholine; Mode = Positive ESI","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 13:43:25.0"
"","PC.34.2","ADMCPDIPESIPCISRATIOS","AD Metabolomics Consortium Phenomenome Phosphatidylcholine (PtdCho), Lysophosphatidylcholine (LPtdCho), Sphingomyeline (SM) Flow Injection Positive Ionization LC-MS/MS Internal Standard Ratios","-4","diacyl PtdCho 16:0/18:2; 14:0/20:2; 16:1/18:1","-4","-4","-4","-4","","-4","-4","-4","-4","-4","MS.MS.Transition = 758.6/184.2; Lipid.Class = Phosphatidylcholine; Mode = Positive ESI","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 13:43:25.0"
"","PC.36.4","ADMCPDIPESIPCISRATIOS","AD Metabolomics Consortium Phenomenome Phosphatidylcholine (PtdCho), Lysophosphatidylcholine (LPtdCho), Sphingomyeline (SM) Flow Injection Positive Ionization LC-MS/MS Internal Standard Ratios","-4","diacyl PtdCho 16:0/20:4; 18:1/18:3; 14:0/22:4; 18:2/18:2; 16:1/20:3","-4","-4","-4","-4","","-4","-4","-4","-4","-4","MS.MS.Transition = 782.6/184.2; Lipid.Class = Phosphatidylcholine; Mode = Positive ESI","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 13:43:25.0"
"","PC.36.5","ADMCPDIPESIPCISRATIOS","AD Metabolomics Consortium Phenomenome Phosphatidylcholine (PtdCho), Lysophosphatidylcholine (LPtdCho), Sphingomyeline (SM) Flow Injection Positive Ionization LC-MS/MS Internal Standard Ratios","-4","diacyl PtdCho 16:0/20:5; 14:0/22:5; 18:2/18:3; 18:2/18:3","-4","-4","-4","-4","","-4","-4","-4","-4","-4","MS.MS.Transition = 780.6/184.2; Lipid.Class = Phosphatidylcholine; Mode = Positive ESI","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 13:43:25.0"
"","PC.38.4","ADMCPDIPESIPCISRATIOS","AD Metabolomics Consortium Phenomenome Phosphatidylcholine (PtdCho), Lysophosphatidylcholine (LPtdCho), Sphingomyeline (SM) Flow Injection Positive Ionization LC-MS/MS Internal Standard Ratios","-4","diacyl PtdCho 16:0/22:4, 18:0/20:4; 14:0/24:4; 18:1/20:3","-4","-4","-4","-4","","-4","-4","-4","-4","-4","MS.MS.Transition = 810.6/184.2; Lipid.Class = Phosphatidylcholine; Mode = Positive ESI","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 13:43:25.0"
"","PC.38.6","ADMCPDIPESIPCISRATIOS","AD Metabolomics Consortium Phenomenome Phosphatidylcholine (PtdCho), Lysophosphatidylcholine (LPtdCho), Sphingomyeline (SM) Flow Injection Positive Ionization LC-MS/MS Internal Standard Ratios","-4","diacyl PtdCho 16:0/22:6, 18:1/20:5; 14:0/24:6; 18:2/20:4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","MS.MS.Transition = 806.6/184.2; Lipid.Class = Phosphatidylcholine; Mode = Positive ESI","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 13:43:25.0"
