"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"-4","ORIGPROT","ADMCBAPP","AD Metabolomics Consortium Bile Acids - Post-processed","-4","Original study protocol","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-06-29 12:39:48.0"
"","RID","ADMCBAPP","AD Metabolomics Consortium Bile Acids - Post-processed","-4","Participant roster ID","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-06-29 12:39:48.0"
"-4","VISCODE","ADMCBAPP","AD Metabolomics Consortium Bile Acids - Post-processed","-4","Visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-06-29 12:39:48.0"
"","PLATFORM_ID","ADMCBAPP","AD Metabolomics Consortium Bile Acids - Post-processed","-4","BILEACID: Biocrates Bile Acid Kit","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-06-29 12:39:48.0"
"","PLATE_ID","ADMCBAPP","AD Metabolomics Consortium Bile Acids - Post-processed","-4","Plate bar code number from which the sample was injected","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-06-29 12:39:48.0"
"","SPECIES","ADMCBAPP","AD Metabolomics Consortium Bile Acids - Post-processed","-4","Species of sample","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","MOLECULEWEIGHT = NA; MOLECULARFORMULA = ; KEGG = ; MOLECULE = ; CAS = ; INCHIKEY = ; HMDB = ; CHEBI = NA; IUPAC = ; ISOMERIC = NA; INCHI = ; MESH = NA; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-06-29 12:39:48.0"
"","MATERIAL","ADMCBAPP","AD Metabolomics Consortium Bile Acids - Post-processed","-4","For this study the samples are serum","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","MOLECULEWEIGHT = NA; MOLECULARFORMULA = ; KEGG = ; MOLECULE = ; CAS = ; INCHIKEY = ; HMDB = ; CHEBI = NA; IUPAC = ; ISOMERIC = NA; INCHI = ; MESH = NA; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-06-29 12:39:48.0"
"","WELL_POSITION","ADMCBAPP","AD Metabolomics Consortium Bile Acids - Post-processed","-4","Well number in the 96-well plate from which the sample was injected","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","MOLECULEWEIGHT = NA; MOLECULARFORMULA = ; KEGG = ; MOLECULE = ; CAS = ; INCHIKEY = ; HMDB = ; CHEBI = NA; IUPAC = ; ISOMERIC = NA; INCHI = ; MESH = NA; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-06-29 12:39:48.0"
"","SAMPLE_VOLUME","ADMCBAPP","AD Metabolomics Consortium Bile Acids - Post-processed","-4","The volume of sample injected in microliters","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","MOLECULEWEIGHT = NA; MOLECULARFORMULA = ; KEGG = ; MOLECULE = ; CAS = ; INCHIKEY = ; HMDB = ; CHEBI = NA; IUPAC = ; ISOMERIC = NA; INCHI = ; MESH = NA; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-06-29 12:39:48.0"
"","SUBJECT_FLAG","ADMCBAPP","AD Metabolomics Consortium Bile Acids - Post-processed","-4","A flag shows whether a sample were excluded during preprocessing steps; 0: sample were not excluded. 1: sample were excluded","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","MOLECULEWEIGHT = NA; MOLECULARFORMULA = ; KEGG = ; MOLECULE = ; CAS = ; INCHIKEY = ; HMDB = ; CHEBI = NA; IUPAC = ; ISOMERIC = NA; INCHI = ; MESH = NA; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-06-29 12:39:48.0"
