"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","ADMCHIVALMETAB","Targeted UHPLC-MS analysis of High-Value Metabolites in Serum Samples","-4","Participant roster ID","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-08-16 16:24:00.0"
"","RECNO","ADMCHIVALMETAB","Targeted UHPLC-MS analysis of High-Value Metabolites in Serum Samples","-4","Record number (2 indicates replicate sample)","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-08-16 16:24:00.0"
"","Samples.Metabolites","ADMCHIVALMETAB","Targeted UHPLC-MS analysis of High-Value Metabolites in Serum Samples","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-08-16 16:24:00.0"
"","Comments","ADMCHIVALMETAB","Targeted UHPLC-MS analysis of High-Value Metabolites in Serum Samples","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-08-16 16:24:00.0"
"","ADMA","ADMCHIVALMETAB","Targeted UHPLC-MS analysis of High-Value Metabolites in Serum Samples","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","HMDB = HMDB01539","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-08-16 16:24:00.0"
"","Betaine","ADMCHIVALMETAB","Targeted UHPLC-MS analysis of High-Value Metabolites in Serum Samples","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","HMDB = HMDB00043","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-08-16 16:24:00.0"
"","Choline","ADMCHIVALMETAB","Targeted UHPLC-MS analysis of High-Value Metabolites in Serum Samples","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","HMDB = HMDB00097","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-08-16 16:24:00.0"
"","Creatinine","ADMCHIVALMETAB","Targeted UHPLC-MS analysis of High-Value Metabolites in Serum Samples","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","HMDB = HMDB00562","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-08-16 16:24:00.0"
"","Glutamic.acid","ADMCHIVALMETAB","Targeted UHPLC-MS analysis of High-Value Metabolites in Serum Samples","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","HMDB = HMDB32478","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-08-16 16:24:00.0"
"","Leucine","ADMCHIVALMETAB","Targeted UHPLC-MS analysis of High-Value Metabolites in Serum Samples","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","HMDB = HMDB00687","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-08-16 16:24:00.0"
"","Methionine","ADMCHIVALMETAB","Targeted UHPLC-MS analysis of High-Value Metabolites in Serum Samples","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","HMDB = HMDB00696","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-08-16 16:24:00.0"
"","Phenylalanine","ADMCHIVALMETAB","Targeted UHPLC-MS analysis of High-Value Metabolites in Serum Samples","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","HMDB = HMDB00159","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-08-16 16:24:00.0"
"","Serine","ADMCHIVALMETAB","Targeted UHPLC-MS analysis of High-Value Metabolites in Serum Samples","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","HMDB = HMDB00187","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-08-16 16:24:00.0"
"","Taurine","ADMCHIVALMETAB","Targeted UHPLC-MS analysis of High-Value Metabolites in Serum Samples","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","HMDB = HMDB00251","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-08-16 16:24:00.0"
"","TMAO","ADMCHIVALMETAB","Targeted UHPLC-MS analysis of High-Value Metabolites in Serum Samples","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","HMDB = HMDB00925","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-08-16 16:24:00.0"
"","Tryptophan","ADMCHIVALMETAB","Targeted UHPLC-MS analysis of High-Value Metabolites in Serum Samples","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","HMDB = HMDB13609","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-08-16 16:24:00.0"
"","Tyrosine","ADMCHIVALMETAB","Targeted UHPLC-MS analysis of High-Value Metabolites in Serum Samples","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","HMDB = HMDB00158","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-08-16 16:24:00.0"
"","Glutamine","ADMCHIVALMETAB","Targeted UHPLC-MS analysis of High-Value Metabolites in Serum Samples","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","HMDB = HMDB00641","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-08-16 16:24:00.0"
"","beta.hydroxybutyrate","ADMCHIVALMETAB","Targeted UHPLC-MS analysis of High-Value Metabolites in Serum Samples","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","HMDB = HMDB00357","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-08-16 16:24:00.0"
"","Glucose","ADMCHIVALMETAB","Targeted UHPLC-MS analysis of High-Value Metabolites in Serum Samples","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","HMDB = HMDB00122","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-08-16 16:24:00.0"
"","Lactate","ADMCHIVALMETAB","Targeted UHPLC-MS analysis of High-Value Metabolites in Serum Samples","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","HMDB = HMDB00190","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-08-16 16:24:00.0"
