"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","ADMCM2OVEBA","ADMC M2OVE-AD ADNIGO-2 Bile Acids","-4","Participant roster ID","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-01-03 11:50:10.0"
"","CUSTOMER.SAMPLE.IDENTIFICATION","ADMCM2OVEBA","ADMC M2OVE-AD ADNIGO-2 Bile Acids","-4","This is the number listed on every tube of the study samples","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-01-03 11:50:10.0"
"","PLATE.BAR.CODE","ADMCM2OVEBA","ADMC M2OVE-AD ADNIGO-2 Bile Acids","-4","Unique identifier for every plate generated by the Biocrates MetIDQ software","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-01-03 11:50:10.0"
"","SAMPLE.BAR.CODE","ADMCM2OVEBA","ADMC M2OVE-AD ADNIGO-2 Bile Acids","-4","Unique identifier for every sample registered in the Biocrates MetIDQ software","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-01-03 11:50:10.0"
"","SAMPLE.TYPE","ADMCM2OVEBA","ADMC M2OVE-AD ADNIGO-2 Bile Acids","-4","Study samples are Sample.  Biocrates QCs are QC Level 1, 2 or 3.","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-01-03 11:50:10.0"
"","SAMPLE.IDENTIFICATION","ADMCM2OVEBA","ADMC M2OVE-AD ADNIGO-2 Bile Acids","-4","Unique identifier for every sample entered in the Duke Proteomics Sample Sumbission System","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-01-03 11:50:10.0"
"","SPECIES","ADMCM2OVEBA","ADMC M2OVE-AD ADNIGO-2 Bile Acids","-4","Species of sample","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-01-03 11:50:10.0"
"","MATERIAL","ADMCM2OVEBA","ADMC M2OVE-AD ADNIGO-2 Bile Acids","-4","For this study the samples are serum","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-01-03 11:50:10.0"
"","WELL.POSITION","ADMCM2OVEBA","ADMC M2OVE-AD ADNIGO-2 Bile Acids","-4","Well number in the 96-well plate from which the sample was injected","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-01-03 11:50:10.0"
"","SAMPLE.VOLUME","ADMCM2OVEBA","ADMC M2OVE-AD ADNIGO-2 Bile Acids","-4","The volume of sample injected in microliters","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-01-03 11:50:10.0"
