"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","BLENNOWPLASMANFLLONG","Blennow Lab ADNI1-2 Plasma neurofilament light (NFL) longitudinal","-4","Participant roster ID","-4","-4","-4","-4","-4","-4","-4","-4","","","The 4 digit roster ID (RID) should be used to merge data","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-10-05 10:35:04.0"
"","VISCODE","BLENNOWPLASMANFLLONG","Blennow Lab ADNI1-2 Plasma neurofilament light (NFL) longitudinal","-4","Visit code","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-10-05 10:35:04.0"
"","VISCODE2","BLENNOWPLASMANFLLONG","Blennow Lab ADNI1-2 Plasma neurofilament light (NFL) longitudinal","-4","Translated visit code","-4","-4","-4","-4","-4","-4","-4","-4","","","Months from baseline rounded to nearest 6 months","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-10-05 10:35:04.0"
"","USERDATE","BLENNOWPLASMANFLLONG","Blennow Lab ADNI1-2 Plasma neurofilament light (NFL) longitudinal","-4","Date record created","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-10-05 10:35:04.0"
"","EXAMDATE","BLENNOWPLASMANFLLONG","Blennow Lab ADNI1-2 Plasma neurofilament light (NFL) longitudinal","-4","Examination Date","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-10-05 10:35:04.0"
"","RECNO","BLENNOWPLASMANFLLONG","Blennow Lab ADNI1-2 Plasma neurofilament light (NFL) longitudinal","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-10-05 10:35:04.0"
"","DRAW_DATE","BLENNOWPLASMANFLLONG","Blennow Lab ADNI1-2 Plasma neurofilament light (NFL) longitudinal","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-10-05 10:35:04.0"
"","DRAW_TIME","BLENNOWPLASMANFLLONG","Blennow Lab ADNI1-2 Plasma neurofilament light (NFL) longitudinal","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-10-05 10:35:04.0"
"","PLASMA_NFL","BLENNOWPLASMANFLLONG","Blennow Lab ADNI1-2 Plasma neurofilament light (NFL) longitudinal","-4","Plasma neurofilament light (NFL)","-4","-4","-4","-4","-4","-4","-4","-4","pg/ml","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-10-05 10:35:04.0"
"","COMMENT","BLENNOWPLASMANFLLONG","Blennow Lab ADNI1-2 Plasma neurofilament light (NFL) longitudinal","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-10-05 10:35:04.0"
