"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","COLPROT","DTIROI_MEAN_V2","USC - DTI ROI Summary Measures v2 (Mean)","-4","Study protocol of data collection","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-19 11:06:39.0"
"","RID","DTIROI_MEAN_V2","USC - DTI ROI Summary Measures v2 (Mean)","-4","Participant roster ID","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-19 11:06:39.0"
"","VISCODE","DTIROI_MEAN_V2","USC - DTI ROI Summary Measures v2 (Mean)","-4","Visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-19 11:06:39.0"
"","VISCODE2","DTIROI_MEAN_V2","USC - DTI ROI Summary Measures v2 (Mean)","-4","Translated visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","Months from baseline rounded to nearest 6 months","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-19 11:06:39.0"
"","EXAMDATE","DTIROI_MEAN_V2","USC - DTI ROI Summary Measures v2 (Mean)","-4","Examination Date","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-19 11:06:39.0"
"","VERSION","DTIROI_MEAN_V2","USC - DTI ROI Summary Measures v2 (Mean)","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","In version 2.0 (RUNDATE 12/01/2021), we implemented a new preprocessing pipeline as outlined in the updated methods PDF (USC - DTI ROI Summary Measures Methods v2 [ADNI3], date: 12/01/2021).","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-19 11:06:39.0"
"","MANUFACTURER","DTIROI_MEAN_V2","USC - DTI ROI Summary Measures v2 (Mean)","-4","Scanner Manufacturer","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-19 11:06:39.0"
"","VOLUMES","DTIROI_MEAN_V2","USC - DTI ROI Summary Measures v2 (Mean)","-4","Number of volumes prescribed by acquisition protocol","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-19 11:06:39.0"
"","IMAGEUID","DTIROI_MEAN_V2","USC - DTI ROI Summary Measures v2 (Mean)","-4","IMAGE ID of the raw diffusion scan","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-19 11:06:39.0"
"","RUNDATE","DTIROI_MEAN_V2","USC - DTI ROI Summary Measures v2 (Mean)","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-19 11:06:39.0"
