"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","DTIROI_V1","USC - DTI ROI Summary Measures v1","-4","Participant roster ID","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-13 10:51:36.0"
"","VISCODE","DTIROI_V1","USC - DTI ROI Summary Measures v1","-4","Visit code","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-13 10:51:36.0"
"","VISCODE2","DTIROI_V1","USC - DTI ROI Summary Measures v1","-4","Translated visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","Months from baseline rounded to nearest 6 months","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-13 10:51:36.0"
"","EXAMDATE","DTIROI_V1","USC - DTI ROI Summary Measures v1","-4","Examination Date","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-13 10:51:36.0"
"","VERSION","DTIROI_V1","USC - DTI ROI Summary Measures v1","-4","Version","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-13 10:51:36.0"
"","VISNAME","DTIROI_V1","USC - DTI ROI Summary Measures v1","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-13 10:51:36.0"
"","VISITNO","DTIROI_V1","USC - DTI ROI Summary Measures v1","-4","Visit","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-13 10:51:36.0"
"","LONIUID_1","DTIROI_V1","USC - DTI ROI Summary Measures v1","-4","LONI Image ID for FA","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-13 10:51:36.0"
"","LONIUID_2","DTIROI_V1","USC - DTI ROI Summary Measures v1","-4","LONI Image ID for MD","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-13 10:51:36.0"
"","LONIUID_3","DTIROI_V1","USC - DTI ROI Summary Measures v1","-4","LONI Image ID for RD","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-13 10:51:36.0"
"","LONIUID_4","DTIROI_V1","USC - DTI ROI Summary Measures v1","-4","LONI Image ID for AD","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-13 10:51:36.0"
"","RUNDATE","DTIROI_V1","USC - DTI ROI Summary Measures v1","-4","Date","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-13 10:51:36.0"
"","STATUS","DTIROI_V1","USC - DTI ROI Summary Measures v1","-4","Status","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-13 10:51:36.0"
"","AD_CST_L","DTIROI_V1","USC - DTI ROI Summary Measures v1","-4","Corticospinal tract left ","-4","-4","-4","-4","-4","-4","-4","-4","AD","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-13 10:51:36.0"
"","AD_CST_R","DTIROI_V1","USC - DTI ROI Summary Measures v1","-4","Corticospinal tract right ","-4","-4","-4","-4","-4","-4","-4","-4","AD","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-13 10:51:36.0"
"","AD_ICP_L","DTIROI_V1","USC - DTI ROI Summary Measures v1","-4","Inferior cerebellar peduncle left ","-4","-4","-4","-4","-4","-4","-4","-4","AD","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-13 10:51:36.0"
"","AD_ICP_R","DTIROI_V1","USC - DTI ROI Summary Measures v1","-4","Inferior cerebellar peduncle right ","-4","-4","-4","-4","-4","-4","-4","-4","AD","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-13 10:51:36.0"
"","AD_ML_L","DTIROI_V1","USC - DTI ROI Summary Measures v1","-4","Medial lemniscus left ","-4","-4","-4","-4","-4","-4","-4","-4","AD","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-13 10:51:36.0"
"","AD_ML_R","DTIROI_V1","USC - DTI ROI Summary Measures v1","-4","Medial lemniscus right ","-4","-4","-4","-4","-4","-4","-4","-4","AD","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-13 10:51:36.0"
"","AD_SCP_L","DTIROI_V1","USC - DTI ROI Summary Measures v1","-4","Superior cerebellar peduncle left ","-4","-4","-4","-4","-4","-4","-4","-4","AD","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-13 10:51:36.0"
