"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","EUROIMMUN","EUROIMMUN CSF Beta-Amyloid","-4","Participant roster ID","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","The 4 digit roster ID (RID) should be used to merge data","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-04-19 15:54:45.0"
"","VISCODE","EUROIMMUN","EUROIMMUN CSF Beta-Amyloid","-4","Visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-04-19 15:54:45.0"
"","VISCODE2","EUROIMMUN","EUROIMMUN CSF Beta-Amyloid","-4","Translated visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","Months from baseline rounded to nearest 6 months","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-04-19 15:54:45.0"
"","EXAMDATE","EUROIMMUN","EUROIMMUN CSF Beta-Amyloid","-4","Examination Date","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-04-19 15:54:45.0"
"","POOL","EUROIMMUN","EUROIMMUN CSF Beta-Amyloid","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-04-19 15:54:45.0"
"","DRAWTIME","EUROIMMUN","EUROIMMUN CSF Beta-Amyloid","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-04-19 15:54:45.0"
"","COMMENTS","EUROIMMUN","EUROIMMUN CSF Beta-Amyloid","-4","Version date","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-04-19 15:54:45.0"
"","BETA_AMYLOID_1_40","EUROIMMUN","EUROIMMUN CSF Beta-Amyloid","-4","Beta-Amyloid 1-40","-4","-4","-4","-4","-4","-4","-4","-4","pg/ml","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-04-22 14:20:13.0"
"","BETA_AMYLOID_1_42","EUROIMMUN","EUROIMMUN CSF Beta-Amyloid","-4","Beta-Amyloid 1-42","-4","-4","-4","-4","-4","-4","-4","-4","pg/ml","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-04-22 14:20:13.0"
"","BETA_AMYLOID_42_40","EUROIMMUN","EUROIMMUN CSF Beta-Amyloid","-4","Beta-Amyloid 1-42/1-40 ratio","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-04-22 14:20:13.0"
