"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","HAASS_WASHU_LAB","Haass and Wash U lab summaries","-4","Participant roster ID","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-03-20 13:06:30.0"
"","VISCODE","HAASS_WASHU_LAB","Haass and Wash U lab summaries","-4","Visit code","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-03-20 13:06:30.0"
"","VISCODE2","HAASS_WASHU_LAB","Haass and Wash U lab summaries","-4","Translated visit code","-4","-4","-4","-4","-4","-4","-4","-4","","","Months from baseline rounded to nearest 6 months","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-03-20 13:06:30.0"
"","USERDATE","HAASS_WASHU_LAB","Haass and Wash U lab summaries","-4","Date record created","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-03-20 13:06:30.0"
"","EXAMDATE","HAASS_WASHU_LAB","Haass and Wash U lab summaries","-4","Examination Date","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-03-20 13:06:30.0"
"","WU_STREM2","HAASS_WASHU_LAB","Haass and Wash U lab summaries","-4","WashU CSF sTREM2 (pg/mL)","-4","-4","-4","-4","-4","-4","-4","-4","pg/mL","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-03-20 13:06:30.0"
"","WU_STREM2_CV","HAASS_WASHU_LAB","Haass and Wash U lab summaries","-4","WashU CSF sTREM2 Intraplate Coefficient of Variation (%)","-4","-4","-4","-4","-4","-4","-4","-4","%","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-03-20 13:06:30.0"
"","WU_STREM2CORRECTED","HAASS_WASHU_LAB","Haass and Wash U lab summaries","-4","WashU CSF sTREM2 (pg/mL) corrected values","-4","-4","-4","-4","-4","-4","-4","-4","pg/mL","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-03-20 13:06:30.0"
"","MSD_STREM2","HAASS_WASHU_LAB","Haass and Wash U lab summaries","-4","Haass CSF sTREM2 (pg/mL)","-4","-4","-4","-4","-4","-4","-4","-4","pg/mL","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-03-20 13:06:30.0"
"","MSD_STREM2_CV","HAASS_WASHU_LAB","Haass and Wash U lab summaries","-4","Haass CSF sTREM2 Intraplate Coefficient of Variation (%)","-4","-4","-4","-4","-4","-4","-4","-4","%","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-03-20 13:06:30.0"
"","MSD_STREM2CORRECTED","HAASS_WASHU_LAB","Haass and Wash U lab summaries","-4","Haass CSF sTREM2 (pg/mL) corrected values","-4","-4","-4","-4","-4","-4","-4","-4","pg/mL","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-03-20 13:06:30.0"
"","TREM2OUTLIER","HAASS_WASHU_LAB","Haass and Wash U lab summaries","-4","Correlation between the WashU and Haass CSF sTREM2 measurements","-4","-4","-4","-4","-4","-4","-4","-4","","","Outliers from the correlation between WashU and Haass CSF sTREM2 measurements (>98% tolerance)","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-03-20 13:06:30.0"
"","MSD_PGRN","HAASS_WASHU_LAB","Haass and Wash U lab summaries","-4","Haass CSF PGRN (pg/mL)","-4","-4","-4","-4","-4","-4","-4","-4","pg/mL","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-03-20 13:06:30.0"
"","MSD_PGRN_CV","HAASS_WASHU_LAB","Haass and Wash U lab summaries","-4","Haass CSF PGRN Intraplate Coefficient of Variation (%)","-4","-4","-4","-4","-4","-4","-4","-4","%","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-03-20 13:06:30.0"
"","MSD_PGRNCORRECTED","HAASS_WASHU_LAB","Haass and Wash U lab summaries","-4","Haass CSF PGRN (pg/mL) corrected values","-4","-4","-4","-4","-4","-4","-4","-4","pg/mL","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-03-20 13:06:30.0"
