"ID","FLDNAM","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","HULAB","ADNI Data Hu Lab","-4","Participant roster ID","-4","-4","-4","-4","","-4","-4","-4","-4","-4","The 4 digit roster ID (RID) should be used to merge data","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-01-08 10:07:14.0"
"","VISCODE","HULAB","ADNI Data Hu Lab","-4","Visit code","-4","-4","-4","-4","","-4","-4","-4","-4","-4","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-01-08 10:07:14.0"
"","VISCODE2","HULAB","ADNI Data Hu Lab","-4","Translated visit code","-4","-4","-4","-4","","-4","-4","-4","-4","-4","Months from baseline rounded to nearest 6 months","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-01-08 10:07:14.0"
"","EXAMDATE","HULAB","ADNI Data Hu Lab","-4","Examination Date","-4","-4","-4","-4","","-4","-4","-4","-4","-4","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-01-08 10:07:14.0"
"","TNFR1","HULAB","ADNI Data Hu Lab","-4","P19438","-4","-4","-4","-4","","-4","-4","-4","-4","-4","Tumor Necrosis Factor Receptor 1, values expressed in pg/mL","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-01-08 10:07:14.0"
"","TNFR2","HULAB","ADNI Data Hu Lab","-4","P20333","-4","-4","-4","-4","","-4","-4","-4","-4","-4","Tumor Necrosis Factor Receptor 2, values expressed in pg/mL","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-01-08 10:07:14.0"
"","TGFBETA1","HULAB","ADNI Data Hu Lab","-4","P01137","-4","-4","-4","-4","","-4","-4","-4","-4","-4"," Transforming Growth Factor beta 1, values expressed in pg/mL","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-01-08 10:07:14.0"
"","TGFBETA2","HULAB","ADNI Data Hu Lab","-4","P61812","-4","-4","-4","-4","","-4","-4","-4","-4","-4"," Transforming Growth Factor beta 2, values expressed in pg/mL","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-01-08 10:07:14.0"
"","TGFBETA3","HULAB","ADNI Data Hu Lab","-4","P10600","-4","-4","-4","-4","","-4","-4","-4","-4","-4"," Transforming Growth Factor beta 3, values expressed in pg/mL","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-01-08 10:07:14.0"
"","IL_21","HULAB","ADNI Data Hu Lab","-4","Q9HBE4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","Interleukin 21, values expressed in pg/mL","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-01-08 10:07:14.0"
