"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","ORIGPROT","ADNI1LIPIDOMICSRADER","Rader Lab ADNI 1 Lipids CAD ALZ","-4","Original study protocol","-4","-4","-4","-4","","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-06-28 12:59:54.0"
"","COLPROT","ADNI1LIPIDOMICSRADER","Rader Lab ADNI 1 Lipids CAD ALZ","-4","Study protocol of data collection","-4","-4","-4","-4","","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-06-28 12:59:54.0"
"","RID","ADNI1LIPIDOMICSRADER","Rader Lab ADNI 1 Lipids CAD ALZ","-4","Participant roster ID","-4","-4","-4","-4","","-4","-4","-4","-4","-4","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-06-28 12:59:54.0"
"","VISCODE","ADNI1LIPIDOMICSRADER","Rader Lab ADNI 1 Lipids CAD ALZ","-4","Visit code","-4","-4","-4","-4","","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-06-28 12:59:54.0"
"","VISCODE2","ADNI1LIPIDOMICSRADER","Rader Lab ADNI 1 Lipids CAD ALZ","-4","Translated visit code","-4","-4","-4","-4","","-4","-4","-4","-4","-4","Months from baseline rounded to nearest 6 months","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-06-28 12:59:54.0"
"","CHOL","ADNI1LIPIDOMICSRADER","Rader Lab ADNI 1 Lipids CAD ALZ","-4","","-4","-4","-4","-4","","-4","-4","-4","mg/dl","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-06-28 12:59:54.0"
"","HDL","ADNI1LIPIDOMICSRADER","Rader Lab ADNI 1 Lipids CAD ALZ","-4","","-4","-4","-4","-4","","-4","-4","-4","mg/dl","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-06-28 12:59:54.0"
"","TG","ADNI1LIPIDOMICSRADER","Rader Lab ADNI 1 Lipids CAD ALZ","-4","","-4","-4","-4","-4","","-4","-4","-4","mg/dl","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-06-28 12:59:54.0"
"","APOA1","ADNI1LIPIDOMICSRADER","Rader Lab ADNI 1 Lipids CAD ALZ","-4","","-4","-4","-4","-4","","-4","-4","-4","mg/dl","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-06-28 12:59:54.0"
"","APOE","ADNI1LIPIDOMICSRADER","Rader Lab ADNI 1 Lipids CAD ALZ","-4","","-4","-4","-4","-4","","-4","-4","-4","mg/dl","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-06-28 12:59:54.0"
