"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","MESOSCALE","Meso Scale Diagnostics Analysis of Residual CSF Samples","-4","Participant roster ID","-4","-4","-4","-4","","-4","-4","-4","-4","-4","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-08-13 09:09:04.0"
"","VISCODE","MESOSCALE","Meso Scale Diagnostics Analysis of Residual CSF Samples","-4","Visit code","-4","-4","-4","-4","","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-08-13 09:09:04.0"
"","VISCODE2","MESOSCALE","Meso Scale Diagnostics Analysis of Residual CSF Samples","-4","Translated visit code","-4","-4","-4","-4","","-4","-4","-4","-4","-4","Months from baseline rounded to nearest 6 months","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-08-13 09:09:04.0"
"","EXAMDATE","MESOSCALE","Meso Scale Diagnostics Analysis of Residual CSF Samples","-4","Examination Date","-4","-4","-4","-4","","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-08-13 09:09:04.0"
"","DRAWDTE","MESOSCALE","Meso Scale Diagnostics Analysis of Residual CSF Samples","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-08-13 09:09:04.0"
"","DRAWTIME","MESOSCALE","Meso Scale Diagnostics Analysis of Residual CSF Samples","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-08-13 09:09:04.0"
"","RECDTE","MESOSCALE","Meso Scale Diagnostics Analysis of Residual CSF Samples","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-08-13 09:09:04.0"
"","ABETA38","MESOSCALE","Meso Scale Diagnostics Analysis of Residual CSF Samples","-4","Amyloid beta pepetide (x-38)","-4","-4","-4","-4","","-4","-4","-4","pg/ml","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-08-13 09:09:04.0"
"","ABETA40","MESOSCALE","Meso Scale Diagnostics Analysis of Residual CSF Samples","-4","Amyloid peptide beta (x-40)","-4","-4","-4","-4","","-4","-4","-4","pg/ml","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-08-13 09:09:04.0"
"","ABETA42","MESOSCALE","Meso Scale Diagnostics Analysis of Residual CSF Samples","-4","Amyloid beta peptide (x-42)","-4","-4","-4","-4","","-4","-4","-4","pg/ml","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-08-13 09:09:04.0"
"","TAU","MESOSCALE","Meso Scale Diagnostics Analysis of Residual CSF Samples","-4","total Tau protein","-4","-4","-4","-4","","-4","-4","-4","pg/ml","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-08-13 09:09:04.0"
