"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","UCD_ADNI2_WMH","Univerity of California Davis White Matter Hyperintensity Volumes (ADNI2)","-4","Participant roster ID","-4","-4","N","4","-4","-4","-4","-4","","ADNI code","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-05-02 10:26:58.0"
"","VISCODE","UCD_ADNI2_WMH","Univerity of California Davis White Matter Hyperintensity Volumes (ADNI2)","-4","Visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-05-02 10:26:58.0"
"","VISCODE2","UCD_ADNI2_WMH","Univerity of California Davis White Matter Hyperintensity Volumes (ADNI2)","-4","Translated visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","Months from baseline rounded to nearest 6 months","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-05-02 10:26:58.0"
"","EXAMDATE","UCD_ADNI2_WMH","Univerity of California Davis White Matter Hyperintensity Volumes (ADNI2)","-4","Examination Date","-4","-4","D","10","-4","-4","-4","-4","","MM/DD/YYYY","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-05-02 10:26:58.0"
"","CSF","UCD_ADNI2_WMH","Univerity of California Davis White Matter Hyperintensity Volumes (ADNI2)","-4","intracranial CSF volume","-4","-4","N","11 Characters","-4","-4","-4","-4","cc","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-05-02 10:26:58.0"
"","GRAY","UCD_ADNI2_WMH","Univerity of California Davis White Matter Hyperintensity Volumes (ADNI2)","-4","Intracranial gray matter volume","-4","-4","N","11 Characters","-4","-4","-4","-4","cc","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-05-02 10:26:58.0"
"","WHITE","UCD_ADNI2_WMH","Univerity of California Davis White Matter Hyperintensity Volumes (ADNI2)","-4","Intracranial white matter volume","-4","-4","N","11 Characters","-4","-4","-4","-4","cc","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-05-02 10:26:58.0"
"","WMH","UCD_ADNI2_WMH","Univerity of California Davis White Matter Hyperintensity Volumes (ADNI2)","-4","WMH volume","-4","-4","N","11 Characters","-4","-4","-4","-4","cc","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-05-02 10:26:58.0"
"","TOTAL","UCD_ADNI2_WMH","Univerity of California Davis White Matter Hyperintensity Volumes (ADNI2)","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-05-02 10:26:58.0"
"","MAGNETICFIELDSTRENGTH","UCD_ADNI2_WMH","Univerity of California Davis White Matter Hyperintensity Volumes (ADNI2)","-4","MRI Machine Magnetic Field Strength","-4","-4","T"," 3 Characters","-4","-4","-4","-4","","Text field","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-05-02 10:26:58.0"
"","MANUFACTURERSMODELNAME","UCD_ADNI2_WMH","Univerity of California Davis White Matter Hyperintensity Volumes (ADNI2)","-4","MRI Machine Model","-4","-4","T","10 Characters","-4","-4","-4","-4","","Text field","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-05-02 10:26:58.0"
"","MANUFACTURER","UCD_ADNI2_WMH","Univerity of California Davis White Matter Hyperintensity Volumes (ADNI2)","-4","MRI Machine Manufacturer","-4","-4","T","15 Characters","-4","-4","-4","-4","","Text field","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-05-02 10:26:58.0"
"","SEGPROC","UCD_ADNI2_WMH","Univerity of California Davis White Matter Hyperintensity Volumes (ADNI2)","-4","Images used for segmentation","-4","-4","T","5 Characters","-4","-4","-4","-4","","Text field","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-05-02 10:26:58.0"
"","SEGPROCIMG","UCD_ADNI2_WMH","Univerity of California Davis White Matter Hyperintensity Volumes (ADNI2)","-4","Analysis method used for segmentation","-4","-4","T","10 Characters","-4","-4","-4","-4","","Text field","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-05-02 10:26:58.0"
