"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","ZHANG","CSF Hemoglobin ELISA and PS129 Luminex Assays (Zhang Lab, University of Washington)","-4","Participant roster ID","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-09-21 16:53:45.0"
"","VISCODE","ZHANG","CSF Hemoglobin ELISA and PS129 Luminex Assays (Zhang Lab, University of Washington)","-4","Visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-09-21 16:53:45.0"
"","VISCODE2","ZHANG","CSF Hemoglobin ELISA and PS129 Luminex Assays (Zhang Lab, University of Washington)","-4","Translated visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","Months from baseline rounded to nearest 6 months","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-09-21 16:53:45.0"
"","EXAMDATE","ZHANG","CSF Hemoglobin ELISA and PS129 Luminex Assays (Zhang Lab, University of Washington)","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-09-21 16:53:45.0"
"","BOX_POS","ZHANG","CSF Hemoglobin ELISA and PS129 Luminex Assays (Zhang Lab, University of Washington)","-4","Aliquot position in shipping box","-4","-4","-4","-4","-4","-4","-4","-4","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-09-21 16:53:45.0"
"","VOLUME","ZHANG","CSF Hemoglobin ELISA and PS129 Luminex Assays (Zhang Lab, University of Washington)","-4","aliquot volume","-4","-4","-4","-4","-4","-4","-4","-4","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-09-21 16:53:45.0"
"","SHIPMENT","ZHANG","CSF Hemoglobin ELISA and PS129 Luminex Assays (Zhang Lab, University of Washington)","-4","Respository shipment identifier","-4","-4","-4","-4","-4","-4","-4","-4","","-4","Please note that box-pos for the first shipment is marked by ""BL SHIPMENT.""","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-09-21 16:53:45.0"
"","RUNDATE_ASYN","ZHANG","CSF Hemoglobin ELISA and PS129 Luminex Assays (Zhang Lab, University of Washington)","-4","Date of alpha-synuclein assay","-4","-4","-4","-4","-4","-4","-4","-4","","-4","#VALUE! = BA8026H9 not measured for alpha synuclein","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-09-21 16:53:45.0"
"","FINAL_ASYN","ZHANG","CSF Hemoglobin ELISA and PS129 Luminex Assays (Zhang Lab, University of Washington)","-4","Final reported concentration of alpha-synuclein","-4","-4","-4","-4","-4","-4","-4","-4","ng/ml","-4","#VALUE! = BA8026H9 not measured for alpha synuclein","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-09-21 16:53:45.0"
"","RUNDATE_PS129","ZHANG","CSF Hemoglobin ELISA and PS129 Luminex Assays (Zhang Lab, University of Washington)","-4","Date of ps129 assay","-4","-4","-4","-4","-4","-4","-4","-4","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-09-21 16:53:45.0"
"","FINAL_PS129","ZHANG","CSF Hemoglobin ELISA and PS129 Luminex Assays (Zhang Lab, University of Washington)","-4","Final reported concentration of ps129","-4","-4","-4","-4","-4","-4","-4","-4","ng/ml","-4","#VALUE! = ps129 below assay detection limit for DA802Z61 and HA802ZKL","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-09-21 16:53:45.0"
"","RUNDATE_HGB","ZHANG","CSF Hemoglobin ELISA and PS129 Luminex Assays (Zhang Lab, University of Washington)","-4","Date of hemoglobin assay","-4","-4","-4","-4","-4","-4","-4","-4","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-09-21 16:53:45.0"
"","FINAL_HGB","ZHANG","CSF Hemoglobin ELISA and PS129 Luminex Assays (Zhang Lab, University of Washington)","-4","Final reported concentration of hemoglobin","-4","-4","-4","-4","-4","-4","-4","-4","ng/ml","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-09-21 16:53:45.0"
