"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","ALIQUOT_LIST","Aliquot count in the LDMS database","-4","Participant roster ID","-4","-4","-4","-4","-4","-4","-4","-4","","-4","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-01-24 16:29:44.0"
"","VISCODE","ALIQUOT_LIST","Aliquot count in the LDMS database","-4","Visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-01-24 16:29:44.0"
"","VISCODE2","ALIQUOT_LIST","Aliquot count in the LDMS database","-4","Translated visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","Months from baseline rounded to nearest 6 months","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-01-24 16:29:44.0"
"","EXAMDATE","ALIQUOT_LIST","Aliquot count in the LDMS database","-4","Examination Date","-4","-4","-4","-4","-4","-4","-4","-4","MM/DD/YYYY","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-01-24 16:29:44.0"
"","VID","ALIQUOT_LIST","Aliquot count in the LDMS database","-4","Visit number from sample tube","-4","-4","-4","-4","-4","-4","-4","-4","","-4","This is not visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-01-24 16:29:44.0"
"","PLA","ALIQUOT_LIST","Aliquot count in the LDMS database","-4","Count of pristine Plasma aliquots in storage","-4","-4","-4","-4","-4","-4","-4","-4","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-01-24 16:29:44.0"
"","PLAVOL","ALIQUOT_LIST","Aliquot count in the LDMS database","-4","Total volume of received Plasma","-4","-4","-4","-4","-4","-4","-4","-4","mL","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-01-24 16:29:44.0"
"","PLA_SENT","ALIQUOT_LIST","Aliquot count in the LDMS database","-4","Count of Plasma aliquots shipped out to other investigators","-4","-4","-4","-4","-4","-4","-4","-4","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-01-24 16:29:44.0"
"","PLA_USED","ALIQUOT_LIST","Aliquot count in the LDMS database","-4","Count of Plasma aliquots used for analysis at Biomarker Core Lab","-4","-4","-4","-4","-4","-4","-4","-4","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-01-24 16:29:44.0"
"","SER","ALIQUOT_LIST","Aliquot count in the LDMS database","-4","Count of pristine Serum aliquots in storage","-4","-4","-4","-4","-4","-4","-4","-4","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-01-24 16:29:44.0"
"","SERVOL","ALIQUOT_LIST","Aliquot count in the LDMS database","-4","Total volume of received Serum","-4","-4","-4","-4","-4","-4","-4","-4","mL","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-01-24 16:29:44.0"
"","SER_SENT","ALIQUOT_LIST","Aliquot count in the LDMS database","-4","Count of Serum aliquots shipped out to other investigators","-4","-4","-4","-4","-4","-4","-4","-4","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-01-24 16:29:44.0"
"","SER_USED","ALIQUOT_LIST","Aliquot count in the LDMS database","-4","Count of Serum aliquots used for analysis at Biomarker Core Lab","-4","-4","-4","-4","-4","-4","-4","-4","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-01-24 16:29:44.0"
"","CSF","ALIQUOT_LIST","Aliquot count in the LDMS database","-4","Count of pristine CSF aliquots in storage","-4","-4","-4","-4","-4","-4","-4","-4","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-01-24 16:29:44.0"
"","CSFVOL","ALIQUOT_LIST","Aliquot count in the LDMS database","-4","Total volume of received CSF","-4","-4","-4","-4","-4","-4","-4","-4","mL","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-01-24 16:29:44.0"
"","CSF_SENT","ALIQUOT_LIST","Aliquot count in the LDMS database","-4","Count of CSF aliquots shipped out to other investigators","-4","-4","-4","-4","-4","-4","-4","-4","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-01-24 16:29:44.0"
"","CSF_USED","ALIQUOT_LIST","Aliquot count in the LDMS database","-4","Count of CSF aliquots used for analysis at Biomarker Core Lab","-4","-4","-4","-4","-4","-4","-4","-4","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-01-24 16:29:44.0"
