"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","BAIMRINMRC","Banner Alzheimer's Institute MRI NMRC Summaries","-4","Participant roster ID","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","The 4 digit roster ID (RID) should be used to merge data","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-09-13 09:18:12.0"
"","VISCODE","BAIMRINMRC","Banner Alzheimer's Institute MRI NMRC Summaries","-4","Visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-09-13 09:18:12.0"
"","VISCODE2","BAIMRINMRC","Banner Alzheimer's Institute MRI NMRC Summaries","-4","Translated visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","Months from baseline rounded to nearest 6 months","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-09-13 09:18:12.0"
"","EXAMDATE","BAIMRINMRC","Banner Alzheimer's Institute MRI NMRC Summaries","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-09-13 09:18:12.0"
"","VERSION","BAIMRINMRC","Banner Alzheimer's Institute MRI NMRC Summaries","-4","Version of Table","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-09-13 09:18:12.0"
"","LONIUID","BAIMRINMRC","Banner Alzheimer's Institute MRI NMRC Summaries","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-09-13 09:18:12.0"
"","RUNDATE","BAIMRINMRC","Banner Alzheimer's Institute MRI NMRC Summaries","-4","DATE analysis performed","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-09-13 09:18:12.0"
"","STATUS","BAIMRINMRC","Banner Alzheimer's Institute MRI NMRC Summaries","-4","Complete/Incomplete","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-09-13 09:18:12.0"
"","IPCA","BAIMRINMRC","Banner Alzheimer's Institute MRI NMRC Summaries","-4"," percent annualized whole brain atrophy detected by Iterative Principal component Analysis (IPCA) ","-4","-4","-4","-4","-4","-4","-4","-4","Percentage","","(1) Included the whole brain atrophy results from baseline to 12 month MRI scan pairs for 167 normal controls, 288 MCI and 125 AD patients   (2) The whole brain atrophy was measured using IPCA independently for each subject, thus is not subject to change due to addition/removal of subjects. (3) In the subsequent group analysis, factors such as age, gender, apoe4 were not considered.    (4) Subjects were NOT divided into training/testing groups. The analysis was  for  subjects whose data were available at the time of the initiation and whose data passed the internal QA . (5) Whole brain atrophy detected by IPCA is a global index, thus is free of multiple comparison issue. (6) The numerical value for each subject is the atrophy rate from baseline to 12 month (though it was listed for the baseline row in the numerical sheet, it is a single measure for both baseline and 12 month). The IPCA measured whole brain atrophy we observed from analyzing multiple datasets is below 5% (hence the theoretical [-5 5] range, which is true for this dataset","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-09-13 09:18:12.0"
"","IPCA2","BAIMRINMRC","Banner Alzheimer's Institute MRI NMRC Summaries","-4","whole brain atrophy measured from T1 weighted MRI using iterative pincipal component analysis ","-4","-4","-4","-4","-4","-4","-4","-4","unitless","","We processed and analyzed baseline and followup MRI data to measure whole brain atrophy using IPCA technique we developed. IPCA is given one score for 2 visits, the Baseline visit for each subject is given ""0"" to indicate the baseline visit, and the overall score is listed under the follow up visit. ","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-09-13 09:18:12.0"
