"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","","","","","N","","","","","","","","","","","","","","","","","","","","","","","","2011-04-20 12:41:43.0"
"","VISCODE","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","","","","","T","","","","","","","","","","","","","","","","","","","","","","","","2011-04-20 12:41:43.0"
"","EXAMDATE","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","","","","","D","","","","","","","","","","","","","","","","","","","","","","","","2011-04-20 12:41:43.0"
"","IMAGEUID","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","","","","","N","","","","","","","","","","","","","","","","","","","","","","","","2011-04-20 12:41:43.0"
"","HIPPL01","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","","Globally normalized CMRgl from Hippocampus_L","","","N","8","6",">0","","","Normalized Counts","NA","(1). Included baseline FDG-PET scans after excluding scans with QA/acquisioon concerns, ANOVA  design (factors such as age, gender, apoe4 etc. are not considered in the analysis).   (2) local maxima extracted by examining lower CMRgl in AD cases than in controls (but with MCI data included in  the table). (3) (internal note) analysis on linux:   /san2/analysis/ADNI/quals/analysis/bsln_072307/All_minus_HRRTandBiograph. (4) SPM analyses were performed by ADNI Analysis Team Members: Kewei Chen, Ph.D., Eric M. Reiman, M.D. Gene E. Alexander, Ph.D.  with in mind issues such as the correction of multiple comparisons. (5) data subject to change due to addtion/change of subjects, time points and/or analysis type (6), some brain regions, reported in AD neuroimaging literature, are included in the table w/o numeric data. (7), the field name consists of two parts: part 1 (the character string, maximum of 8 characters) is the brain region, and part 2 (the two digits at the very end) are index indicating analysis types.  Variable suffix 01 corresponds to baseline AD glucose hypometabolsim compared to Normal Controls","","","","","","","","","","","","","","","","2011-04-20 12:41:43.0"
"","FRTSUPL01","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","","Globally normalized CMRgl from Frontal_sup_L","","","N","8","6",">0","","","Normalized Counts","NA","Same as for HippL01","","","","","","","","","","","","","","","","2011-04-20 12:41:43.0"
"","FRTMIDL01","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","","Globally normalized CMRgl from Frontal_mid_L","","","N","8","6",">0","","","Normalized Counts","NA","Same as for HippL01","","","","","","","","","","","","","","","","2011-04-20 12:41:43.0"
"","PARAHIPL01","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","","Globally normalized CMRgl from ParaHippocampal_L","","","N","8","6",">0","","","Normalized Counts","NA","Same as for HippL01","","","","","","","","","","","","","","","","2011-04-20 12:41:43.0"
"","FUSFRML01","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","","Globally normalized CMRgl from Fusiform_L","","","N","8","6",">0","","","Normalized Counts","NA","Same as for HippL01","","","","","","","","","","","","","","","","2011-04-20 12:41:43.0"
"","OCCMIDL01","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","","Globally normalized CMRgl from Occipital_mid_L","","","N","8","6",">0","","","Normalized Counts","NA","Same as for HippL01","","","","","","","","","","","","","","","","2011-04-20 12:41:43.0"
"","ANGULL01","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","","Globally normalized CMRgl from Angular_L","","","N","8","6",">0","","","Normalized Counts","NA","Same as for HippL01","","","","","","","","","","","","","","","","2011-04-20 12:41:43.0"
"","PARIINFL01","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","","Globally normalized CMRgl from Parietal_Inf_L","","","N","8","6",">0","","","Normalized Counts","NA","Same as for HippL01","","","","","","","","","","","","","","","","2011-04-20 12:41:43.0"
"","SUPMRGL01","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","","Globally normalized CMRgl from SupraMarginal_L","","","N","8","6",">0","","","Normalized Counts","NA","Same as for HippL01","","","","","","","","","","","","","","","","2011-04-20 12:41:43.0"
"","TMPMIDL01","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","","Globally normalized CMRgl from Temporal _mid_L","","","N","8","6",">0","","","Normalized Counts","NA","Same as for HippL01","","","","","","","","","","","","","","","","2011-04-20 12:41:43.0"
"","PRECUNL01","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","","Globally normalized CMRgl from Precuneus_L","","","N","8","6",">0","","","Normalized Counts","NA","Same as for HippL01","","","","","","","","","","","","","","","","2011-04-20 12:41:43.0"
"","CINGPSTL01","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","","Globally normalized CMRgl from Cingulum_Post_L","","","N","8","6",">0","","","Normalized Counts","NA","Same as for HippL01","","","","","","","","","","","","","","","","2011-04-20 12:41:43.0"
"","PARAHIPR01","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","","Globally normalized CMRgl from ParaHippocampal_R","","","N","8","6",">0","","","Normalized Counts","NA","Same as for HippL01","","","","","","","","","","","","","","","","2011-04-20 12:41:43.0"
"","FRTSUPR01","BAINMRC","Banner Alzheimer's Institute NMRC Summaries","","Globally normalized CMRgl from Frontal_Sup_R","","","N","8","6",">0","","","Normalized Counts","NA","Same as for HippL01","","","","","","","","","","","","","","","","2011-04-20 12:41:43.0"
