"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"-4","ORIGPROT","BAIPETNMRCAV45","Banner Alzheimer's Institute PET NMRC AV45 Summaries","-4","Original study protocol","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-10-27 16:31:38.0"
"-4","COLPROT","BAIPETNMRCAV45","Banner Alzheimer's Institute PET NMRC AV45 Summaries","-4","Study protocol of data collection","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-10-27 16:31:38.0"
"-4","RID","BAIPETNMRCAV45","Banner Alzheimer's Institute PET NMRC AV45 Summaries","-4","Participant roster ID","-4","-4","N","4","","-4","-4","-4","","","The 4 digit roster ID (RID) should be used to merge data","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-10-27 16:31:38.0"
"-4","VISCODE","BAIPETNMRCAV45","Banner Alzheimer's Institute PET NMRC AV45 Summaries","-4","Visit code","-4","-4","T","3","","-4","-4","-4","","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-10-27 16:31:38.0"
"-4","VISCODE2","BAIPETNMRCAV45","Banner Alzheimer's Institute PET NMRC AV45 Summaries","-4","Translated visit code","-4","-4","T","3","","-4","-4","-4","-4","-4","Months from baseline rounded to nearest 6 months","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-10-27 16:31:38.0"
"-4","EXAMDATE","BAIPETNMRCAV45","Banner Alzheimer's Institute PET NMRC AV45 Summaries","-4","Examination Date","-4","-4","D","10","","-4","-4","-4","","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-10-27 16:31:38.0"
"-4","LONIUID","BAIPETNMRCAV45","Banner Alzheimer's Institute PET NMRC AV45 Summaries","-4","LONI Unique Image Identifier","-4","-4","N","7","","-4","-4","-4","","","This is a longer description if necessary.","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-10-27 16:31:38.0"
"-4","RUNDATE","BAIPETNMRCAV45","Banner Alzheimer's Institute PET NMRC AV45 Summaries","-4","DATE analysis performed","-4","-4","D","10","","-4","-4","-4","","","Please use MM/DD/YYYY format","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-10-27 16:31:38.0"
"-4","STATUS","BAIPETNMRCAV45","Banner Alzheimer's Institute PET NMRC AV45 Summaries","-4","Complete/Incomplete","-4","-4","T","8","","-4","-4","-4","","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-10-27 16:31:38.0"
"-4","MODALITY","BAIPETNMRCAV45","Banner Alzheimer's Institute PET NMRC AV45 Summaries","-4","The type of pet scan used for analysis","-4","-4","T","3","","-4","-4","-4","","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-10-27 16:31:38.0"
"-4","MCSUVRWM","BAIPETNMRCAV45","Banner Alzheimer's Institute PET NMRC AV45 Summaries","-4","Mean Cortical SUVR with Corpus Callosum and Centrum Semiovale Combined as reference region","-4","-4","N","","5","-4","-4","-4","unitless","","Refer to BAI Florbetapir processing document","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-10-27 16:31:38.0"
"-4","MCSUVRCERE","BAIPETNMRCAV45","Banner Alzheimer's Institute PET NMRC AV45 Summaries","-4","Mean Cortical SUVR with Cerebellum as reference region","-4","-4","N","","5","-4","-4","-4","unitless","","Refer to BAI Florbetapir processing document","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-10-27 16:31:38.0"
