"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","-4","Participant roster ID","-4","-4","-4","-4","-4","-4","-4","-4","","","The 4 digit roster ID (RID) should be used to merge data","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-11-20 09:04:49.0"
"","VISCODE","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","-4","Visit code","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-11-20 09:04:49.0"
"","VISCODE2","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","-4","Translated visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","Months from baseline rounded to nearest 6 months","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-11-20 09:04:49.0"
"","EXAMDATE","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","-4","Examination Date","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-11-20 09:04:49.0"
"","VERSION","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","-4","Version of Table","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-11-20 09:04:49.0"
"","LONIUID","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","-4","LONI Unique Image Identifier","-4","-4","-4","-4","-4","-4","-4","-4","","","This is a longer description if necessary.","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-11-20 09:04:49.0"
"","RUNDATE","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","-4","DATE analysis performed","-4","-4","-4","-4","-4","-4","-4","-4","","","Please use MM/DD/YYYY format","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-11-20 09:04:49.0"
"","STATUS","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","-4","Complete/Incomplete","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-11-20 09:04:49.0"
"","MODALITY","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","-4","AV45/FDG/TAU","-4","-4","-4","-4","-4","-4","-4","-4","","","The type of pet scan used for analysis","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-11-20 09:04:49.0"
"","HIPPL01","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","-4","Globally normalized CMRgl from Hippocampus_L","-4","-4","-4","-4","-4","-4","-4","-4","Normalized Counts","","(1). Included baseline FDG-PET scans after excluding scans with QA/acquisioon concerns, ANOVA  design (factors such as age, gender, apoe4 etc. are not considered in the analysis).   (2) local maxima extracted by examining lower CMRgl in AD cases than in controls (but with MCI data included in  the table). (3) (internal note) analysis on linux:   /san2/analysis/ADNI/quals/analysis/bsln_072307/All_minus_HRRTandBiograph. (4) SPM analyses were performed by ADNI Analysis Team Members: Kewei Chen, Ph.D., Eric M. Reiman, M.D. Gene E. Alexander, Ph.D.  with in mind issues such as the correction of multiple comparisons. (5) data subject to change due to addtion/change of subjects, time points and/or analysis type (6), some brain regions, reported in AD neuroimaging literature, are included in the table w/o numeric data. (7), the field name consists of two parts: part 1 (the character string, maximum of 8 characters) is the brain region, and part 2 (the two digits at the very end) are index indicating analysis types.  Variable suffix 01 corresponds to baseline AD glucose hypometabolsim compared to Normal Controls","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-11-20 09:04:49.0"
"","FRTSUPL01","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","-4","Globally normalized CMRgl from Frontal_sup_L","-4","-4","-4","-4","-4","-4","-4","-4","Normalized Counts","","Same as for HippL01","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-11-20 09:04:49.0"
"","FRTMIDL01","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","-4","Globally normalized CMRgl from Frontal_mid_L","-4","-4","-4","-4","-4","-4","-4","-4","Normalized Counts","","Same as for HippL01","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-11-20 09:04:49.0"
"","PARAHIPL01","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","-4","Globally normalized CMRgl from ParaHippocampal_L","-4","-4","-4","-4","-4","-4","-4","-4","Normalized Counts","","Same as for HippL01","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-11-20 09:04:49.0"
"","FUSFRML01","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","-4","Globally normalized CMRgl from Fusiform_L","-4","-4","-4","-4","-4","-4","-4","-4","Normalized Counts","","Same as for HippL01","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-11-20 09:04:49.0"
"","OCCMIDL01","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","-4","Globally normalized CMRgl from Occipital_mid_L","-4","-4","-4","-4","-4","-4","-4","-4","Normalized Counts","","Same as for HippL01","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-11-20 09:04:49.0"
"","ANGULL01","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","-4","Globally normalized CMRgl from Angular_L","-4","-4","-4","-4","-4","-4","-4","-4","Normalized Counts","","Same as for HippL01","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-11-20 09:04:49.0"
"","PARIINFL01","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","-4","Globally normalized CMRgl from Parietal_Inf_L","-4","-4","-4","-4","-4","-4","-4","-4","Normalized Counts","","Same as for HippL01","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-11-20 09:04:49.0"
"","SUPMRGL01","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","-4","Globally normalized CMRgl from SupraMarginal_L","-4","-4","-4","-4","-4","-4","-4","-4","Normalized Counts","","Same as for HippL01","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-11-20 09:04:49.0"
"","TMPMIDL01","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","-4","Globally normalized CMRgl from Temporal _mid_L","-4","-4","-4","-4","-4","-4","-4","-4","Normalized Counts","","Same as for HippL01","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-11-20 09:04:49.0"
"","PRECUNL01","BAIPETNMRC","Banner Alzheimer's Institute PET NMRC Summaries","-4","Globally normalized CMRgl from Precuneus_L","-4","-4","-4","-4","-4","-4","-4","-4","Normalized Counts","","Same as for HippL01","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-11-20 09:04:49.0"
