"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"2710","ID","BSI","Boundary Shift Integral Summaries (Nick Fox's lab)","-4","","-4","-4","N","38 digits","0","","-4","-4","","""indexes"",""adni_bsi_idx=RID,VISCODE,ENTRY,RECNO"",""notnullcols"",""ID,RID,SITEID,VISCODE,ENTRY,USERID,USERDATE,RECNO""","1","21556550","1","-4","-4","4","-4","-4","-4","-4","1","-4","-4","-4","1","-4","2011-04-21 11:39:33.0"
"2711","RID","BSI","Boundary Shift Integral Summaries (Nick Fox's lab)","-4","","-4","-4","N","38 digits","0","","-4","-4","","","-4","21556550","2","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-04-21 11:39:33.0"
"2712","SITEID","BSI","Boundary Shift Integral Summaries (Nick Fox's lab)","-4","","-4","-4","N","38 digits","0","","-4","-4","","","-4","21556550","3","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-04-21 11:39:33.0"
"2713","VISCODE","BSI","Boundary Shift Integral Summaries (Nick Fox's lab)","-4","","-4","-4","T","10 characters","0","","-4","-4","","","-4","21556550","4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-04-21 11:39:33.0"
"2714","ENTRY","BSI","Boundary Shift Integral Summaries (Nick Fox's lab)","-4","","-4","-4","N","1 digit","0","","-4","-4","","","-4","21556550","5","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-04-21 11:39:33.0"
"2715","VERIFY","BSI","Boundary Shift Integral Summaries (Nick Fox's lab)","-4","","-4","-4","N","1 digit","0","","-4","-4","","","-4","21556550","6","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-04-21 11:39:33.0"
"2716","USERID","BSI","Boundary Shift Integral Summaries (Nick Fox's lab)","-4","","-4","-4","T","30 characters","0","","-4","-4","","","-4","21556550","7","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-04-21 11:39:33.0"
"2717","USERDATE","BSI","Boundary Shift Integral Summaries (Nick Fox's lab)","-4","","-4","-4","S","10 digits","0","","-4","-4","","","-4","21556550","8","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-04-21 11:39:33.0"
"2718","RECNO","BSI","Boundary Shift Integral Summaries (Nick Fox's lab)","-4","","-4","-4","N","38","0","","-4","-4","","","-4","21556550","9","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-04-21 11:39:33.0"
"2719","EXAMDATE","BSI","Boundary Shift Integral Summaries (Nick Fox's lab)","-4","Examination Date","-4","-4","D","10","0","","-4","-4","","","-4","21556550","10","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-04-21 11:39:33.0"
"2720","IMAGEUID","BSI","Boundary Shift Integral Summaries (Nick Fox's lab)","-4","imageUID","-4","-4","N","20","0","","-4","-4","","","-4","21556550","11","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-04-21 11:39:33.0"
"2721","FLDSTRENG","BSI","Boundary Shift Integral Summaries (Nick Fox's lab)","-4","Field Strength","-4","-4","N","20","0","","-4","-4","","","-4","21556550","11","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-04-21 11:39:33.0"
"2722","BBSI","BSI","Boundary Shift Integral Summaries (Nick Fox's lab)","-4","Boundary Shift Integral from baseline","-4","-4","N","10","3","in(-300,300)","-4","-4","ml","","-4","21556550","12","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-04-21 11:39:33.0"
"2723","DBCBBSI","BSI","Boundary Shift Integral Summaries (Nick Fox's lab)","-4","Differential Bias Corrected Boundary Shift Integral from baseline","-4","-4","N","10","3","in(-300,300)","-4","-4","ml","","-4","21556550","13","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-04-21 11:39:33.0"
"2724","VBSI","BSI","Boundary Shift Integral Summaries (Nick Fox's lab)","-4","Ventricular BSI","-4","-4","N","10","3","","-4","-4","","","-4","21556550","14","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-04-21 11:39:33.0"
"2725","BRAINVOL","BSI","Boundary Shift Integral Summaries (Nick Fox's lab)","-4","Segmented brain volume. Not to be used as a measure of intracranial volume.","-4","-4","N","10","3","in(300,2000)","-4","-4","ml","","-4","21556550","15","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-04-21 11:39:33.0"
"2726","VENTVOL","BSI","Boundary Shift Integral Summaries (Nick Fox's lab)","-4","Segmented ventricular volume","-4","-4","N","10","3","in(0,300)","-4","-4","ml","","-4","21556550","16","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-04-21 11:39:33.0"
"2727","REGCOMMENT","BSI","Boundary Shift Integral Summaries (Nick Fox's lab)","-4","","-4","-4","T","500","0","","-4","-4","","","-4","21556550","17","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-04-21 11:39:33.0"
"2728","REGRATING","BSI","Boundary Shift Integral Summaries (Nick Fox's lab)","-4","","-4","-4","N","2","0","","-4","-4","","1=OK; 2=less reliable, still a reasonable measure; 3=Borderline / unreliable, measure affected to some degree, still of some value; 4=Rejected <ef><bf><bd> measure not reliable at all.  Suggest is not used for analysis; 5=Non disease related pathology affecting measure, suggest is removed from analysis","-4","21556550","18","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-04-21 11:39:33.0"
"2729","VENTACCEPT","BSI","Boundary Shift Integral Summaries (Nick Fox's lab)","-4","A boolean to indicate whether or not we have confidence in the VBSI value. Similar purpose to the REGRATING.","-4","-4","N","1","0","","-4","-4","","0=Vent not accepted; 1=Vent accepted","-4","21556550","19","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-04-21 11:39:33.0"
"2730","KMNDBCBBSI","BSI","Boundary Shift Integral Summaries (Nick Fox's lab)","-4","An improved version of the Differential Bias Corrected Boundary Shift Integral from baseline, which: a) Has a new intensity normalisation step that normalises scan intensity by matching the intensities by tissue type (cerebrospinal fluid, grey matter, white mater) instead of being just based on the average whole brain intensity. This helps reduce artefactual change in the BSI that might be caused by change in contrasts between scans (e.g scanner changes) b) Automatically calculates the BSI window based on k-means clustering of tissue intensities for each scan pair","-4","-4","N","20","0","","-4","-4","","","-4","21556550","20","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-04-21 11:39:34.0"
"2731","KMNREGCOMMENT","BSI","Boundary Shift Integral Summaries (Nick Fox's lab)","-4","","-4","-4","T","500","0","","-4","-4","","","-4","21556550","21","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-04-21 11:39:34.0"
"2732","KMNREGRATING","BSI","Boundary Shift Integral Summaries (Nick Fox's lab)","-4","","-4","-4","N","1","0","","-4","-4","","","-4","21556550","22","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-04-21 11:39:34.0"
