"ID","FLdNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","EMORY_PEPTIDERATIOS","Emory University CSF Targeted MS","-4","Participant roster ID. RID 999999 indicates pooled or other sample not associated with any ADNI participant.","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","The 4 digit roster ID (RID) should be used to merge data","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-09-30 09:44:36.0"
"","VISCODE","EMORY_PEPTIDERATIOS","Emory University CSF Targeted MS","-4","Visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-09-29 12:54:40.0"
"","VISCODE2","EMORY_PEPTIDERATIOS","Emory University CSF Targeted MS","-4","Translated visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","Months from baseline rounded to nearest 6 months","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-09-29 12:54:40.0"
"","EXAMDATE","EMORY_PEPTIDERATIOS","Emory University CSF Targeted MS","-4","Examination Date","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-09-29 12:54:40.0"
"","VID","EMORY_PEPTIDERATIOS","Emory University CSF Targeted MS","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-09-29 12:54:40.0"
"","PEPTIDE","EMORY_PEPTIDERATIOS","Emory University CSF Targeted MS","-4","Targeted peptide sequence","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-09-29 12:54:40.0"
"","PROTEIN","EMORY_PEPTIDERATIOS","Emory University CSF Targeted MS","-4","Protein Name from Skyline","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-09-29 12:54:40.0"
"","REPLICATE1","EMORY_PEPTIDERATIOS","Emory University CSF Targeted MS","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-09-29 12:54:40.0"
"","REPLICATE2","EMORY_PEPTIDERATIOS","Emory University CSF Targeted MS","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-09-29 12:54:40.0"
"","DATABASE_D","EMORY_PEPTIDERATIOS","Emory University CSF Targeted MS","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-09-30 09:55:22.0"
"","PROT","EMORY_PEPTIDERATIOS","Emory University CSF Targeted MS","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-09-29 12:54:40.0"
"","SHIPPING_BOX","EMORY_PEPTIDERATIOS","Emory University CSF Targeted MS","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-09-30 09:55:22.0"
"","POS","EMORY_PEPTIDERATIOS","Emory University CSF Targeted MS","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-09-29 12:54:40.0"
"","TOTAL_AREA_RATIO","EMORY_PEPTIDERATIOS","Emory University CSF Targeted MS","-4","Light/Heavy peptide ratio","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-09-30 09:55:22.0"
"","DER","EMORY_PEPTIDERATIOS","Emory University CSF Targeted MS","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-09-29 12:54:40.0"
"","LINK_ID","EMORY_PEPTIDERATIOS","Emory University CSF Targeted MS","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-09-30 09:55:22.0"
"","VOL_ML","EMORY_PEPTIDERATIOS","Emory University CSF Targeted MS","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-09-30 09:55:22.0"
