"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","FAGANLAB","Fagan lab summaries","-4","Participant roster ID","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-07-16 10:53:09.0"
"","VISCODE","FAGANLAB","Fagan lab summaries","-4","Visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-07-16 10:53:09.0"
"","VISCODE2","FAGANLAB","Fagan lab summaries","-4","Translated visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","Months from baseline rounded to nearest 6 months","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-07-16 10:53:09.0"
"","EXAMDATE","FAGANLAB","Fagan lab summaries","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-07-16 10:53:09.0"
"","VILIP","FAGANLAB","Fagan lab summaries","-4","VILIP-1 ","-4","-4","-4","-4","-4","-4","-4","-4","pg/ml","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-07-16 10:53:09.0"
"","VILIP_STDEV","FAGANLAB","Fagan lab summaries","-4","Standard Deviation","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-07-16 10:53:09.0"
"","VILIP_CV","FAGANLAB","Fagan lab summaries","-4","Coefficient of Variation (%)","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-07-16 10:53:09.0"
"","YKL","FAGANLAB","Fagan lab summaries","-4","YKL-40","-4","-4","-4","-4","-4","-4","-4","-4","ng/ml","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-07-16 10:53:09.0"
"","YKL_STDEV","FAGANLAB","Fagan lab summaries","-4","Standard Deviation","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-07-16 10:53:09.0"
"","YKL_CV","FAGANLAB","Fagan lab summaries","-4","Coefficient of Variation (%)","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-07-16 10:53:09.0"
"","SNAP","FAGANLAB","Fagan lab summaries","-4","SNAP-25 ","-4","-4","-4","-4","-4","-4","-4","-4","pg/ml","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-07-16 10:53:09.0"
"","SNAP_STDEV","FAGANLAB","Fagan lab summaries","-4","Standard Deviation","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-07-16 10:53:09.0"
"","SNAP_CV","FAGANLAB","Fagan lab summaries","-4","Coefficient of Variation (%)","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-07-16 10:53:09.0"
"","NGRN","FAGANLAB","Fagan lab summaries","-4","NRGN","-4","-4","-4","-4","-4","-4","-4","-4","pg/ml","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-07-16 10:53:09.0"
"","NGRN_STDEV","FAGANLAB","Fagan lab summaries","-4","Standard Deviation","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-07-16 10:53:09.0"
"","NGRN_CV","FAGANLAB","Fagan lab summaries","-4","Coefficient of Variation (%)","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-07-16 10:53:09.0"
