"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","FOXLABBSI","Fox Lab BSI measures","-4","Participant roster ID","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","The 4 digit roster ID (RID) should be used to merge data","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-06 12:31:35.0"
"","VISCODE","FOXLABBSI","Fox Lab BSI measures","-4","Visit code","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-06 12:31:35.0"
"","VISCODE2","FOXLABBSI","Fox Lab BSI measures","-4","Translated visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","Months from baseline rounded to nearest 6 months","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-06 12:31:35.0"
"","EXAMDATE","FOXLABBSI","Fox Lab BSI measures","-4","Examination Date","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-06 12:31:35.0"
"","VERSION","FOXLABBSI","Fox Lab BSI measures","-4","Version date of results","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-06 12:31:35.0"
"","RUNDATE","FOXLABBSI","Fox Lab BSI measures","-4","Analysis run date","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-06 12:31:35.0"
"","STATUS","FOXLABBSI","Fox Lab BSI measures","-4","Analysis completeness","-4","-4","-4","-4","-4","-4","-4","-4","","0=Partial; 1=Complete","Partial means that some measures are missing, but should be expected in a later version of results","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-06 12:31:35.0"
"","LONIUID","FOXLABBSI","Fox Lab BSI measures","-4","UID of fully pre-processed scan for which results are provided","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-06 12:31:35.0"
"","LONIUID_BASE","FOXLABBSI","Fox Lab BSI measures","-4","UID of fully pre-processed baseline scan for longitudinal results","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-06 12:31:35.0"
"","BRAINVOL","FOXLABBSI","Fox Lab BSI measures","-4","Whole brain volume","-4","-4","-4","-4","-4","-4","-4","-4","ml","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-06 12:31:35.0"
"","VENTVOL","FOXLABBSI","Fox Lab BSI measures","-4","Ventricular volume","-4","-4","-4","-4","-4","-4","-4","-4","ml","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-06 12:31:35.0"
"","HIPPOVOL_R","FOXLABBSI","Fox Lab BSI measures","-4","Right side hippocampal volume","-4","-4","-4","-4","-4","-4","-4","-4","ml","","Only populated for ADNI GO/2","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-06 12:31:35.0"
"","HIPPOVOL_L","FOXLABBSI","Fox Lab BSI measures","-4","Left side hippocampal volume","-4","-4","-4","-4","-4","-4","-4","-4","ml","","Only populated for ADNI GO/2","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-06 12:31:35.0"
"","DBCBBSI","FOXLABBSI","Fox Lab BSI measures","-4","Whole brain classic BSI","-4","-4","-4","-4","-4","-4","-4","-4","ml","","Only populated for ADNI-1 for historical purposes","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-06 12:31:35.0"
"","KMNDBCBBSI","FOXLABBSI","Fox Lab BSI measures","-4","Whole brain KN-BSI","-4","-4","-4","-4","-4","-4","-4","-4","ml","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-06 12:31:35.0"
"","VBSI","FOXLABBSI","Fox Lab BSI measures","-4","Ventricular BSI","-4","-4","-4","-4","-4","-4","-4","-4","ml","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-06 12:31:35.0"
"","HBSI_R","FOXLABBSI","Fox Lab BSI measures","-4","Right side hippocampal BSI","-4","-4","-4","-4","-4","-4","-4","-4","ml","","Only populated for ADNI GO/2","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-06 12:31:35.0"
"","HBSI_L","FOXLABBSI","Fox Lab BSI measures","-4","Left side hippocampal BSI","-4","-4","-4","-4","-4","-4","-4","-4","ml","","Only populated for ADNI GO/2","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-06 12:31:35.0"
"","REGRATING","FOXLABBSI","Fox Lab BSI measures","-4","Longitudinal QC rating","-4","-4","-4","-4","-4","-4","-4","-4","","1=Good; 2=Acceptable; 3=Borderline acceptable; 4=Fail/unacceptable; 5=Significant non-disease related pathology affects measure; 7=Not rated","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-06 12:31:35.0"
"","VENTACCEPT","FOXLABBSI","Fox Lab BSI measures","-4","Ventricular QC rating","-4","-4","-4","-4","-4","-4","-4","-4","","0=FAIL; 1=PASS","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-06 12:31:35.0"
"","HPACCEPT_R","FOXLABBSI","Fox Lab BSI measures","-4","Right side hippocampal QC rating","-4","-4","-4","-4","-4","-4","-4","-4","","0=FAIL; 1=PASS","Only populated for ADNI GO/2","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-06 12:31:35.0"
"","HPACCEPT_L","FOXLABBSI","Fox Lab BSI measures","-4","Left side hippocampal QC rating","-4","-4","-4","-4","-4","-4","-4","-4","","0=FAIL; 1=PASS","Only populated for ADNI GO/2","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-06 12:31:35.0"
"","MRSEQUENCE","FOXLABBSI","Fox Lab BSI measures","-4","MRI sequence","-4","-4","-4","-4","-4","-4","-4","-4","","ADNI-1=ADNI-1 T1; Non-Acc=ADNI-GO and ADNI-2 non-accelerated T1; Acc=ADNI-GO and ADNI-2 Accelerated T1 or ADNI-3 Accelerated T1","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2022-01-06 12:31:35.0"
