"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","FUJIREBIOABETA","Fujirebio Beta-Amyloid Ratio","-4","Participant roster ID","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","The 4 digit roster ID (RID) should be used to merge data","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-02-06 11:01:30.0"
"","VISCODE","FUJIREBIOABETA","Fujirebio Beta-Amyloid Ratio","-4","Visit code","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-02-06 11:01:30.0"
"","VISCODE2","FUJIREBIOABETA","Fujirebio Beta-Amyloid Ratio","-4","Translated visit code","-4","-4","-4","-4","-4","-4","-4","-4","","","Months from baseline rounded to nearest 6 months","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-02-06 11:01:30.0"
"","EXAMDATE","FUJIREBIOABETA","Fujirebio Beta-Amyloid Ratio","-4","Examination Date","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-02-06 11:01:30.0"
"","GUSPECID","FUJIREBIOABETA","Fujirebio Beta-Amyloid Ratio","-4","Specimen ID","-4","-4","-4","-4","-4","-4","-4","-4","","","Specimen ID provided by ADNI. Key for unblindig","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-02-06 11:01:30.0"
"","VID","FUJIREBIOABETA","Fujirebio Beta-Amyloid Ratio","-4","Visit ID","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-02-06 11:01:30.0"
"","DRAWDTE","FUJIREBIOABETA","Fujirebio Beta-Amyloid Ratio","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-02-06 11:01:30.0"
"","DER","FUJIREBIOABETA","Fujirebio Beta-Amyloid Ratio","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-02-06 11:01:30.0"
"","SITE","FUJIREBIOABETA","Fujirebio Beta-Amyloid Ratio","-4","Site","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-02-06 11:01:30.0"
"","VOL","FUJIREBIOABETA","Fujirebio Beta-Amyloid Ratio","-4","Volume","-4","-4","-4","-4","-4","-4","-4","-4","mL","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-02-06 11:01:30.0"
"","RECDTE","FUJIREBIOABETA","Fujirebio Beta-Amyloid Ratio","-4","","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-02-06 11:01:30.0"
"","STORDTE","FUJIREBIOABETA","Fujirebio Beta-Amyloid Ratio","-4","","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-02-06 11:01:30.0"
"","RUN","FUJIREBIOABETA","Fujirebio Beta-Amyloid Ratio","-4","Run","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-02-06 11:01:30.0"
"","RUNDATE","FUJIREBIOABETA","Fujirebio Beta-Amyloid Ratio","-4","Run date","-4","-4","-4","-4","-4","-4","-4","-4","","","Date of sample processing","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-02-06 11:01:30.0"
"","ABETA42","FUJIREBIOABETA","Fujirebio Beta-Amyloid Ratio","-4","Beta-Amyloid 1-42","-4","-4","-4","-4","-4","-4","-4","-4","pg/mL","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-02-06 11:01:30.0"
"","ABETA40","FUJIREBIOABETA","Fujirebio Beta-Amyloid Ratio","-4","Beta-Amyloid 1-40","-4","-4","-4","-4","-4","-4","-4","-4","pg/mL","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-02-06 11:01:30.0"
"","ABETA42_40","FUJIREBIOABETA","Fujirebio Beta-Amyloid Ratio","-4","Beta-Amyloid 1-42/1-40 ratio","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-02-06 11:01:30.0"
"","COMMENTS","FUJIREBIOABETA","Fujirebio Beta-Amyloid Ratio","-4","Comments","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-02-06 11:01:30.0"
