"FLDNAME","TBLNAME","CRFNAME","TEXT","UNITS","CODE","NOTES","update_stamp"
"COLPROT","MAYOADIRL_MRI_FMRI_NFQ","Jack Lab - fMRI Network Failure Quotient (NFQ)","Study protocol of data collection","-4","-4","","2020-05-05 13:59:21.0"
"RID","MAYOADIRL_MRI_FMRI_NFQ","Jack Lab - fMRI Network Failure Quotient (NFQ)","Participant roster ID","-4","-4","The 4 digit roster ID (RID) should be used to merge data","2020-05-05 13:59:21.0"
"VISCODE","MAYOADIRL_MRI_FMRI_NFQ","Jack Lab - fMRI Network Failure Quotient (NFQ)","Visit code","-4","-4","","2020-05-05 13:59:21.0"
"VISCODE2","MAYOADIRL_MRI_FMRI_NFQ","Jack Lab - fMRI Network Failure Quotient (NFQ)","Translated visit code","-4","-4","Months from baseline rounded to nearest 6 months","2020-05-05 13:59:21.0"
"SCANDATE","MAYOADIRL_MRI_FMRI_NFQ","Jack Lab - fMRI Network Failure Quotient (NFQ)","-4","-4","-4","-4","2020-05-05 13:59:21.0"
"SERIESDATE","MAYOADIRL_MRI_FMRI_NFQ","Jack Lab - fMRI Network Failure Quotient (NFQ)","SeriesDate","","","From Input DICOM files","2020-05-05 13:59:21.0"
"SERIESTIME","MAYOADIRL_MRI_FMRI_NFQ","Jack Lab - fMRI Network Failure Quotient (NFQ)","SeriesTime","","","From Input DICOM files","2020-05-05 13:59:21.0"
"MANUFACTURER","MAYOADIRL_MRI_FMRI_NFQ","Jack Lab - fMRI Network Failure Quotient (NFQ)","Manufacturer","","","From Input DICOM files","2020-05-05 13:59:21.0"
"MANUFACTURERSMODELNAME","MAYOADIRL_MRI_FMRI_NFQ","Jack Lab - fMRI Network Failure Quotient (NFQ)","ManufacturersModelName","","","From Input DICOM files","2020-05-05 13:59:21.0"
"REPETITIONTIME","MAYOADIRL_MRI_FMRI_NFQ","Jack Lab - fMRI Network Failure Quotient (NFQ)","RepetitionTime","","","From Input DICOM files","2020-05-05 13:59:21.0"
"ECHOTIME","MAYOADIRL_MRI_FMRI_NFQ","Jack Lab - fMRI Network Failure Quotient (NFQ)","EchoTime","","","From Input DICOM files","2020-05-05 13:59:21.0"
"SOFTWAREVERSIONS","MAYOADIRL_MRI_FMRI_NFQ","Jack Lab - fMRI Network Failure Quotient (NFQ)","SoftwareVersions","","","From Input DICOM files","2020-05-05 13:59:21.0"
"SERIESNUMBER","MAYOADIRL_MRI_FMRI_NFQ","Jack Lab - fMRI Network Failure Quotient (NFQ)","SeriesNumber","","","From Input DICOM files","2020-05-05 13:59:21.0"
"PATIENTSAGE","MAYOADIRL_MRI_FMRI_NFQ","Jack Lab - fMRI Network Failure Quotient (NFQ)","PatientsAge","","","From Input DICOM files","2020-05-05 13:59:21.0"
"WADDMN_TO_WAVDMN","MAYOADIRL_MRI_FMRI_NFQ","Jack Lab - fMRI Network Failure Quotient (NFQ)","wadDMN_to_wavDMN","","","inter-region connectivity measures","2020-05-05 13:59:21.0"
"WADDMN_TO_WPDMN","MAYOADIRL_MRI_FMRI_NFQ","Jack Lab - fMRI Network Failure Quotient (NFQ)","wadDMN_to_wpDMN","","","inter-region connectivity measures","2020-05-05 13:59:21.0"
"WADDMN_TO_WVDMN","MAYOADIRL_MRI_FMRI_NFQ","Jack Lab - fMRI Network Failure Quotient (NFQ)","wadDMN_to_wvDMN","","","inter-region connectivity measures","2020-05-05 13:59:21.0"
"WAVDMN_TO_WADDMN","MAYOADIRL_MRI_FMRI_NFQ","Jack Lab - fMRI Network Failure Quotient (NFQ)","wavDMN_to_wadDMN","","","inter-region connectivity measures","2020-05-05 13:59:21.0"
"WAVDMN_TO_WPDMN","MAYOADIRL_MRI_FMRI_NFQ","Jack Lab - fMRI Network Failure Quotient (NFQ)","wavDMN_to_wpDMN","","","inter-region connectivity measures","2020-05-05 13:59:21.0"
"WAVDMN_TO_WVDMN","MAYOADIRL_MRI_FMRI_NFQ","Jack Lab - fMRI Network Failure Quotient (NFQ)","wavDMN_to_wvDMN","","","inter-region connectivity measures","2020-05-05 13:59:21.0"
"WPDMN_TO_WADDMN","MAYOADIRL_MRI_FMRI_NFQ","Jack Lab - fMRI Network Failure Quotient (NFQ)","wpDMN_to_wadDMN","","","inter-region connectivity measures","2020-05-05 13:59:21.0"
"WPDMN_TO_WAVDMN","MAYOADIRL_MRI_FMRI_NFQ","Jack Lab - fMRI Network Failure Quotient (NFQ)","wpDMN_to_wavDMN","","","inter-region connectivity measures","2020-05-05 13:59:21.0"
"WPDMN_TO_WVDMN","MAYOADIRL_MRI_FMRI_NFQ","Jack Lab - fMRI Network Failure Quotient (NFQ)","wpDMN_to_wvDMN","","","inter-region connectivity measures","2020-05-05 13:59:21.0"
"WVDMN_TO_WADDMN","MAYOADIRL_MRI_FMRI_NFQ","Jack Lab - fMRI Network Failure Quotient (NFQ)","wvDMN_to_wadDMN","","","inter-region connectivity measures","2020-05-05 13:59:21.0"
"WVDMN_TO_WAVDMN","MAYOADIRL_MRI_FMRI_NFQ","Jack Lab - fMRI Network Failure Quotient (NFQ)","wvDMN_to_wavDMN","","","inter-region connectivity measures","2020-05-05 13:59:21.0"
"WVDMN_TO_WPDMN","MAYOADIRL_MRI_FMRI_NFQ","Jack Lab - fMRI Network Failure Quotient (NFQ)","wvDMN_to_wpDMN","","","inter-region connectivity measures","2020-05-05 13:59:21.0"
"WPDMN_MEDIAN","MAYOADIRL_MRI_FMRI_NFQ","Jack Lab - fMRI Network Failure Quotient (NFQ)","wpDMN_median","","","within region connectivity estimates","2020-05-05 13:59:21.0"
"WADDMN_MEDIAN","MAYOADIRL_MRI_FMRI_NFQ","Jack Lab - fMRI Network Failure Quotient (NFQ)","wadDMN_median","","","within region connectivity estimates","2020-05-05 13:59:21.0"
"WAVDMN_MEDIAN","MAYOADIRL_MRI_FMRI_NFQ","Jack Lab - fMRI Network Failure Quotient (NFQ)","wavDMN_median","","","within region connectivity estimates","2020-05-05 13:59:21.0"
"WVDMN_MEDIAN","MAYOADIRL_MRI_FMRI_NFQ","Jack Lab - fMRI Network Failure Quotient (NFQ)","wvDMN_median","","","within region connectivity estimates","2020-05-05 13:59:21.0"
"NFQ","MAYOADIRL_MRI_FMRI_NFQ","Jack Lab - fMRI Network Failure Quotient (NFQ)","calculated network failure quotient","","","","2020-05-05 13:59:21.0"
"OVERALLQC","MAYOADIRL_MRI_FMRI_NFQ","Jack Lab - fMRI Network Failure Quotient (NFQ)","manual QC assessment for the input data","","1=excellent; 2=good; 3=fair; 4=fail","","2020-05-05 13:59:21.0"
"SLICETIMING","MAYOADIRL_MRI_FMRI_NFQ","Jack Lab - fMRI Network Failure Quotient (NFQ)","sliceTiming","","","an underscore-separated list of times (in seconds) for the acquired image slices in the first volume. In ADNI all fMRI the slices are axial and here they are always counted from inferior to superior.   This is invariant to the way the data is stored in DICOM.  For Philips scanners the DICOM data do not indicate the slice acquisition order and it is inferred from knowledge of the protocols in use on the scan acquisition date if necessary.    Slice ordering should be determined from the Siemens CSA header.   GE slice ordering should be determined by the time for each slice in the DICOM header.  The notion of when time equals zero is determined by the vendor data if possible.","2020-05-05 13:59:21.0"
