"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"-4","RID","MAYOADIRL_MRI_IMAGEQC","Jack Lab - ADNI GO/2 MRI QC","-4","Participant roster ID","-4","-4","-4","-4","-4","-4","-4","-4","CHAR(10)","-4","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-08-06 08:55:39.0"
"-4","LONI_STUDY","MAYOADIRL_MRI_IMAGEQC","Jack Lab - ADNI GO/2 MRI QC","-4","LONI Study ID","-4","-4","-4","-4","-4","-4","-4","-4","CHAR(5)","-4","ADNI LONI Study ID","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-08-06 08:55:39.0"
"-4","LONI_SERIES","MAYOADIRL_MRI_IMAGEQC","Jack Lab - ADNI GO/2 MRI QC","-4","LONI Series ID","-4","-4","-4","-4","-4","-4","-4","-4","CHAR(7)","-4","ADNI LONI Series ID","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-08-06 08:55:39.0"
"-4","LONI_IMAGE","MAYOADIRL_MRI_IMAGEQC","Jack Lab - ADNI GO/2 MRI QC","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-08-06 08:55:39.0"
"-4","SERIES_DATE","MAYOADIRL_MRI_IMAGEQC","Jack Lab - ADNI GO/2 MRI QC","-4","Series Scan Date","-4","-4","-4","-4","-4","-4","-4","-4","CHAR(8)","-4","yyyymmdd","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-08-06 08:55:39.0"
"-4","SERIES_TIME","MAYOADIRL_MRI_IMAGEQC","Jack Lab - ADNI GO/2 MRI QC","-4","Series Time","-4","-4","-4","-4","-4","-4","-4","-4","CHAR(12)","-4","hhmmss.xxx","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-08-06 08:55:39.0"
"-4","SERIES_NUMBER","MAYOADIRL_MRI_IMAGEQC","Jack Lab - ADNI GO/2 MRI QC","-4","Series Number","-4","-4","-4","-4","-4","-4","-4","-4","CHAR(4)","-4","Series Number","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-08-06 08:55:39.0"
"-4","SERIES_DESCRIPTION","MAYOADIRL_MRI_IMAGEQC","Jack Lab - ADNI GO/2 MRI QC","-4","Series Description","-4","-4","-4","-4","-4","-4","-4","-4","CHAR(34)","-4","Series Description","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-08-06 08:55:39.0"
"-4","SERIES_TYPE","MAYOADIRL_MRI_IMAGEQC","Jack Lab - ADNI GO/2 MRI QC","-4","Series Type","-4","-4","-4","-4","-4","-4","-4","-4","CHAR(5)","-4","Series Type","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-08-06 08:55:39.0"
"-4","SOFTWARE_VERSION","MAYOADIRL_MRI_IMAGEQC","Jack Lab - ADNI GO/2 MRI QC","-4","Software Version","-4","-4","-4","-4","-4","-4","-4","-4","CHAR(45)","-4","Software Version","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-08-06 08:55:39.0"
"-4","FIELD_STRENGTH","MAYOADIRL_MRI_IMAGEQC","Jack Lab - ADNI GO/2 MRI QC","-4","Field Strength","-4","-4","-4","-4","-4","-4","-4","-4","CHAR(5)","-4","Field Strength","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-08-06 08:55:39.0"
"-4","COIL","MAYOADIRL_MRI_IMAGEQC","Jack Lab - ADNI GO/2 MRI QC","-4","Coil","-4","-4","-4","-4","-4","-4","-4","-4","CHAR(32)","-4","Coil","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-08-06 08:55:39.0"
"-4","SERIES_QUALITY","MAYOADIRL_MRI_IMAGEQC","Jack Lab - ADNI GO/2 MRI QC","-4","Series Quality","-4","-4","-4","-4","-4","-4","-4","-4","CHAR(1)","-4","<blank> Not evaluated, (1) Excellent, (2) Good, (3) Fair, (4) Unusable","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-08-06 08:55:39.0"
"-4","SERIES_SELECTED","MAYOADIRL_MRI_IMAGEQC","Jack Lab - ADNI GO/2 MRI QC","-4","Series Selected","-4","-4","-4","-4","-4","-4","-4","-4","CHAR(1)","-4","<blank> Not evaluated, (0) Not selected, (1) Selected","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-08-06 08:55:39.0"
"-4","SERIES_COMMENTS","MAYOADIRL_MRI_IMAGEQC","Jack Lab - ADNI GO/2 MRI QC","-4","Series Comments","-4","-4","-4","-4","-4","-4","-4","-4","CHAR(200)","-4","Series Comments","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-08-06 08:55:39.0"
"-4","SERIES_COVERAGE_OCCIPITAL","MAYOADIRL_MRI_IMAGEQC","Jack Lab - ADNI GO/2 MRI QC","-4","Series Coverage Occipital","-4","-4","-4","-4","-4","-4","-4","-4","CHAR(1)","-4","<blank> Not evaluated, (0) No coverage issue, (1) Coverage issue","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-08-06 08:55:39.0"
"-4","SERIES_COVERAGE_VERMIS","MAYOADIRL_MRI_IMAGEQC","Jack Lab - ADNI GO/2 MRI QC","-4","Series Coverage Vermis","-4","-4","-4","-4","-4","-4","-4","-4","CHAR(1)","-4","<blank> Not evaluated, (0) No coverage issue, (1) Coverage issue","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-08-06 08:55:39.0"
"-4","SERIES_COVERAGE_CEREBELLUM","MAYOADIRL_MRI_IMAGEQC","Jack Lab - ADNI GO/2 MRI QC","-4","Series Coverage Cerebellum","-4","-4","-4","-4","-4","-4","-4","-4","CHAR(1)","-4","<blank> Not evaluated, (0) No coverage issue, (1) Coverage issue","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-08-06 08:55:39.0"
