"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","MAYOADIRL_MRI_IMAGEQC","Jack Lab - ADNI GO/2/3 MRI QC","-4","Participant roster ID","-4","-4","-4","-4","-4","-4","-4","-4","CHAR(10)","-4","The 4 digit roster ID (RID) should be used to merge data","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-10-16 15:43:06.0"
"","SERIES_DATE","MAYOADIRL_MRI_IMAGEQC","Jack Lab - ADNI GO/2/3 MRI QC","-4","Series Scan Date","-4","-4","-4","-4","-4","-4","-4","-4","CHAR(8)","-4","yyyymmdd","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-10-16 15:43:06.0"
"","STUDYINSTANCEUID","MAYOADIRL_MRI_IMAGEQC","Jack Lab - ADNI GO/2/3 MRI QC","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-10-16 15:43:06.0"
"","STUDY_OVERALLPASS","MAYOADIRL_MRI_IMAGEQC","Jack Lab - ADNI GO/2/3 MRI QC","-4","Study Overall Quality Assessment","-4","-4","-4","-4","-4","-4","-4","-4","CHAR(1)","-4","(-1) Not evaluated, (0) Fail, (1) Pass","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-10-16 15:43:06.0"
"","STUDY_COMMENTS","MAYOADIRL_MRI_IMAGEQC","Jack Lab - ADNI GO/2/3 MRI QC","-4","Study Comments","-4","-4","-4","-4","-4","-4","-4","-4","CHAR(200)","-4","Study Comments","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-10-16 15:43:06.0"
"","STUDY_PROTOCOL_STATUS","MAYOADIRL_MRI_IMAGEQC","Jack Lab - ADNI GO/2/3 MRI QC","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-10-16 15:43:06.0"
"","STUDY_PROTOCOL_COMMENT","MAYOADIRL_MRI_IMAGEQC","Jack Lab - ADNI GO/2/3 MRI QC","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-10-16 15:43:06.0"
"","STUDY_RESCAN_REQUESTED","MAYOADIRL_MRI_IMAGEQC","Jack Lab - ADNI GO/2/3 MRI QC","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-10-16 15:43:06.0"
"","SERIESINSTANCEUID","MAYOADIRL_MRI_IMAGEQC","Jack Lab - ADNI GO/2/3 MRI QC","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-10-16 15:43:06.0"
"","SERIES_DESCRIPTION","MAYOADIRL_MRI_IMAGEQC","Jack Lab - ADNI GO/2/3 MRI QC","-4","Series Description","-4","-4","-4","-4","-4","-4","-4","-4","CHAR(34)","-4","Series Description","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-10-16 15:43:06.0"
"","SERIES_TYPE","MAYOADIRL_MRI_IMAGEQC","Jack Lab - ADNI GO/2/3 MRI QC","-4","Series Type","-4","-4","-4","-4","-4","-4","-4","-4","CHAR(5)","-4","Series Type","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-10-16 15:43:06.0"
"","SERIES_QUALITY","MAYOADIRL_MRI_IMAGEQC","Jack Lab - ADNI GO/2/3 MRI QC","-4","Series Quality","-4","-4","-4","-4","-4","-4","-4","-4","CHAR(1)","-4","<blank> Not evaluated, (1) Excellent, (2) Good, (3) Fair, (4) Unusable","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-10-16 15:43:06.0"
"","SERIES_COMMENTS","MAYOADIRL_MRI_IMAGEQC","Jack Lab - ADNI GO/2/3 MRI QC","-4","Series Comments","-4","-4","-4","-4","-4","-4","-4","-4","CHAR(200)","-4","Series Comments","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-10-16 15:43:06.0"
"","PROTOCOL_STATUS","MAYOADIRL_MRI_IMAGEQC","Jack Lab - ADNI GO/2/3 MRI QC","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-10-16 15:43:06.0"
"","PROTOCOL_COMMENTS","MAYOADIRL_MRI_IMAGEQC","Jack Lab - ADNI GO/2/3 MRI QC","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-10-16 15:43:06.0"
"","SERIES_SELECTED","MAYOADIRL_MRI_IMAGEQC","Jack Lab - ADNI GO/2/3 MRI QC","-4","Series Selected","-4","-4","-4","-4","-4","-4","-4","-4","CHAR(1)","-4","<blank> Not evaluated, (0) Not selected, (1) Selected","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-10-16 15:43:06.0"
"","LONI_STUDY","MAYOADIRL_MRI_IMAGEQC","Jack Lab - ADNI GO/2/3 MRI QC","-4","LONI Study ID","-4","-4","-4","-4","-4","-4","-4","-4","CHAR(5)","-4","ADNI LONI Study ID","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-10-16 15:43:06.0"
