"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"-4","COLPROT","MRI_INFARCTS","MRI Infarcts","-4","Study protocol of data collection","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-02-01 11:10:13.0"
"-4","RID","MRI_INFARCTS","MRI Infarcts","-4","Participant roster ID","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-02-01 11:10:13.0"
"-4","VISCODE","MRI_INFARCTS","MRI Infarcts","-4","Visit code","-4","-4","-4","-4","-4","-4","-4","-4","","ADNI code","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-02-01 11:10:13.0"
"-4","VISCODE2","MRI_INFARCTS","MRI Infarcts","-4","Translated visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","Months from baseline rounded to nearest 6 months","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-02-01 11:10:13.0"
"-4","MRI.DATE2","MRI_INFARCTS","MRI Infarcts","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-02-01 11:10:13.0"
"-4","MRI.DATE1","MRI_INFARCTS","MRI Infarcts","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-02-01 11:10:13.0"
"-4","ANALYZE.DATE","MRI_INFARCTS","MRI Infarcts","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-02-01 11:10:13.0"
"-4","SIDE","MRI_INFARCTS","MRI Infarcts","-4","Side of Infarct, if detected","-4","-4","-4","-4","-4","-4","-4","-4","Text","R/L or -","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-02-01 11:10:13.0"
"-4","SIZE","MRI_INFARCTS","MRI Infarcts","-4","Size of Infarct, if detected","-4","-4","-4","-4","-4","-4","-4","-4","Text","Small/Large or -","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-02-01 11:10:13.0"
"-4","CVA.NUMBER","MRI_INFARCTS","MRI Infarcts","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-02-01 11:10:13.0"
"-4","CVA.LOCATION","MRI_INFARCTS","MRI Infarcts","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-02-01 11:10:13.0"
"-4","CVA.TYPE","MRI_INFARCTS","MRI Infarcts","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-02-01 11:10:13.0"
"-4","XYZ","MRI_INFARCTS","MRI Infarcts","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-02-01 11:10:13.0"
"-4","IMGFILE","MRI_INFARCTS","MRI Infarcts","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-02-01 11:10:13.0"
