"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","NEUROPATH","NACC Neuropathology Data Form","-4","Participant roster ID","-4","-4","N","","","-4","-4","-4","-4","-4","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-18 10:25:54.0"
"","NPFORMMO","NEUROPATH","NACC Neuropathology Data Form","-4","","-4","-4","","","","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-18 10:25:54.0"
"","NPFORMDY","NEUROPATH","NACC Neuropathology Data Form","-4","","-4","-4","","","","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-18 10:25:54.0"
"","NPFORMYR","NEUROPATH","NACC Neuropathology Data Form","-4","","-4","-4","","","","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-18 10:25:54.0"
"","NPDAGE","NEUROPATH","NACC Neuropathology Data Form","-4","Age at death (years)","-4","-4","text","","","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-18 10:25:54.0"
"","NPDODYR","NEUROPATH","NACC Neuropathology Data Form","-4","","-4","-4","","","","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-18 10:25:54.0"
"","NPPMIH","NEUROPATH","NACC Neuropathology Data Form","-4","","-4","-4","","","","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-18 10:25:54.0"
"","NPFIX","NEUROPATH","NACC Neuropathology Data Form","-4","8. Fixative ","-4","-4","dropdown","","","-4","-4","-4","","1=1 Formalin; 2=2 Paraformaldehyde; 7=7 Other (Specify)","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-18 10:25:54.0"
"","NPFIXX","NEUROPATH","NACC Neuropathology Data Form","-4","Specify:","-4","-4","text","","","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-18 10:25:54.0"
"","NPWBRWT","NEUROPATH","NACC Neuropathology Data Form","-4","a. Whole brain weight (if half brain, multiply weight by two) (9999=unknown)","-4","-4","text","","","-4","-4","-4","","","9. GROSS FINDINGS","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-18 10:25:54.0"
"","NPWBRF","NEUROPATH","NACC Neuropathology Data Form","-4","b. Does the value in Question 9a represent fresh or fixed weight? (Check One)","-4","-4","dropdown","","","-4","-4","-4","","1=1 Fresh; 2=2 Fixed; 8=8 Not applicable","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-18 10:25:54.0"
"","NPGRCCA","NEUROPATH","NACC Neuropathology Data Form","-4","c1. Cerebral cortex atrophy","-4","-4","dropdown","","","-4","-4","-4","","0=0 None; 1=1 Mild; 2=2 Moderate; 3=3 Severe; 8=8 Not assessed; 9=9 Missing/unknown","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-18 10:25:54.0"
"","NPGRLA","NEUROPATH","NACC Neuropathology Data Form","-4","c2. Lobar atrophy (significant frontal and/or temporal atrophy)","-4","-4","dropdown","","","-4","-4","-4","","0=0 None; 1=1 Yes; 8=8 Not assessed; 9=9 Missing/unknown","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-18 10:25:54.0"
"","NPGRHA","NEUROPATH","NACC Neuropathology Data Form","-4","c3. Hippocampus atrophy","-4","-4","dropdown","","","-4","-4","-4","","0=0 None; 1=1 Mild; 2=2 Moderate; 3=3 Severe; 8=8 Not assessed; 9=9 Missing/unknown","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-18 10:25:54.0"
"","NPGRSNH","NEUROPATH","NACC Neuropathology Data Form","-4","c4. Substantia nigra hypopigmentation","-4","-4","dropdown","","","-4","-4","-4","","0=0 None; 1=1 Mild; 2=2 Moderate; 3=3 Severe; 8=8 Not assessed; 9=9 Missing/unknown","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-18 10:25:54.0"
"","NPGRLCH","NEUROPATH","NACC Neuropathology Data Form","-4","c5. L. ceruleus hypopigmentation","-4","-4","dropdown","","","-4","-4","-4","","0=0 None; 1=1 Mild; 2=2 Moderate; 3=3 Severe; 8=8 Not assessed; 9=9 Missing/unknown","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-18 10:25:54.0"
"","NPAVAS","NEUROPATH","NACC Neuropathology Data Form","-4","c6. Atherosclerosis (of the circle of Willis)","-4","-4","dropdown","","","-4","-4","-4","","0=0 None; 1=1 Mild; 2=2 Moderate; 3=3 Severe; 8=8 Not assessed; 9=9 Missing/unknown","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-18 10:25:54.0"
"","NPTAN","NEUROPATH","NACC Neuropathology Data Form","-4","a. Tau antibody (Check One)","-4","-4","dropdown","","","-4","-4","-4","","1=1 Non-phospho specific; 2=2 PHF1; 3=3 CP13; 4=4 AT8; 7=7 Other (Specify); 8=8 Not assessed","10. METHODS USED FOR SCORING CASE","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-18 10:25:54.0"
"","NPTANX","NEUROPATH","NACC Neuropathology Data Form","-4","Specify:","-4","-4","text","","","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-18 10:25:54.0"
"","NPABAN","NEUROPATH","NACC Neuropathology Data Form","-4","b. Amyloid beta antibody (Check One)","-4","-4","dropdown","","","-4","-4","-4","","1=1 4G8; 2=2 10D5; 7=7 Other (Specify); 8=8 Not assessed","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-18 10:25:54.0"
"","NPABANX","NEUROPATH","NACC Neuropathology Data Form","-4","Specify:","-4","-4","text","","","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-18 10:25:54.0"
"","NPASAN","NEUROPATH","NACC Neuropathology Data Form","-4","c. Alpha synuclein antibody","-4","-4","dropdown","","","-4","-4","-4","","1=1 Non-phospho specific (e.g., LB509); 2=2 Phospho-specific (e.g., pSYN#64); 7=7 Other (Specify); 8=8 Not assessed","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-18 10:25:54.0"
"","NPASANX","NEUROPATH","NACC Neuropathology Data Form","-4","Specify:","-4","-4","text","","","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-18 10:25:54.0"
"","NPTDPAN","NEUROPATH","NACC Neuropathology Data Form","-4","d. TDP-43 antibody (Check One)","-4","-4","dropdown","","","-4","-4","-4","","1=1 Non-phospho specific; 2=2 Phospho-specific; 7=7 Other (Specify); 8=8 Not assessed","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-18 10:25:54.0"
"","NPTDPANX","NEUROPATH","NACC Neuropathology Data Form","-4","Specify:","-4","-4","text","","","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-18 10:25:54.0"
"","NPHISMB","NEUROPATH","NACC Neuropathology Data Form","-4","e1. Modified Bielschowsky","-4","-4","dropdown","","","-4","-4","-4","","0=0 No; 1=1 Yes","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-18 10:25:54.0"
"","NPHISG","NEUROPATH","NACC Neuropathology Data Form","-4","e2. Gallyas","-4","-4","dropdown","","","-4","-4","-4","","0=0 No; 1=1 Yes","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-18 10:25:54.0"
