"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"6794","RID","PIBPETSUVR","U Pitt PIB PET Analysis","-4","-4","-4","-4","N","38 digits","0","-4","-4","-4","-4","","-4","22937805","2","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-06-07 11:59:20.0"
"6796","VISCODE","PIBPETSUVR","U Pitt PIB PET Analysis","-4","-4","-4","-4","T","10 characters","0","-4","-4","-4","-4","","-4","22937805","4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-06-07 11:59:20.0"
"6804","EXAMDATE","PIBPETSUVR","U Pitt PIB PET Analysis","-4","-4","-4","-4","D","10","0","-4","-4","-4","-4","","-4","22937805","12","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-06-07 11:59:20.0"
"6805","IMAGEUID","PIBPETSUVR","U Pitt PIB PET Analysis","-4","-4","-4","-4","T","20","0","-4","-4","-4","-4","","-4","22937805","13","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-06-07 11:59:20.0"
"6806","LONISID","PIBPETSUVR","U Pitt PIB PET Analysis","-4","-4","-4","-4","T","20","0","-4","-4","-4","-4","","-4","22937805","14","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-06-07 11:59:20.0"
"6807","LONIUID","PIBPETSUVR","U Pitt PIB PET Analysis","-4","-4","-4","-4","T","20","0","-4","-4","-4","-4","","-4","22937805","15","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-06-07 11:59:20.0"
"6809","ACG","PIBPETSUVR","U Pitt PIB PET Analysis","-4","Anterior cingulate","-4","-4","N","5","2","-4","-4","-4","-4","","-4","22937805","16","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-06-07 11:59:20.0"
"6810","FRC","PIBPETSUVR","U Pitt PIB PET Analysis","-4","Frontal cortex","-4","-4","N","5","2","-4","-4","-4","-4","","-4","22937805","17","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-06-07 11:59:20.0"
"6811","LTC","PIBPETSUVR","U Pitt PIB PET Analysis","-4","Lateral temporal cortex","-4","-4","N","5","2","-4","-4","-4","-4","","-4","22937805","18","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-06-07 11:59:20.0"
"6812","PAR","PIBPETSUVR","U Pitt PIB PET Analysis","-4","Parietal cortex","-4","-4","N","5","2","-4","-4","-4","-4","","-4","22937805","19","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-06-07 11:59:20.0"
"6813","PRC","PIBPETSUVR","U Pitt PIB PET Analysis","-4","Precuneus cortex","-4","-4","N","5","2","-4","-4","-4","-4","","-4","22937805","20","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-06-07 11:59:20.0"
"6814","MTC","PIBPETSUVR","U Pitt PIB PET Analysis","-4","Mesial temporal cortex","-4","-4","N","5","2","-4","-4","-4","-4","","-4","22937805","21","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-06-07 11:59:20.0"
"6815","OCC","PIBPETSUVR","U Pitt PIB PET Analysis","-4","Occipital cortex","-4","-4","N","5","2","-4","-4","-4","-4","","-4","22937805","22","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-06-07 11:59:20.0"
"6816","OCP","PIBPETSUVR","U Pitt PIB PET Analysis","-4","Occipital pole","-4","-4","N","5","2","-4","-4","-4","-4","","-4","22937805","23","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-06-07 11:59:20.0"
"6817","PON","PIBPETSUVR","U Pitt PIB PET Analysis","-4","Pons","-4","-4","N","5","2","-4","-4","-4","-4","","-4","22937805","24","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-06-07 11:59:20.0"
"6818","AVS","PIBPETSUVR","U Pitt PIB PET Analysis","-4","Anterior ventral striatum","-4","-4","N","5","2","-4","-4","-4","-4","","-4","22937805","25","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-06-07 11:59:20.0"
"6819","CER","PIBPETSUVR","U Pitt PIB PET Analysis","-4","Cerebellum","-4","-4","N","5","2","-4","-4","-4","-4","","-4","22937805","26","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-06-07 11:59:20.0"
"6820","SMC","PIBPETSUVR","U Pitt PIB PET Analysis","-4","Sensory motor cortex","-4","-4","N","5","2","-4","-4","-4","-4","","-4","22937805","27","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2011-06-07 11:59:20.0"
