"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","PLASMA_ABETA_PROJECT_ADX_VUMC","FNIH Biomarkers Consortium Plasma Abeta Project: ADx VUmc","-4","Participant roster ID","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:35:15.0"
"","VISCODE","PLASMA_ABETA_PROJECT_ADX_VUMC","FNIH Biomarkers Consortium Plasma Abeta Project: ADx VUmc","-4","Visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:35:15.0"
"","VISCODE2","PLASMA_ABETA_PROJECT_ADX_VUMC","FNIH Biomarkers Consortium Plasma Abeta Project: ADx VUmc","-4","Translated visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","Months from baseline rounded to nearest 6 months","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:35:15.0"
"","EXAMDATE","PLASMA_ABETA_PROJECT_ADX_VUMC","FNIH Biomarkers Consortium Plasma Abeta Project: ADx VUmc","-4","Examination Date","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:35:15.0"
"","GUSPECID","PLASMA_ABETA_PROJECT_ADX_VUMC","FNIH Biomarkers Consortium Plasma Abeta Project: ADx VUmc","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:35:15.0"
"","VID","PLASMA_ABETA_PROJECT_ADX_VUMC","FNIH Biomarkers Consortium Plasma Abeta Project: ADx VUmc","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:35:15.0"
"","DER","PLASMA_ABETA_PROJECT_ADX_VUMC","FNIH Biomarkers Consortium Plasma Abeta Project: ADx VUmc","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:35:15.0"
"","DRAWTIME","PLASMA_ABETA_PROJECT_ADX_VUMC","FNIH Biomarkers Consortium Plasma Abeta Project: ADx VUmc","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:35:15.0"
"","RUN","PLASMA_ABETA_PROJECT_ADX_VUMC","FNIH Biomarkers Consortium Plasma Abeta Project: ADx VUmc","-4","Indicates the run in which the sample was analyzed","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:35:15.0"
"","SEQ","PLASMA_ABETA_PROJECT_ADX_VUMC","FNIH Biomarkers Consortium Plasma Abeta Project: ADx VUmc","-4","Order or sequence of sample measurement","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:35:15.0"
"","NF_LIGHT","PLASMA_ABETA_PROJECT_ADX_VUMC","FNIH Biomarkers Consortium Plasma Abeta Project: ADx VUmc","-4","Calibrated plasma Neurofilament light (NF-light) concentration in pg/mL","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:35:15.0"
"","ABETA42","PLASMA_ABETA_PROJECT_ADX_VUMC","FNIH Biomarkers Consortium Plasma Abeta Project: ADx VUmc","-4","Calibrated plasma Abeta 42 concentration in pg/mL","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:35:15.0"
"","ABETA40","PLASMA_ABETA_PROJECT_ADX_VUMC","FNIH Biomarkers Consortium Plasma Abeta Project: ADx VUmc","-4","Calibrated plasma Abeta 40 concentration in pg/mL. Measurements > 146.4 pg/mL were extrapolated above the standard curve because there was a Simoa-error on the highest calibrator point.","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:35:15.0"
"","GFAP","PLASMA_ABETA_PROJECT_ADX_VUMC","FNIH Biomarkers Consortium Plasma Abeta Project: ADx VUmc","-4","Calibrated plasma glial fibrillary acidic protein (GFAP) concentration in pg/mL","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:35:15.0"
