"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","PLASMA_ABETA_PROJECT_QUANTERIX","FNIH Biomarkers Consortium Plasma Abeta Project: Quanterix","-4","Participant roster ID","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:36:19.0"
"","VISCODE","PLASMA_ABETA_PROJECT_QUANTERIX","FNIH Biomarkers Consortium Plasma Abeta Project: Quanterix","-4","Visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:36:19.0"
"","VISCODE2","PLASMA_ABETA_PROJECT_QUANTERIX","FNIH Biomarkers Consortium Plasma Abeta Project: Quanterix","-4","Translated visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","Months from baseline rounded to nearest 6 months","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:36:19.0"
"","EXAMDATE","PLASMA_ABETA_PROJECT_QUANTERIX","FNIH Biomarkers Consortium Plasma Abeta Project: Quanterix","-4","Examination Date","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:36:19.0"
"","GUSPECID","PLASMA_ABETA_PROJECT_QUANTERIX","FNIH Biomarkers Consortium Plasma Abeta Project: Quanterix","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:36:19.0"
"","VID","PLASMA_ABETA_PROJECT_QUANTERIX","FNIH Biomarkers Consortium Plasma Abeta Project: Quanterix","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:36:19.0"
"","DER","PLASMA_ABETA_PROJECT_QUANTERIX","FNIH Biomarkers Consortium Plasma Abeta Project: Quanterix","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:36:19.0"
"","DRAWTIME","PLASMA_ABETA_PROJECT_QUANTERIX","FNIH Biomarkers Consortium Plasma Abeta Project: Quanterix","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:36:19.0"
"","SAMPLE_ID","PLASMA_ABETA_PROJECT_QUANTERIX","FNIH Biomarkers Consortium Plasma Abeta Project: Quanterix","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:36:19.0"
"","AB1_40_RUN","PLASMA_ABETA_PROJECT_QUANTERIX","FNIH Biomarkers Consortium Plasma Abeta Project: Quanterix","-4","Indicates the analytical run in which the sample was analyzed for AB1-40","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:36:19.0"
"","AB1_40_AEB_REP1","PLASMA_ABETA_PROJECT_QUANTERIX","FNIH Biomarkers Consortium Plasma Abeta Project: Quanterix","-4","AB1-40 average enzymes per bead, replicate 1 value","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:36:19.0"
"","AB1_40_AEB_REP2","PLASMA_ABETA_PROJECT_QUANTERIX","FNIH Biomarkers Consortium Plasma Abeta Project: Quanterix","-4","AB1-40 average enzymes per bead, replicate 2 value","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:36:19.0"
"","AB1_40_AVE_AEB","PLASMA_ABETA_PROJECT_QUANTERIX","FNIH Biomarkers Consortium Plasma Abeta Project: Quanterix","-4","AB1-40 average of the AEB replicate values","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:36:19.0"
"","AB1_40_CONC_REP1","PLASMA_ABETA_PROJECT_QUANTERIX","FNIH Biomarkers Consortium Plasma Abeta Project: Quanterix","-4","AB1-40  calibrated concentration in pg/mL for replicate 1","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:36:19.0"
"","AB1_40_CONC_REP2","PLASMA_ABETA_PROJECT_QUANTERIX","FNIH Biomarkers Consortium Plasma Abeta Project: Quanterix","-4","AB1-40 calibrated concentration in pg/mL for replicate 2","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:36:19.0"
"","AB1_40_AVE_CONC","PLASMA_ABETA_PROJECT_QUANTERIX","FNIH Biomarkers Consortium Plasma Abeta Project: Quanterix","-4","AB1-40 average of the calibrated concentrations","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:36:19.0"
"","AB1_40_DILUTION_FACTOR","PLASMA_ABETA_PROJECT_QUANTERIX","FNIH Biomarkers Consortium Plasma Abeta Project: Quanterix","-4","AB1-40 dilution factor. Plasma samples were diluted 4-fold.","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:36:19.0"
"","AB1_40_DILUTION_CORRECTED_CONC","PLASMA_ABETA_PROJECT_QUANTERIX","FNIH Biomarkers Consortium Plasma Abeta Project: Quanterix","-4","Dilution corrected AB1-40 concentration of analyte in pg/mL","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:36:19.0"
"","AB1_40_RUN_NOTES","PLASMA_ABETA_PROJECT_QUANTERIX","FNIH Biomarkers Consortium Plasma Abeta Project: Quanterix","-4","Notes on acceptance criteria or retesting for AB1-40 assay","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:36:19.0"
"","AB1_42_RUN","PLASMA_ABETA_PROJECT_QUANTERIX","FNIH Biomarkers Consortium Plasma Abeta Project: Quanterix","-4","Indicates the analytical run in which the sample was analyzed for AB1-42","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:36:19.0"
"","AB1_42_AEB_REP1","PLASMA_ABETA_PROJECT_QUANTERIX","FNIH Biomarkers Consortium Plasma Abeta Project: Quanterix","-4","AB1-42 average enzymes per bead, replicate 1 value","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:36:19.0"
"","AB1_42_AEB_REP2","PLASMA_ABETA_PROJECT_QUANTERIX","FNIH Biomarkers Consortium Plasma Abeta Project: Quanterix","-4","AB1-42  average enzymes per bead, replicate 2 value","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:36:19.0"
"","AB1_42_AVE_AEB","PLASMA_ABETA_PROJECT_QUANTERIX","FNIH Biomarkers Consortium Plasma Abeta Project: Quanterix","-4","AB1-42  average of the AEB replicate values","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:36:19.0"
"","AB1_42_CONC_REP1","PLASMA_ABETA_PROJECT_QUANTERIX","FNIH Biomarkers Consortium Plasma Abeta Project: Quanterix","-4","AB1-42  calibrated concentration in pg/mL for replicate 1","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:36:19.0"
"","AB1_42_CONC_REP2","PLASMA_ABETA_PROJECT_QUANTERIX","FNIH Biomarkers Consortium Plasma Abeta Project: Quanterix","-4","AB1-42 calibrated concentration in pg/mL for replicate 2","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:36:19.0"
"","AB1_42_AVE_CONC","PLASMA_ABETA_PROJECT_QUANTERIX","FNIH Biomarkers Consortium Plasma Abeta Project: Quanterix","-4","AB1-42 average of the calibrated concentrations","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:36:19.0"
"","AB1_42_DILUTION_FACTOR","PLASMA_ABETA_PROJECT_QUANTERIX","FNIH Biomarkers Consortium Plasma Abeta Project: Quanterix","-4","AB1-42  dilution factor. Plasma samples were diluted 4-fold.","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:36:19.0"
"","AB1_42_DILUTION_CORRECTED_CONC","PLASMA_ABETA_PROJECT_QUANTERIX","FNIH Biomarkers Consortium Plasma Abeta Project: Quanterix","-4","Dilution corrected AB1-42 concentration in pg/mL","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:36:19.0"
"","AB1_42_RUN_NOTES","PLASMA_ABETA_PROJECT_QUANTERIX","FNIH Biomarkers Consortium Plasma Abeta Project: Quanterix","-4","Notes on acceptance criteria or retesting for AB1-40 assay","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:36:19.0"
