"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","PLASMA_ABETA_PROJECT_ROCHE","FNIH Biomarkers Consortium Plasma Abeta Project: Roche","-4","Participant roster ID","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:37:21.0"
"","VISCODE","PLASMA_ABETA_PROJECT_ROCHE","FNIH Biomarkers Consortium Plasma Abeta Project: Roche","-4","Visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:37:21.0"
"","VISCODE2","PLASMA_ABETA_PROJECT_ROCHE","FNIH Biomarkers Consortium Plasma Abeta Project: Roche","-4","Translated visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","Months from baseline rounded to nearest 6 months","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:37:21.0"
"","EXAMDATE","PLASMA_ABETA_PROJECT_ROCHE","FNIH Biomarkers Consortium Plasma Abeta Project: Roche","-4","Examination Date","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:37:21.0"
"","GUSPECID","PLASMA_ABETA_PROJECT_ROCHE","FNIH Biomarkers Consortium Plasma Abeta Project: Roche","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:37:21.0"
"","VID","PLASMA_ABETA_PROJECT_ROCHE","FNIH Biomarkers Consortium Plasma Abeta Project: Roche","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:37:21.0"
"","DER","PLASMA_ABETA_PROJECT_ROCHE","FNIH Biomarkers Consortium Plasma Abeta Project: Roche","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:37:21.0"
"","DRAWTIME","PLASMA_ABETA_PROJECT_ROCHE","FNIH Biomarkers Consortium Plasma Abeta Project: Roche","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:37:21.0"
"","STUDYID","PLASMA_ABETA_PROJECT_ROCHE","FNIH Biomarkers Consortium Plasma Abeta Project: Roche","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:37:21.0"
"","RBARCODE","PLASMA_ABETA_PROJECT_ROCHE","FNIH Biomarkers Consortium Plasma Abeta Project: Roche","-4","Identifer for run sequence","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:37:21.0"
"","ASSAY","PLASMA_ABETA_PROJECT_ROCHE","FNIH Biomarkers Consortium Plasma Abeta Project: Roche","-4","Plasma Abeta1-40 or Plasma Abeta1-42 immunoassay","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:37:21.0"
"","RESULT","PLASMA_ABETA_PROJECT_ROCHE","FNIH Biomarkers Consortium Plasma Abeta Project: Roche","-4","Calibrated concentration of analyte in pg/mL. Samples were run in singlicate and were not diluted.","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:37:21.0"
