"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","PLASMA_ABETA_PROJECT_SHIMADZU","FNIH Biomarkers Consortium Plasma Abeta Project: Shimadzu","-4","Participant roster ID","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:38:22.0"
"","VISCODE","PLASMA_ABETA_PROJECT_SHIMADZU","FNIH Biomarkers Consortium Plasma Abeta Project: Shimadzu","-4","Visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:38:22.0"
"","VISCODE2","PLASMA_ABETA_PROJECT_SHIMADZU","FNIH Biomarkers Consortium Plasma Abeta Project: Shimadzu","-4","Translated visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","Months from baseline rounded to nearest 6 months","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:38:22.0"
"","EXAMDATE","PLASMA_ABETA_PROJECT_SHIMADZU","FNIH Biomarkers Consortium Plasma Abeta Project: Shimadzu","-4","Examination Date","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:38:22.0"
"","GUSPECID","PLASMA_ABETA_PROJECT_SHIMADZU","FNIH Biomarkers Consortium Plasma Abeta Project: Shimadzu","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:38:22.0"
"","VID","PLASMA_ABETA_PROJECT_SHIMADZU","FNIH Biomarkers Consortium Plasma Abeta Project: Shimadzu","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:38:22.0"
"","DER","PLASMA_ABETA_PROJECT_SHIMADZU","FNIH Biomarkers Consortium Plasma Abeta Project: Shimadzu","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:38:22.0"
"","DRAWTIME","PLASMA_ABETA_PROJECT_SHIMADZU","FNIH Biomarkers Consortium Plasma Abeta Project: Shimadzu","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:38:22.0"
"","DATE","PLASMA_ABETA_PROJECT_SHIMADZU","FNIH Biomarkers Consortium Plasma Abeta Project: Shimadzu","-4","Date of sample analysis in month/date/year format","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:38:22.0"
"","AB1_42","PLASMA_ABETA_PROJECT_SHIMADZU","FNIH Biomarkers Consortium Plasma Abeta Project: Shimadzu","-4","Normalized intensity of Abeta 1-42 in arbitrary units","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:38:22.0"
"","AB1_40","PLASMA_ABETA_PROJECT_SHIMADZU","FNIH Biomarkers Consortium Plasma Abeta Project: Shimadzu","-4","Normalized intensity of Abeta 1-40 in arbitrary units","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:38:22.0"
"","APP_669_711","PLASMA_ABETA_PROJECT_SHIMADZU","FNIH Biomarkers Consortium Plasma Abeta Project: Shimadzu","-4","Normalized intensity APP 669-711 in arbitrary units","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:38:22.0"
"","COMPOSITE_BIOMARKER","PLASMA_ABETA_PROJECT_SHIMADZU","FNIH Biomarkers Consortium Plasma Abeta Project: Shimadzu","-4","Composite biomarker value in arbitrary units generated by combining normalized scores of APP669711/AB 142 and AB 140/AB 142 with a pre-determined weight of 1:1. Each biomarker contributed equally to the composite biomarker score.","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:38:22.0"
