"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","PLASMA_ABETA_PROJECT_U_OF_GOTHENBURG","FNIH Biomarkers Consortium Plasma Abeta Project: U of Gothenburg","-4","Participant roster ID","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:39:21.0"
"","VISCODE","PLASMA_ABETA_PROJECT_U_OF_GOTHENBURG","FNIH Biomarkers Consortium Plasma Abeta Project: U of Gothenburg","-4","Visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:39:21.0"
"","VISCODE2","PLASMA_ABETA_PROJECT_U_OF_GOTHENBURG","FNIH Biomarkers Consortium Plasma Abeta Project: U of Gothenburg","-4","Translated visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","Months from baseline rounded to nearest 6 months","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:39:21.0"
"","EXAMDATE","PLASMA_ABETA_PROJECT_U_OF_GOTHENBURG","FNIH Biomarkers Consortium Plasma Abeta Project: U of Gothenburg","-4","Examination Date","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:39:21.0"
"","GUSPECID","PLASMA_ABETA_PROJECT_U_OF_GOTHENBURG","FNIH Biomarkers Consortium Plasma Abeta Project: U of Gothenburg","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:39:21.0"
"","VID","PLASMA_ABETA_PROJECT_U_OF_GOTHENBURG","FNIH Biomarkers Consortium Plasma Abeta Project: U of Gothenburg","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:39:21.0"
"","DER","PLASMA_ABETA_PROJECT_U_OF_GOTHENBURG","FNIH Biomarkers Consortium Plasma Abeta Project: U of Gothenburg","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:39:21.0"
"","DRAWTIME","PLASMA_ABETA_PROJECT_U_OF_GOTHENBURG","FNIH Biomarkers Consortium Plasma Abeta Project: U of Gothenburg","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:39:21.0"
"","NUMBER","PLASMA_ABETA_PROJECT_U_OF_GOTHENBURG","FNIH Biomarkers Consortium Plasma Abeta Project: U of Gothenburg","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:39:21.0"
"","PLATE","PLASMA_ABETA_PROJECT_U_OF_GOTHENBURG","FNIH Biomarkers Consortium Plasma Abeta Project: U of Gothenburg","-4","Indicates the grouping of sample analysis on an assay plate","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:39:21.0"
"","AB_1_37","PLASMA_ABETA_PROJECT_U_OF_GOTHENBURG","FNIH Biomarkers Consortium Plasma Abeta Project: U of Gothenburg","-4","Calibrated concentrations of Abeta 1-37 determined using standard curve/calibrators and reported in pg/mL","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:39:21.0"
"","AB_1_38","PLASMA_ABETA_PROJECT_U_OF_GOTHENBURG","FNIH Biomarkers Consortium Plasma Abeta Project: U of Gothenburg","-4","Calibrated concentrations of Abeta 1-38 determined using standard curve/calibrators and reported in pg/mL","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:39:21.0"
"","AB_1_40","PLASMA_ABETA_PROJECT_U_OF_GOTHENBURG","FNIH Biomarkers Consortium Plasma Abeta Project: U of Gothenburg","-4","Calibrated concentrations of Abeta 1-40 determined using standard curve/calibrators and reported in pg/mL","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:39:21.0"
"","AB_1_42","PLASMA_ABETA_PROJECT_U_OF_GOTHENBURG","FNIH Biomarkers Consortium Plasma Abeta Project: U of Gothenburg","-4","Calibrated concentrations of Abeta 1-42 determined using standard curve/calibrators and reported in pg/mL","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:39:21.0"
"","COMMENT","PLASMA_ABETA_PROJECT_U_OF_GOTHENBURG","FNIH Biomarkers Consortium Plasma Abeta Project: U of Gothenburg","-4","Notes on QC review and pass/fail decision based on acceptance criteria","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-05-25 13:39:21.0"
