"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","PLASMA_ABETA_PROJECT_WASH_U","FNIH Biomarkers Consortium Plasma Abeta Project: Wash U","-4","Participant roster ID","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-11-08 11:04:23.0"
"","VISCODE","PLASMA_ABETA_PROJECT_WASH_U","FNIH Biomarkers Consortium Plasma Abeta Project: Wash U","-4","Visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-11-08 11:04:23.0"
"","VISCODE2","PLASMA_ABETA_PROJECT_WASH_U","FNIH Biomarkers Consortium Plasma Abeta Project: Wash U","-4","Translated visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","Months from baseline rounded to nearest 6 months","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-11-08 11:04:23.0"
"","EXAMDATE","PLASMA_ABETA_PROJECT_WASH_U","FNIH Biomarkers Consortium Plasma Abeta Project: Wash U","-4","Examination Date","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-11-08 11:04:23.0"
"","GUSPECID","PLASMA_ABETA_PROJECT_WASH_U","FNIH Biomarkers Consortium Plasma Abeta Project: Wash U","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-11-08 11:04:23.0"
"","VID","PLASMA_ABETA_PROJECT_WASH_U","FNIH Biomarkers Consortium Plasma Abeta Project: Wash U","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-11-08 11:04:23.0"
"","DER","PLASMA_ABETA_PROJECT_WASH_U","FNIH Biomarkers Consortium Plasma Abeta Project: Wash U","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-11-08 11:04:23.0"
"","DRAWTIME","PLASMA_ABETA_PROJECT_WASH_U","FNIH Biomarkers Consortium Plasma Abeta Project: Wash U","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-11-08 11:04:23.0"
"","FILE_NAME_NE","PLASMA_ABETA_PROJECT_WASH_U","FNIH Biomarkers Consortium Plasma Abeta Project: Wash U","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-11-08 11:04:23.0"
"","LC_MS_SAMPLE_ID","PLASMA_ABETA_PROJECT_WASH_U","FNIH Biomarkers Consortium Plasma Abeta Project: Wash U","-4","Internal ID of LS_MS sample to control for technical replicates. It serves as internal blinding ID and for QC purpocess","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-11-08 11:04:23.0"
