"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","COLPROT","RESIDUAL_ALIQUOT_LIST","Residual aliquot count in the LDMS database","-4","Study protocol of data collection","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-05-10 14:41:20.0"
"","RID","RESIDUAL_ALIQUOT_LIST","Residual aliquot count in the LDMS database","-4","Participant roster ID","-4","-4","-4","-4","-4","-4","-4","-4","","-4","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-05-10 14:41:20.0"
"","VISCODE","RESIDUAL_ALIQUOT_LIST","Residual aliquot count in the LDMS database","-4","Visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-05-10 14:41:20.0"
"","VISCODE2","RESIDUAL_ALIQUOT_LIST","Residual aliquot count in the LDMS database","-4","Translated visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","Months from baseline rounded to nearest 6 months","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-05-10 14:41:20.0"
"","EXAMDATE","RESIDUAL_ALIQUOT_LIST","Residual aliquot count in the LDMS database","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-05-10 14:41:20.0"
"","SITE","RESIDUAL_ALIQUOT_LIST","Residual aliquot count in the LDMS database","-4","Hospital/Site ID","-4","-4","-4","-4","-4","-4","-4","-4","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-05-10 14:41:20.0"
"","VID","RESIDUAL_ALIQUOT_LIST","Residual aliquot count in the LDMS database","-4","Visit ID from sample tube","-4","-4","-4","-4","-4","-4","-4","-4","","-4","This is not visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-05-10 14:41:20.0"
"","VOL","RESIDUAL_ALIQUOT_LIST","Residual aliquot count in the LDMS database","-4","Volume of residual CSF left after analysis","-4","-4","-4","-4","-4","-4","-4","-4","mL","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-05-10 14:41:20.0"
"","GUSPECID","RESIDUAL_ALIQUOT_LIST","Residual aliquot count in the LDMS database","-4","Global Specimen ID identifying individual aliquots","-4","-4","-4","-4","-4","-4","-4","-4","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-05-10 14:41:20.0"
"","RECDTE","RESIDUAL_ALIQUOT_LIST","Residual aliquot count in the LDMS database","-4","Date of sample receipt at UPenn","-4","-4","-4","-4","-4","-4","-4","-4","YYYYMMDD","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-05-10 14:41:20.0"
"","STORDTE","RESIDUAL_ALIQUOT_LIST","Residual aliquot count in the LDMS database","-4","Date of aliquoting and storing","-4","-4","-4","-4","-4","-4","-4","-4","YYYYMMDD","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-05-10 14:41:20.0"
