"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"-4","RID","SPAP_AVID_FLORBETAPIR","sPAP Avid ADNI Florbetapir summaries","-4","Participant roster ID","-4","-4","T","10","","-4","-4","-4","","-4","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2013-05-03 09:22:34.0"
"-4","VISCODE","SPAP_AVID_FLORBETAPIR","sPAP Avid ADNI Florbetapir summaries","-4","Visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2013-05-03 09:22:34.0"
"-4","VISCODE2","SPAP_AVID_FLORBETAPIR","sPAP Avid ADNI Florbetapir summaries","-4","Translated visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","Months from baseline rounded to nearest 6 months","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2013-05-03 09:22:34.0"
"-4","EXAMDATE","SPAP_AVID_FLORBETAPIR","sPAP Avid ADNI Florbetapir summaries","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2013-05-03 09:22:34.0"
"-4","DIAGRP2","SPAP_AVID_FLORBETAPIR","sPAP Avid ADNI Florbetapir summaries","-4","clinical diagnosis close to the AV45 scan available during the data download in August 2012","-4","-4","T","3","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2013-05-03 09:22:34.0"
"-4","SPAP_GLOBAL_SUVR","SPAP_AVID_FLORBETAPIR","sPAP Avid ADNI Florbetapir summaries","-4","Average six region SUVr normalized by entire cerebellum for flroetbapir (AV-45) images calcualted using sPAP software. Refer to sPAP_Avid_Florbetapir_Analysis_Methods PDF on LONI for details","-4","-4","N","","2","-4","-4","-4","Florbetapir (AV45) ratio (cortical grey matter/whole cerebellum), using sPAP software","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2013-05-03 09:22:34.0"
"-4","SPAP_FRONTAL_SUVR","SPAP_AVID_FLORBETAPIR","sPAP Avid ADNI Florbetapir summaries","-4","medial orbital frontal normalized to entire cerebellum in sPAP. Refer to sPAP_Avid_Florbetapir_Analysis_Methods PDF on LONI for details","-4","-4","N","","2","-4","-4","-4","av45 uptake in cortical grey matter","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2013-05-03 09:22:34.0"
"-4","SPAP_TEMPORAL_SUVR","SPAP_AVID_FLORBETAPIR","sPAP Avid ADNI Florbetapir summaries","-4","lateral temporal normalized to entire cerebellum in sPAP. Refer to sPAP_Avid_Florbetapir_Analysis_Methods PDF on LONI for details","-4","-4","N","","2","-4","-4","-4","av45 uptake in cortical grey matter","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2013-05-03 09:22:34.0"
"-4","SPAP_ANTERIOR_CINGULATE_SUVR","SPAP_AVID_FLORBETAPIR","sPAP Avid ADNI Florbetapir summaries","-4","anterior cingulate normalized to entire cerebellum in sPAP. Refer to sPAP_Avid_Florbetapir_Analysis_Methods PDF on LONI for details","-4","-4","N","","2","-4","-4","-4","av45 uptake in cortical grey matter","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2013-05-03 09:22:34.0"
"-4","SPAP_POSTERIOR_CINGULATE_SUVR","SPAP_AVID_FLORBETAPIR","sPAP Avid ADNI Florbetapir summaries","-4","posterior cingulate normalized to entire cerebellum is sPAP. Refer to sPAP_Avid_Florbetapir_Analysis_Methods PDF on LONI for details","-4","-4","N","","2","-4","-4","-4","av45 uptake in cortical grey matter","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2013-05-03 09:22:34.0"
