"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","TS_RATIO_ADJ","ADNI Telomere length / Single copy gene (T/S) ratio of DNA from blood, adjusted for confounders","-4","Participant roster ID","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","The 4 digit roster ID (RID) should be used to merge data","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-11-20 11:05:08.0"
"","PHASE","TS_RATIO_ADJ","ADNI Telomere length / Single copy gene (T/S) ratio of DNA from blood, adjusted for confounders","-4","Study phase","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-11-20 11:05:08.0"
"","PLATE","TS_RATIO_ADJ","ADNI Telomere length / Single copy gene (T/S) ratio of DNA from blood, adjusted for confounders","-4","Plate number","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-11-20 11:05:08.0"
"","WELL","TS_RATIO_ADJ","ADNI Telomere length / Single copy gene (T/S) ratio of DNA from blood, adjusted for confounders","-4","Plate well location","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-11-20 11:05:08.0"
"","VISCODE","TS_RATIO_ADJ","ADNI Telomere length / Single copy gene (T/S) ratio of DNA from blood, adjusted for confounders","-4","Translated visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-11-20 11:05:08.0"
"","VISCODE2","TS_RATIO_ADJ","ADNI Telomere length / Single copy gene (T/S) ratio of DNA from blood, adjusted for confounders","-4","Visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","Months from baseline rounded to nearest 6 months","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-11-20 11:05:08.0"
"","EXAM_DATE","TS_RATIO_ADJ","ADNI Telomere length / Single copy gene (T/S) ratio of DNA from blood, adjusted for confounders","-4","Date of ADNI visit closest to DATEDRAWN","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","mm/dd/yyyy","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-11-20 11:05:08.0"
"","DATE_DRAWN","TS_RATIO_ADJ","ADNI Telomere length / Single copy gene (T/S) ratio of DNA from blood, adjusted for confounders","-4","Date of sample acquisition from subject","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","mm/dd/yyyy","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-11-20 11:05:08.0"
"","DATE_RECEIVED","TS_RATIO_ADJ","ADNI Telomere length / Single copy gene (T/S) ratio of DNA from blood, adjusted for confounders","-4","NCRAD date of sample receipt from site","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-11-20 11:05:08.0"
"","DNA_STORAGE","TS_RATIO_ADJ","ADNI Telomere length / Single copy gene (T/S) ratio of DNA from blood, adjusted for confounders","-4","Number of months DNA stored between NCRAD receipt and telomere assay","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-11-20 11:05:08.0"
