"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 PVC analysis","-4","Participant roster ID","-4","-4","T","10","","-4","-4","-4","","-4","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-01-21 12:13:07.0"
"","VISCODE","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 PVC analysis","-4","Visit code","-4","-4","T","3","","-4","-4","-4","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-01-21 12:13:07.0"
"","VISCODE2","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 PVC analysis","-4","Translated visit code","-4","-4","T","3","","-4","-4","-4","","-4","Months from baseline rounded to nearest 6 months","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-01-21 12:13:07.0"
"","EXAMDATE","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 PVC analysis","-4","Examination Date","-4","-4","D","7","","-4","-4","-4","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-01-21 12:13:07.0"
"","INFERIOR_CEREBGM_SUVR","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 PVC analysis","-4","Reference region - av1451 mean of inferior cerebellar grey matter","-4","-4","N","","4","-4","-4","-4","av1451 uptake - reference region","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-01-21 12:13:07.0"
"","INFERIOR_CEREBGM_VOLUME","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 PVC analysis","-4","Inferior Cerebellar Grey Matter ROI size in mm^3","-4","-4","N","","0","-4","-4","-4","mm^3","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-01-21 12:13:07.0"
"","HEMIWM_SUVR","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 PVC analysis","-4","Reference region - av1451 mean of hemispheric white matter","-4","-4","N","","4","-4","-4","-4","av1451 uptake - reference region","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-01-21 12:13:07.0"
"","HEMIWM_VOLUME","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 PVC analysis","-4","Hemispheric white matter ROI size in mm^3","-4","-4","N","","0","-4","-4","-4","mm^3","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-01-21 12:13:07.0"
"","BRAAK1_SUVR","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 PVC analysis","-4","Weighted av1451 mean of Braak region 1","-4","-4","N","","4","-4","-4","-4","av1451 uptake - composite","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-01-21 12:13:07.0"
"","BRAAK1_VOLUME","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 PVC analysis","-4","Braak region 1 size in mm^3","-4","-4","N","","0","-4","-4","-4","mm^3","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-01-21 12:13:07.0"
"","BRAAK34_SUVR","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 PVC analysis","-4","Weighted av1451 mean of Braak region 3 and 4 ","-4","-4","N","","4","-4","-4","-4","av1451 uptake - composite","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-01-21 12:13:07.0"
"","BRAAK34_VOLUME","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 PVC analysis","-4","Braak region 3+4 size in mm^3","-4","-4","N","","0","-4","-4","-4","mm^3","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-01-21 12:13:07.0"
"","META_TEMPORAL_SUVR","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 PVC analysis","-4","Weighted av1451 mean of meta-temporal region","-4","-4","N","","4","-4","-4","-4","av1451 uptake - subregion","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-01-21 12:13:07.0"
"","META_TEMPORAL_VOLUME","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 PVC analysis","-4","Meta-temporal size in mm^3","-4","-4","N","","0","-4","-4","-4","mm^3","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-01-21 12:13:07.0"
"","BRAAK56_SUVR","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 PVC analysis","-4","Weighted av1451 mean of Braak region 5 and 6","-4","-4","N","","4","-4","-4","-4","av1451 uptake - composite","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-01-21 12:13:07.0"
"","BRAAK56_VOLUME","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 PVC analysis","-4","Braak region 5+6 size in mm^3","-4","-4","N","","0","-4","-4","-4","mm^3","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-01-21 12:13:07.0"
"","BRAAK2_SUVR","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 PVC analysis","-4","Weighted av1451 mean of Braak region 2","-4","-4","N","","4","-4","-4","-4","av1451 uptake - subregion","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-01-21 12:13:07.0"
"","BRAAK2_VOLUME","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 PVC analysis","-4","Braak region 2 size in mm^3","-4","-4","N","","0","-4","-4","-4","mm^3","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-01-21 12:13:07.0"
"","AMYGDALA_SUVR","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 PVC analysis","-4","Weighted av1451 mean of L/R amygdala","-4","-4","N","","4","-4","-4","-4","av1451 uptake - subregion","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-01-21 12:13:07.0"
"","AMYGDALA_VOLUME","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 PVC analysis","-4","Amygdala size in mm^3","-4","-4","N","","0","-4","-4","-4","mm^3","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-01-21 12:13:07.0"
"","BRAIN_STEM_SUVR","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 PVC analysis","-4","Brain stem ROI","-4","-4","N","","4","-4","-4","-4","av1451 uptake - subregion","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-01-21 12:13:07.0"
"","BRAIN_STEM_VOLUME","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 PVC analysis","-4","Brain stem ROI size in mm^3","-4","-4","N","","0","-4","-4","-4","mm^3","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-01-21 12:13:07.0"
"","LEFT_MIDDLEFR_SUVR","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 PVC analysis","-4","Left middle frontal ROI","-4","-4","N","","4","-4","-4","-4","av1451 uptake - subregion","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-01-21 12:13:07.0"
"","LEFT_MIDDLEFR_VOLUME","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 PVC analysis","-4","Left middle frontal ROI size in mm^3","-4","-4","N","","0","-4","-4","-4","mm^3","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-01-21 12:13:07.0"
"","LEFT_ORBITOFR_SUVR","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 PVC analysis","-4","Left orbitofrontal ROI","-4","-4","N","","4","-4","-4","-4","av1451 uptake - subregion","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-01-21 12:13:07.0"
"","LEFT_ORBITOFR_VOLUME","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 PVC analysis","-4","Left orbitofrontal ROI size in mm^3","-4","-4","N","","0","-4","-4","-4","mm^3","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-01-21 12:13:07.0"
"","LEFT_PARSFR_SUVR","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 PVC analysis","-4","Left pars frontal ROI","-4","-4","N","","4","-4","-4","-4","av1451 uptake - subregion","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-01-21 12:13:07.0"
