"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","UCSDVOL","Anders Dale Lab (UCSD) - Derived Volumes","","","","","N","38 digits","0","","","","","","","","","","","","","","","","","","","","","","2011-04-20 19:25:06.0"
"","SITEID","UCSDVOL","Anders Dale Lab (UCSD) - Derived Volumes","","","","","N","38 digits","0","","","","","","","","","","","","","","","","","","","","","","2011-04-20 19:25:06.0"
"","VISCODE","UCSDVOL","Anders Dale Lab (UCSD) - Derived Volumes","","","","","T","10 characters","0","","","","","","","","","","","","","","","","","","","","","","2011-04-20 19:25:06.0"
"","USERID","UCSDVOL","Anders Dale Lab (UCSD) - Derived Volumes","","","","","T","30 characters","0","","","","","","","","","","","","","","","","","","","","","","2011-04-20 19:25:06.0"
"","USERDATE","UCSDVOL","Anders Dale Lab (UCSD) - Derived Volumes","","","","","S","10 digits","0","","","","","","","","","","","","","","","","","","","","","","2011-04-20 19:25:06.0"
"","EXAMDATE","UCSDVOL","Anders Dale Lab (UCSD) - Derived Volumes","","Examination Date","","","D","10","0","","","","","","","","","","","D","0","","","","","","","","","","2011-04-20 19:25:06.0"
"","LONISID","UCSDVOL","Anders Dale Lab (UCSD) - Derived Volumes","","LONISID","","","T","20","0","","","","","","","","","","","","0","","","","","","","","","","2011-04-20 19:25:06.0"
"","CDATE","UCSDVOL","Anders Dale Lab (UCSD) - Derived Volumes","","Creation Date","","","D","10","0","","","","","","","","","","","","0","","","","","","","","","","2011-04-20 19:25:06.0"
"","QCPASS","UCSDVOL","Anders Dale Lab (UCSD) - Derived Volumes","","","","","N","1","1","","","","","","","","","","","","1","","","","","","","","","","2011-04-20 19:25:06.0"
"","BRAIN","UCSDVOL","Anders Dale Lab (UCSD) - Derived Volumes","","Whole Brain. A summary measure of total brain parenchyma, including the Cerebral-Cortex, Cerebellum-Cortex, Thalamus-Proper, CaudatePutamen, Pallidum, Hippocampus, Amygdala, Accumbens-area, VentralDC, Cerebral-White-Matter, Cerebellum-White-Matter, and WM-hypointensities. As such, it does not include ventricles or other CSF spaces, and is not intended to be used as a measure of intracranial volume.","","","N","9","0","","","","mm3","","","","","","","","0","","","","","","","","","","2011-04-20 19:25:06.0"
"","EICV","UCSDVOL","Anders Dale Lab (UCSD) - Derived Volumes","","Estimated Intracranial Volume, aka eTIV. To generate the mask, the baseline image is automatically segmented; all thus-defined brain and ventricular voxels are given the value 1 with all other voxels 0. This binary mask is then repeatedly smoothed with a Gaussian kernel to produce a simply connected uniform mask, covering all sulci, whose boundary tapers smoothly from 1 to 0 over the length of a few voxels. Ideally, the mask would end on the skull and include the brain stem down to where it starts to bend with the neck. The smoothing can be controlled fairly nicely to begin tapering at the skull, so that voxels with a mask value less than 1 can  be considered outside the ICV and therefore ignored.","","","N","9","0","","","","mm3","","","","","","","","0","","","","","","","","","","2011-04-20 19:25:06.0"
"","VENTRICLES","UCSDVOL","Anders Dale Lab (UCSD) - Derived Volumes","","Ventricles","","","N","9","0","","","","mm3","","","","","","","","0","","","","","","","","","","2011-04-20 19:25:06.0"
"","LHIPPOC","UCSDVOL","Anders Dale Lab (UCSD) - Derived Volumes","","Left Hippocampus","","","N","6","0","","","","mm3","","","","","","","","0","","","","","","","","","","2011-04-20 19:25:06.0"
"","RHIPPOC","UCSDVOL","Anders Dale Lab (UCSD) - Derived Volumes","","Right Hippocampus","","","N","6","0","","","","mm3","","","","","","","","0","","","","","","","","","","2011-04-20 19:25:06.0"
"","LINFLATVEN","UCSDVOL","Anders Dale Lab (UCSD) - Derived Volumes","","Left inferior lateral ventricle","","","N","6","0","","","","mm3","","","","","","","","0","","","","","","","","","","2011-04-20 19:25:06.0"
"","RINFLATVEN","UCSDVOL","Anders Dale Lab (UCSD) - Derived Volumes","","Right inferior lateral ventricle","","","N","6","0","","","","mm3","","","","","","","","0","","","","","","","","","","2011-04-20 19:25:06.0"
"","LMIDTEMP","UCSDVOL","Anders Dale Lab (UCSD) - Derived Volumes","","Left Middle Temporal","","","N","5","2","","","","mm","","","","","","","","0","","","","","","","","","","2011-04-20 19:25:06.0"
"","RMIDTEMP","UCSDVOL","Anders Dale Lab (UCSD) - Derived Volumes","","Right Middle Temporal","","","N","5","2","","","","mm","","","","","","","","0","","","","","","","","","","2011-04-20 19:25:06.0"
"","LINFTEMP","UCSDVOL","Anders Dale Lab (UCSD) - Derived Volumes","","Left Inferior Temporal","","","N","5","2","","","","mm","","","","","","","","0","","","","","","","","","","2011-04-20 19:25:06.0"
"","RINFTEMP","UCSDVOL","Anders Dale Lab (UCSD) - Derived Volumes","","Right Inferior Temporal","","","N","5","2","","","","mm","","","","","","","","0","","","","","","","","","","2011-04-20 19:25:06.0"
"","LFUSIFORM","UCSDVOL","Anders Dale Lab (UCSD) - Derived Volumes","","Left Fusiform","","","N","5","2","","","","mm","","","","","","","","0","","","","","","","","","","2011-04-20 19:25:06.0"
"","RFUSIFORM","UCSDVOL","Anders Dale Lab (UCSD) - Derived Volumes","","Right Fusiform","","","N","5","2","","","","mm","","","","","","","","0","","","","","","","","","","2011-04-20 19:25:06.0"
"","LENTORHIN","UCSDVOL","Anders Dale Lab (UCSD) - Derived Volumes","","Left Entorhinal","","","N","5","2","","","","mm","","","","","","","","0","","","","","","","","","","2011-04-20 19:25:06.0"
"","RENTORHIN","UCSDVOL","Anders Dale Lab (UCSD) - Derived Volumes","","Right Entorhinal","","","N","5","2","","","","mm","","","","","","","","0","","","","","","","","","","2011-04-20 19:25:06.0"
