"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"-4","COLPROT","UCSFASLFSCBF","ASL Perfusion CBF by FreeSurfer ROI","-4","Study protocol of data collection","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-03-18 14:29:23.0"
"-4","RID","UCSFASLFSCBF","ASL Perfusion CBF by FreeSurfer ROI","-4","Participant roster ID","-4","-4","N","10","0","","-4","-4","","","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2021-03-18 14:29:23.0"
"-4","VISCODE","UCSFASLFSCBF","ASL Perfusion CBF by FreeSurfer ROI","-4","Visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-03-18 14:29:23.0"
"-4","VISCODE2","UCSFASLFSCBF","ASL Perfusion CBF by FreeSurfer ROI","-4","Translated visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","Months from baseline rounded to nearest 6 months","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-03-18 14:29:23.0"
"-4","EXAMDATE","UCSFASLFSCBF","ASL Perfusion CBF by FreeSurfer ROI","-4","Examination Date","-4","-4","N","","","","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2021-03-18 14:29:23.0"
"-4","VERSION","UCSFASLFSCBF","ASL Perfusion CBF by FreeSurfer ROI","-4","","-4","-4","N","","","","-4","-4","","","-4","-4","-4","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2021-03-18 14:29:23.0"
"-4","LONIUID","UCSFASLFSCBF","ASL Perfusion CBF by FreeSurfer ROI","-4","","-4","-4","N","10","0","","-4","-4","","","-4","-4","-4","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2021-03-18 14:29:23.0"
"-4","IMAGEUID","UCSFASLFSCBF","ASL Perfusion CBF by FreeSurfer ROI","-4","","-4","-4","N","10","0","","-4","-4","","","-4","-4","-4","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2021-03-18 14:29:23.0"
"-4","RUNDATE","UCSFASLFSCBF","ASL Perfusion CBF by FreeSurfer ROI","-4","","-4","-4","N","","","","-4","-4","","","-4","-4","-4","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2021-03-18 14:29:23.0"
"-4","ASLFLAVOR","UCSFASLFSCBF","ASL Perfusion CBF by FreeSurfer ROI","-4","The dimensionality and pulse sequence of the ASL acquisition","-4","-4","T","","","","-4","-4","","","-4","-4","-4","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2021-03-18 14:29:23.0"
