"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"-4","RID","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","-4","Participant roster ID","-4","-4","N","","","","-4","-4","","","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-08-05 13:46:56.0"
"-4","EXAMDATE","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","-4","","-4","-4","D","","","","-4","-4","","","-4","-4","-4","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-08-05 13:46:56.0"
"-4","COLPROT","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","-4","Study protocol of data collection","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2013-08-05 13:46:56.0"
"-4","VISCODE","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","-4","Visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2013-08-05 13:46:56.0"
"-4","VISCODE2","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","-4","Translated visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","Months from baseline rounded to nearest 6 months","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2013-08-05 13:46:56.0"
"-4","LONIUID","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","-4","","-4","-4","N","","","","-4","-4","","","-4","-4","-4","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-08-05 13:46:56.0"
"-4","IMAGEUID","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","-4","","-4","-4","N","","","","-4","-4","","","-4","-4","-4","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-08-05 13:46:56.0"
"-4","RUNDATE","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","-4","","-4","-4","D","","","","-4","-4","","","-4","-4","-4","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-08-05 13:46:56.0"
"-4","VERSION","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","-4","","-4","-4","D","","","","-4","-4","","","-4","-4","-4","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-08-05 13:46:56.0"
"-4","RAWQC","UCSFASLFS","ASL Perfusion CBF by FreeSurfer ROI","-4","A QC rating of the raw Perfusion Weighted Image","-4","-4","T","","","Pass/Fail","-4","-4","","","-4","-4","-4","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-08-05 13:46:56.0"
