"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","USERID","UCSFATRPHY","UCSF (Colin Studholme) Regional Atrophy Rates","","","","","T","30 characters","0","","","","","","","21146532","2","","","","","","","","","","","","","","2011-04-20 18:47:44.0"
"","USERDATE","UCSFATRPHY","UCSF (Colin Studholme) Regional Atrophy Rates","","","","","S","10 digits","0","","","","","","","21146532","3","","","","","","","","","","","","","","2011-04-20 18:47:44.0"
"","RECNO","UCSFATRPHY","UCSF (Colin Studholme) Regional Atrophy Rates","","","","","N","38","0","","","","","","","21146532","6","","","","","","","","","","","","","","2011-04-20 18:47:44.0"
"","RID","UCSFATRPHY","UCSF (Colin Studholme) Regional Atrophy Rates","","","","","N","38 digits","0","","","","","","","21146532","7","","","","","","","","","","","","","","2011-04-20 18:47:44.0"
"","SITEID","UCSFATRPHY","UCSF (Colin Studholme) Regional Atrophy Rates","","","","","N","38 digits","0","","","","","","","21146532","8","","","","","","","","","","","","","","2011-04-20 18:47:44.0"
"","VISCODE1","UCSFATRPHY","UCSF (Colin Studholme) Regional Atrophy Rates","","","","","T","10 characters","0","","","","","","","21146532","9","","","","","","","","","","","","","","2011-04-20 18:47:44.0"
"","EXAMDATE1","UCSFATRPHY","UCSF (Colin Studholme) Regional Atrophy Rates","","","","","D","10","0","","","","","","","21146532","11","","","","","","","","","","","","","","2011-04-20 18:47:44.0"
"","IMAGEUID1","UCSFATRPHY","UCSF (Colin Studholme) Regional Atrophy Rates","","","","","D","10","0","","","","","","","21146532","11","","","","","","","","","","","","","","2011-04-20 18:47:44.0"
"","VISCODE2","UCSFATRPHY","UCSF (Colin Studholme) Regional Atrophy Rates","","","","","T","10 characters","0","","","","","","","21146532","10","","","","","","","","","","","","","","2011-04-20 18:47:44.0"
"","EXAMDATE2","UCSFATRPHY","UCSF (Colin Studholme) Regional Atrophy Rates","","","","","D","10","0","","","","","","","21146532","12","","","","","","","","","","","","","","2011-04-20 18:47:44.0"
"","IMAGEUID2","UCSFATRPHY","UCSF (Colin Studholme) Regional Atrophy Rates","","","","","D","10","0","","","","","","","21146532","11","","","","","","","","","","","","","","2011-04-20 18:47:44.0"
"","FLDSTRENG","UCSFATRPHY","UCSF (Colin Studholme) Regional Atrophy Rates","","Field Strength","","","D","10","0","","","","","","","21146532","12","","","","","","","","","","","","","","2011-04-20 18:47:44.0"
"","PCTCHANGE","UCSFATRPHY","UCSF (Colin Studholme) Regional Atrophy Rates","","Summaries of regional atrophy rates between first and last scan (i.e. 12 month interval). There is one percent change for each subject summarizing changes in both temporal lobes together (minus superior temporal gyrus).","","","N","11","6","","","","","","","21146532","13","","","","0","","","","","","","","","","2011-04-20 18:47:44.0"
