"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","UCSFSNTVOL","UCSF SNT Hippocampal Volumes","","","","","N","38 digits","0","","","","","","","21146390","2","","","","","","","","","","","","","","2011-04-20 19:21:51.0"
"","SITEID","UCSFSNTVOL","UCSF SNT Hippocampal Volumes","","","","","N","38 digits","0","","","","","","","21146390","3","","","","","","","","","","","","","","2011-04-20 19:21:51.0"
"","VISCODE","UCSFSNTVOL","UCSF SNT Hippocampal Volumes","","","","","T","10 characters","0","","","","","","","21146390","4","","","","","","","","","","","","","","2011-04-20 19:21:51.0"
"","USERID","UCSFSNTVOL","UCSF SNT Hippocampal Volumes","","","","","T","30 characters","0","","","","","","","21146390","7","","","","","","","","","","","","","","2011-04-20 19:21:51.0"
"","USERDATE","UCSFSNTVOL","UCSF SNT Hippocampal Volumes","","","","","S","10 digits","0","","","","","","","21146390","8","","","","","","","","","","","","","","2011-04-20 19:21:51.0"
"","RECNO","UCSFSNTVOL","UCSF SNT Hippocampal Volumes","","","","","N","38","0","","","","","","","21146390","9","","","","","","","","","","","","","","2011-04-20 19:21:51.0"
"","EXAMDATE","UCSFSNTVOL","UCSF SNT Hippocampal Volumes","","Examination Date","","","D","10","0","","","","","","","21146390","10","","","","0","","","","","","","","","","2011-04-20 19:21:51.0"
"","LONISID","UCSFSNTVOL","UCSF SNT Hippocampal Volumes","","LONI Study ID","","","T","20","0","","","","","","","21146390","11","","","","0","","","","","","","","","","2011-04-20 19:21:51.0"
"","LONIUID","UCSFSNTVOL","UCSF SNT Hippocampal Volumes","","LONI Unique Series ID","","","T","20","0","","","","","","","21146390","11","","","","0","","","","","","","","","","2011-04-20 19:21:51.0"
"","IMAGEUID","UCSFSNTVOL","UCSF SNT Hippocampal Volumes","","imageUID","","","T","20","0","","","","","","","21146390","11","","","","0","","","","","","","","","","2011-04-20 19:21:51.0"
"","FLDSTRENG","UCSFSNTVOL","UCSF SNT Hippocampal Volumes","","Field Strength","","","T","20","0","","","","","","","21146390","11","","","","0","","","","","","","","","","2011-04-20 19:21:51.0"
"","SNTDATE","UCSFSNTVOL","UCSF SNT Hippocampal Volumes","","Date Volume Generated","","","D","10","0","","","","","","","21146390","12","","","D","0","","","","","","","","","","2011-04-20 19:21:51.0"
"","ATLAS","UCSFSNTVOL","UCSF SNT Hippocampal Volumes","","Name of Atlas Used","","","T","20","0","","","","","","","21146390","13","","","","0","","","","","","","","","","2011-04-20 19:21:51.0"
"","LEFTHIPPO","UCSFSNTVOL","UCSF SNT Hippocampal Volumes","","Left Hippocampus Volume","","","N","10","6","in(0,10000)","","if($vals{$x}>=0&$vals{$x}<=10000){return 1;}else{return ""Invalid response."";}","mm3","","","21146390","14","","","","0","","","","","","","","","","2011-04-20 19:21:51.0"
"","RIGHTHIPPO","UCSFSNTVOL","UCSF SNT Hippocampal Volumes","","Right Hippocampus Volume","","","N","10","6","in(0,10000)","","if($vals{$x}>=0&$vals{$x}<=10000){return 1;}else{return ""Invalid response."";}","mm3","","","21146390","15","","","","0","","","","","","","","","","2011-04-20 19:21:51.0"
