"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","UPENNBIOMK_ADNIDIAN_ES_2017","UPENN - ADNI/DIAN study CSF Elecsys results","-4","Participant roster ID","-4","-4","-4","-4","-4","-4","-4","-4","","-4","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-04-10 10:01:46.0"
"","VISCODE","UPENNBIOMK_ADNIDIAN_ES_2017","UPENN - ADNI/DIAN study CSF Elecsys results","-4","Visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-04-10 10:01:46.0"
"","VISCODE2","UPENNBIOMK_ADNIDIAN_ES_2017","UPENN - ADNI/DIAN study CSF Elecsys results","-4","Translated visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","Months from baseline rounded to nearest 6 months","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-04-10 10:01:46.0"
"","EXAMDATE","UPENNBIOMK_ADNIDIAN_ES_2017","UPENN - ADNI/DIAN study CSF Elecsys results","-4","Examination Date","-4","-4","-4","-4","-4","-4","-4","-4","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-04-10 10:01:46.0"
"","STUDY","UPENNBIOMK_ADNIDIAN_ES_2017","UPENN - ADNI/DIAN study CSF Elecsys results","-4","Identifies ADNI and DIAN samples","-4","-4","-4","-4","-4","-4","-4","-4","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-04-10 10:01:46.0"
"","RUNDATE","UPENNBIOMK_ADNIDIAN_ES_2017","UPENN - ADNI/DIAN study CSF Elecsys results","-4","Run date","-4","-4","-4","-4","-4","-4","-4","-4","","-4","Sample processing date","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-04-10 10:01:46.0"
"","ABETA","UPENNBIOMK_ADNIDIAN_ES_2017","UPENN - ADNI/DIAN study CSF Elecsys results","-4","Abeta 1-42","-4","-4","-4","-4","-4","-4","-4","-4","pg/mL","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-04-10 10:01:46.0"
"","AB40","UPENNBIOMK_ADNIDIAN_ES_2017","UPENN - ADNI/DIAN study CSF Elecsys results","-4","Abeta 1-40","-4","-4","-4","-4","-4","-4","-4","-4","pg/mL","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-04-10 10:01:46.0"
"","TAU","UPENNBIOMK_ADNIDIAN_ES_2017","UPENN - ADNI/DIAN study CSF Elecsys results","-4","TAU","-4","-4","-4","-4","-4","-4","-4","-4","pg/mL","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-04-10 10:01:46.0"
"","PTAU","UPENNBIOMK_ADNIDIAN_ES_2017","UPENN - ADNI/DIAN study CSF Elecsys results","-4","PTAU","-4","-4","-4","-4","-4","-4","-4","-4","pg/mL","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-04-10 10:01:46.0"
"","A4240","UPENNBIOMK_ADNIDIAN_ES_2017","UPENN - ADNI/DIAN study CSF Elecsys results","-4","Ratio of Abeta1-42 to Abeta1-40","-4","-4","-4","-4","-4","-4","-4","-4","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-04-10 10:01:46.0"
"","NOTE","UPENNBIOMK_ADNIDIAN_ES_2017","UPENN - ADNI/DIAN study CSF Elecsys results","-4","Reason for missing result","-4","-4","-4","-4","-4","-4","-4","-4","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-04-10 10:01:46.0"
