"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","UPENNMSMSABETA2CRM","-4","-4","Participant roster ID","-4","-4","-4","-4","-4","-4","-4","-4","","-4","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-02-06 10:32:32.0"
"","VISCODE","UPENNMSMSABETA2CRM","-4","-4","Visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-02-06 10:32:32.0"
"","VISCODE2","UPENNMSMSABETA2CRM","-4","-4","Translated visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","Months from baseline rounded to nearest 6 months","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-02-06 10:32:32.0"
"","EXAMDATE","UPENNMSMSABETA2CRM","-4","-4","Examination Date","-4","-4","-4","-4","-4","-4","-4","-4","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-02-06 10:32:32.0"
"","VID","UPENNMSMSABETA2CRM","-4","-4","Visit code","-4","-4","-4","-4","-4","-4","-4","-4","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-02-06 10:32:32.0"
"","RUNDATE","UPENNMSMSABETA2CRM","-4","-4","Run date","-4","-4","-4","-4","-4","-4","-4","-4","","-4","Date of sample processing","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-02-06 10:32:32.0"
"","ABETA42","UPENNMSMSABETA2CRM","-4","-4","Amyloid Beta 1-42","-4","-4","-4","-4","-4","-4","-4","-4","pg/mL","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-02-06 10:32:32.0"
"","ABETA40","UPENNMSMSABETA2CRM","-4","-4","Amyloid Beta 1-40","-4","-4","-4","-4","-4","-4","-4","-4","pg/mL","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-02-06 10:32:32.0"
"","ABETA38","UPENNMSMSABETA2CRM","-4","-4","Amyloid Beta 1-38","-4","-4","-4","-4","-4","-4","-4","-4","pg/mL","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-02-06 10:32:32.0"
"","ABETA42CRM","UPENNMSMSABETA2CRM","-4","-4","Amyloid Beta 1-42","-4","-4","-4","-4","-4","-4","-4","-4","pg/mL","-4","Result recalculated according to Certified Reference Material","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-02-06 10:32:32.0"
