"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","UPENN_ROI_MARS","UPENN - Hierarchical Parcellation of MRI Using Multi-atlas Labeling Methods","-4","Participant roster ID","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-06-02 13:19:16.0"
"","VISCODE","UPENN_ROI_MARS","UPENN - Hierarchical Parcellation of MRI Using Multi-atlas Labeling Methods","-4","Visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-06-02 13:19:16.0"
"","EXAMDATE","UPENN_ROI_MARS","UPENN - Hierarchical Parcellation of MRI Using Multi-atlas Labeling Methods","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-06-02 13:19:16.0"
"","VERSION","UPENN_ROI_MARS","UPENN - Hierarchical Parcellation of MRI Using Multi-atlas Labeling Methods","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-06-02 13:19:16.0"
"","IMAGE_UID","UPENN_ROI_MARS","UPENN - Hierarchical Parcellation of MRI Using Multi-atlas Labeling Methods","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-06-02 13:19:16.0"
"","RUNDATE","UPENN_ROI_MARS","UPENN - Hierarchical Parcellation of MRI Using Multi-atlas Labeling Methods","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-06-02 13:19:16.0"
"","STATUS","UPENN_ROI_MARS","UPENN - Hierarchical Parcellation of MRI Using Multi-atlas Labeling Methods","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-06-02 13:19:16.0"
"","CBICA_ID","UPENN_ROI_MARS","UPENN - Hierarchical Parcellation of MRI Using Multi-atlas Labeling Methods","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-06-02 13:19:16.0"
"","DATE","UPENN_ROI_MARS","UPENN - Hierarchical Parcellation of MRI Using Multi-atlas Labeling Methods","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-06-02 13:19:16.0"
"","R702","UPENN_ROI_MARS","UPENN - Hierarchical Parcellation of MRI Using Multi-atlas Labeling Methods","-4","ICV","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-06-02 13:19:16.0"
