"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","UPENNSBIAROI","University of Pennsylvania Section of Biomedical Image Analysis (SBIA) Volumes","-4","Participant roster ID","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-04-25 16:30:56.0"
"","VISCODE","UPENNSBIAROI","University of Pennsylvania Section of Biomedical Image Analysis (SBIA) Volumes","-4","Visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-04-25 16:30:56.0"
"","EXAMDATE","UPENNSBIAROI","University of Pennsylvania Section of Biomedical Image Analysis (SBIA) Volumes","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-04-25 16:30:56.0"
"","VERSION","UPENNSBIAROI","University of Pennsylvania Section of Biomedical Image Analysis (SBIA) Volumes","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-04-25 16:30:56.0"
"","IMAGE_UID","UPENNSBIAROI","University of Pennsylvania Section of Biomedical Image Analysis (SBIA) Volumes","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-04-25 16:30:56.0"
"","RUNDATE","UPENNSBIAROI","University of Pennsylvania Section of Biomedical Image Analysis (SBIA) Volumes","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-04-25 16:30:56.0"
"","STATUS","UPENNSBIAROI","University of Pennsylvania Section of Biomedical Image Analysis (SBIA) Volumes","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-04-25 16:30:56.0"
"","CBICA_ID","UPENNSBIAROI","University of Pennsylvania Section of Biomedical Image Analysis (SBIA) Volumes","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-04-25 16:30:56.0"
"","DATE","UPENNSBIAROI","University of Pennsylvania Section of Biomedical Image Analysis (SBIA) Volumes","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-04-25 16:30:56.0"
"","R702","UPENNSBIAROI","University of Pennsylvania Section of Biomedical Image Analysis (SBIA) Volumes","-4","ICV","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-04-25 16:30:56.0"
"","R701","UPENNSBIAROI","University of Pennsylvania Section of Biomedical Image Analysis (SBIA) Volumes","-4","TOTALBRAIN","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","R4+R11+R23+R30+R31+R32+R35+R36+R37+R38+R39+R40+R41+R47+R48+R49+R50+R51+R52+R55+R56+R57+R58+R59+R60+R61+R62+R71+R72+R73+R75+R76+R81+R82+R83+R84+R85+R86+R87+R88+R89+R90+R91+R92+R93+R94+R95+R100+R101+R102+R103+R104+R105+R106+R107+R108+R109+R112+R113+R114+R115+R116+R117+R118+R119+R120+R121+R122+R123+R124+R125+R128+R129+R132+R133+R134+R135+R136+R137+R138+R139+R140+R141+R142+R143+R144+R145+R146+R147+R148+R149+R150+R151+R152+R153+R154+R155+R156+R157+R160+R161+R162+R163+R164+R165+R166+R167+R168+R169+R170+R171+R172+R173+R174+R175+R176+R177+R178+R179+R180+R181+R182+R183+R184+R185+R186+R187+R190+R191+R192+R193+R194+R195+R196+R197+R198+R199+R200+R201+R202+R203+R204+R205+R206+R207","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-04-25 16:30:56.0"
"","R601","UPENNSBIAROI","University of Pennsylvania Section of Biomedical Image Analysis (SBIA) Volumes","-4","GM","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","R23+R30+R31+R32+R36+R37+R38+R39+R47+R48+R55+R56+R57+R58+R59+R60+R71+R72+R73+R75+R76+R100+R101+R102+R103+R104+R105+R106+R107+R108+R109+R112+R113+R114+R115+R116+R117+R118+R119+R120+R121+R122+R123+R124+R125+R128+R129+R132+R133+R134+R135+R136+R137+R138+R139+R140+R141+R142+R143+R144+R145+R146+R147+R148+R149+R150+R151+R152+R153+R154+R155+R156+R157+R160+R161+R162+R163+R164+R165+R166+R167+R168+R169+R170+R171+R172+R173+R174+R175+R176+R177+R178+R179+R180+R181+R182+R183+R184+R185+R186+R187+R190+R191+R192+R193+R194+R195+R196+R197+R198+R199+R200+R201+R202+R203+R204+R205+R206+R207","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-04-25 16:30:56.0"
"","R604","UPENNSBIAROI","University of Pennsylvania Section of Biomedical Image Analysis (SBIA) Volumes","-4","WM","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","R40+R41+R61+R62+R81+R82+R83+R84+R85+R86+R87+R88+R89+R90+R91+R92+R93+R94+R95","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-04-25 16:30:56.0"
"","R606","UPENNSBIAROI","University of Pennsylvania Section of Biomedical Image Analysis (SBIA) Volumes","-4","GM_L","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","R30+R32+R37+R39+R48+R56+R58+R60+R75+R101+R103+R105+R107+R109+R113+R115+R117+R119+R121+R123+R125+R129+R133+R135+R137+R139+R141+R143+R145+R147+R149+R151+R153+R155+R157+R161+R163+R165+R167+R169+R171+R173+R175+R177+R179+R181+R183+R185+R187+R191+R193+R195+R197+R199+R201+R203+R205+R207","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-04-25 16:30:56.0"
"","R607","UPENNSBIAROI","University of Pennsylvania Section of Biomedical Image Analysis (SBIA) Volumes","-4","WM_L","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","R41+R62+R82+R84+R86+R88+R90+R92+R94","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-04-25 16:30:56.0"
"","R613","UPENNSBIAROI","University of Pennsylvania Section of Biomedical Image Analysis (SBIA) Volumes","-4","GM_R","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","R23+R31+R36+R38+R47+R55+R57+R59+R76+R100+R102+R104+R106+R108+R112+R114+R116+R118+R120+R122+R124+R128+R132+R134+R136+R138+R140+R142+R144+R146+R148+R150+R152+R154+R156+R160+R162+R164+R166+R168+R170+R172+R174+R176+R178+R180+R182+R184+R186+R190+R192+R194+R196+R198+R200+R202+R204+R206","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-04-25 16:30:56.0"
"","R614","UPENNSBIAROI","University of Pennsylvania Section of Biomedical Image Analysis (SBIA) Volumes","-4","WM_R","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","R40+R61+R81+R83+R85+R87+R89+R91+R93","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-04-25 16:30:56.0"
"","R501","UPENNSBIAROI","University of Pennsylvania Section of Biomedical Image Analysis (SBIA) Volumes","-4","CORPUS_CALLOSUM","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","R95","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-04-25 16:30:56.0"
"","R502","UPENNSBIAROI","University of Pennsylvania Section of Biomedical Image Analysis (SBIA) Volumes","-4","CEREBELLUM","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","R38+R39+R40+R41+R71+R72+R73","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-04-25 16:30:56.0"
"","R503","UPENNSBIAROI","University of Pennsylvania Section of Biomedical Image Analysis (SBIA) Volumes","-4","DEEP_WM_GM","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","R23+R30+R31+R32+R36+R37+R47+R48+R55+R56+R57+R58+R59+R60+R75+R76+R89+R90+R91+R92+R93+R94","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-04-25 16:30:56.0"
"","R504","UPENNSBIAROI","University of Pennsylvania Section of Biomedical Image Analysis (SBIA) Volumes","-4","FRONTAL","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","R81+R82+R102+R103+R104+R105+R112+R113+R118+R119+R120+R121+R124+R125+R136+R137+R140+R141+R142+R143+R146+R147+R150+R151+R152+R153+R162+R163+R164+R165+R172+R173+R174+R175+R178+R179+R182+R183+R186+R187+R190+R191+R192+R193+R204+R205","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-04-25 16:30:56.0"
"","R505","UPENNSBIAROI","University of Pennsylvania Section of Biomedical Image Analysis (SBIA) Volumes","-4","LIMBIC","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","R100+R101+R116+R117+R138+R139+R166+R167+R170+R171","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-04-25 16:30:56.0"
"","R506","UPENNSBIAROI","University of Pennsylvania Section of Biomedical Image Analysis (SBIA) Volumes","-4","OCCIPITAL","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","R83+R84+R108+R109+R114+R115+R128+R129+R134+R135+R144+R145+R156+R157+R160+R161+R196+R197","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-04-25 16:30:56.0"
"","R507","UPENNSBIAROI","University of Pennsylvania Section of Biomedical Image Analysis (SBIA) Volumes","-4","PARIETAL","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","R85+R86+R106+R107+R148+R149+R168+R169+R176+R177+R194+R195+R198+R199","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-04-25 16:30:56.0"
"","R508","UPENNSBIAROI","University of Pennsylvania Section of Biomedical Image Analysis (SBIA) Volumes","-4","TEMPORAL","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","R87+R88+R122+R123+R132+R133+R154+R155+R180+R181+R184+R185+R200+R201+R202+R203+R206+R207","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-04-25 16:30:56.0"
"","R509","UPENNSBIAROI","University of Pennsylvania Section of Biomedical Image Analysis (SBIA) Volumes","-4","VENTRICLE","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","R4+R11+R49+R50+R51+R52","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-04-25 16:30:56.0"
"","R510","UPENNSBIAROI","University of Pennsylvania Section of Biomedical Image Analysis (SBIA) Volumes","-4","CEREBELLUM_L","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","R39+R41","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-04-25 16:30:56.0"
"","R511","UPENNSBIAROI","University of Pennsylvania Section of Biomedical Image Analysis (SBIA) Volumes","-4","DEEP_WM_GM_L","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","R30+R32+R37+R48+R56+R58+R60+R75+R90+R92+R94","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-04-25 16:30:56.0"
"","R512","UPENNSBIAROI","University of Pennsylvania Section of Biomedical Image Analysis (SBIA) Volumes","-4","FRONTAL_L","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","R82+R103+R105+R113+R119+R121+R125+R137+R141+R143+R147+R151+R153+R163+R165+R173+R175+R179+R183+R187+R191+R193+R205","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-04-25 16:30:56.0"
"","R513","UPENNSBIAROI","University of Pennsylvania Section of Biomedical Image Analysis (SBIA) Volumes","-4","LIMBIC_L","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","R101+R117+R139+R167+R171","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-04-25 16:30:56.0"
"","R514","UPENNSBIAROI","University of Pennsylvania Section of Biomedical Image Analysis (SBIA) Volumes","-4","OCCIPITAL_L","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","R84+R109+R115+R129+R135+R145+R157+R161+R197","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-04-25 16:30:56.0"
"","R515","UPENNSBIAROI","University of Pennsylvania Section of Biomedical Image Analysis (SBIA) Volumes","-4","PARIETAL_L","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","R86+R107+R149+R169+R177+R195+R199","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-04-25 16:30:56.0"
"","R516","UPENNSBIAROI","University of Pennsylvania Section of Biomedical Image Analysis (SBIA) Volumes","-4","TEMPORAL_L","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","R88+R123+R133+R155+R181+R185+R201+R203+R207","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-04-25 16:30:56.0"
"","R517","UPENNSBIAROI","University of Pennsylvania Section of Biomedical Image Analysis (SBIA) Volumes","-4","VENTRICLE_L","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","R50+R52","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-04-25 16:30:56.0"
