"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","BATEMANLAB","Bateman Lab Plasma Abeta42/Abeta40 Ratio as a Predictor of Brain Amyloidosis","-4","Participant roster ID","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","The 4 digit roster ID (RID) should be used to merge data","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-06-21 12:32:18.0"
"","VISCODE","BATEMANLAB","Bateman Lab Plasma Abeta42/Abeta40 Ratio as a Predictor of Brain Amyloidosis","-4","Visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-06-21 12:32:18.0"
"","VISCODE2","BATEMANLAB","Bateman Lab Plasma Abeta42/Abeta40 Ratio as a Predictor of Brain Amyloidosis","-4","Translated visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","Months from baseline rounded to nearest 6 months","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-06-21 12:32:18.0"
"","EXAMDATE","BATEMANLAB","Bateman Lab Plasma Abeta42/Abeta40 Ratio as a Predictor of Brain Amyloidosis","-4","Examination Date","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-06-21 12:32:18.0"
"","VID","BATEMANLAB","Bateman Lab Plasma Abeta42/Abeta40 Ratio as a Predictor of Brain Amyloidosis","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-06-21 12:32:18.0"
"","Global_Spec_ID","BATEMANLAB","Bateman Lab Plasma Abeta42/Abeta40 Ratio as a Predictor of Brain Amyloidosis","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-06-21 12:32:18.0"
"","SUBJECT","BATEMANLAB","Bateman Lab Plasma Abeta42/Abeta40 Ratio as a Predictor of Brain Amyloidosis","-4","Subject or biosample ID or blinded ID. For Clinical samples this column should be key for unblinding","-4","-4","-4","-4","-4","-4","-4","-4","na","","Global Spec ID provided by ADNI. Key for unblindig","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-06-21 12:32:18.0"
"","Box_Number","BATEMANLAB","Bateman Lab Plasma Abeta42/Abeta40 Ratio as a Predictor of Brain Amyloidosis","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-06-21 12:32:18.0"
"","Position","BATEMANLAB","Bateman Lab Plasma Abeta42/Abeta40 Ratio as a Predictor of Brain Amyloidosis","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-06-21 12:32:18.0"
"","ASSAY","BATEMANLAB","Bateman Lab Plasma Abeta42/Abeta40 Ratio as a Predictor of Brain Amyloidosis","-4","Experiment file name","-4","-4","-4","-4","-4","-4","-4","-4","na","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2019-06-21 12:32:18.0"
