Date,Time,CO2(mmHg),CRC,
2023-08-24,15:57:02.35,0,48227,
2023-08-24,15:57:02.35,0,48227,
2023-08-24,15:57:02.36,0,10175,
2023-08-24,15:57:02.36,0,10175,
2023-08-24,15:57:02.37,0,20747,
2023-08-24,15:57:02.37,0,20747,
2023-08-24,15:57:02.37,0,20747,
2023-08-24,15:57:02.37,0,20747,
2023-08-24,15:57:02.55,0,29158,
2023-08-24,15:57:02.79,0,31319,
2023-08-24,15:57:03.04,0,40036,
2023-08-24,15:57:03.30,0,47175,
2023-08-24,15:57:03.50,0,30146,
2023-08-24,15:57:03.75,0,36100,
2023-08-24,15:57:03.99,0,3486,
2023-08-24,15:57:04.38,0,9408,
2023-08-24,15:57:04.54,0,42615,
2023-08-24,15:57:04.79,0,56178,
2023-08-24,15:57:05.05,0,19445,
2023-08-24,15:57:05.29,0,16452,
2023-08-24,15:57:05.54,0,7702,
2023-08-24,15:57:05.76,0,47101,
2023-08-24,15:57:06.01,0,22918,
2023-08-24,15:57:06.33,0,23100,
2023-08-24,15:57:06.54,0,50836,
2023-08-24,15:57:06.80,0,11551,
2023-08-24,15:57:07.04,0,23970,
2023-08-24,15:57:07.30,0,31105,
2023-08-24,15:57:07.54,0,32501,
2023-08-24,15:57:07.79,0,1008,
2023-08-24,15:57:08.00,0,7610,
2023-08-24,15:57:08.32,0,7680,
2023-08-24,15:57:08.50,0,16109,
2023-08-24,15:57:08.80,0,8087,
2023-08-24,15:57:09.04,0,28458,
2023-08-24,15:57:09.29,0,4655,
2023-08-24,15:57:09.54,0,19581,
2023-08-24,15:57:09.78,0,18380,
2023-08-24,15:57:10.13,0,63561,
2023-08-24,15:57:10.29,1,19713,
2023-08-24,15:57:10.54,1,4947,
2023-08-24,15:57:10.75,1,8548,
2023-08-24,15:57:11.04,1,34917,
2023-08-24,15:57:11.34,2,13284,
2023-08-24,15:57:11.58,1,58368,
2023-08-24,15:57:11.85,1,64764,
2023-08-24,15:57:12.17,2,13369,
2023-08-24,15:57:12.45,2,64006,
2023-08-24,15:57:12.56,2,52107,
2023-08-24,15:57:12.80,2,52584,
2023-08-24,15:57:13.04,2,48597,
2023-08-24,15:57:13.33,2,554,
2023-08-24,15:57:13.59,2,42756,
2023-08-24,15:57:13.83,2,61141,
2023-08-24,15:57:14.16,2,58280,
2023-08-24,15:57:14.34,2,19011,
2023-08-24,15:57:14.58,2,51444,
2023-08-24,15:57:14.79,2,64195,
2023-08-24,15:57:15.03,2,19933,
2023-08-24,15:57:15.30,2,14547,
2023-08-24,15:57:15.58,2,28821,
2023-08-24,15:57:15.82,2,14660,
