Date,Time,SpO2,PR,EtCO2(mmHg),RR,PulseOx_Status,Capno_Status,Sys_Status,LAL_SpO2,UAL_SpO2,LAL_PR,UAL_PR,LAL_EtCO2(mmHg),UAL_EtCO2(mmHg),LAL_RR,UAL_RR,Alarm_Volume,CRC,
2023-08-24,15:57:02,127,511,127,127,2048,208896,128,0,65535,0,65535,13.00,57.00,6,28,Full,61910,
2023-08-24,15:57:03,127,511,127,127,2048,77824,128,,,,,,,,,,20976,
2023-08-24,15:57:04,127,511,127,127,2048,77824,128,,,,,,,,,,8587,
2023-08-24,15:57:05,127,511,127,127,2048,77824,128,,,,,,,,,,59224,
2023-08-24,15:57:06,127,511,127,127,2048,77824,128,,,,,,,,,,48140,
2023-08-24,15:57:07,127,511,127,127,2048,77824,128,,,,,,,,,,31455,
2023-08-24,15:57:08,127,511,127,127,2048,77824,128,,,,,,,,,,23802,
2023-08-24,15:57:09,127,511,127,127,2048,77824,128,,,,,,,,,,39465,
2023-08-24,15:57:10,127,511,127,127,2048,69632,128,,,,,,,,,,54441,
2023-08-24,15:57:11,127,511,127,127,2048,69632,128,,,,,,,,,,4730,
2023-08-24,15:57:12,127,511,127,127,2048,69632,128,0,65535,0,65535,13.00,57.00,6,29,Full,27654,
2023-08-24,15:57:13,127,511,127,127,2048,69632,128,,,,,,,,,,36861,
2023-08-24,15:57:14,127,511,127,127,2048,69632,128,,,,,,,,,,65414,
2023-08-24,15:57:15,127,511,127,127,2048,69632,128,,,,,,,,,,14677,
2023-08-24,15:57:16,127,511,127,127,2048,69632,128,,,,,,,,,,25089,
2023-08-24,15:57:17,127,511,127,127,2048,69632,128,,,,,,,,,,42194,
2023-08-24,15:57:18,127,511,127,127,2048,69632,128,,,,,,,,,,33527,
2023-08-24,15:57:19,127,511,127,127,2048,69632,128,,,,,,,,,,17444,
2023-08-24,15:57:20,127,511,127,127,2048,69632,128,,,,,,,,,,27447,
2023-08-24,15:57:21,127,511,127,127,2048,69632,128,,,,,,,,,,44516,
2023-08-24,15:57:22,127,511,127,127,2048,69632,128,,,,,,,,,,63152,
2023-08-24,15:57:23,127,511,127,127,2048,69632,128,,,,,,,,,,12387,
2023-08-24,15:57:24,127,511,127,127,2048,69632,128,,,,,,,,,,16408,
2023-08-24,15:57:25,127,511,127,127,2048,69632,128,,,,,,,,,,34507,
2023-08-24,15:57:26,127,511,127,127,2048,69632,128,,,,,,,,,,56735,
2023-08-24,15:57:27,127,511,127,127,2048,69632,128,,,,,,,,,,6988,
2023-08-24,15:57:28,127,511,127,127,2048,69632,128,,,,,,,,,,15721,
2023-08-24,15:57:29,127,511,127,127,2048,69632,128,,,,,,,,,,64442,
